"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",8115.3827616868,-0.0599364774063744,0.150497391698936,-0.398255921446632,0.690441548422201,0.900752815291285
"ENSDARG00000102407",174.134823785603,0.123016954627013,0.20584928425982,0.597606909683213,0.550102252668081,0.838299960096504
"ENSDARG00000102097",114.437157761398,-0.254594371170948,0.333671893149111,-0.763008141825045,0.445458540247046,0.777022533977424
"ENSDARG00000099640",213.989142149013,0.0835104644408425,0.183844344243567,0.454245491121572,0.649652144054635,0.883331245381144
"ENSDARG00000104071",187.446850429109,0.281123062352033,0.158786677767674,1.7704448906183,0.0766530571867046,0.360582778949608
"ENSDARG00000102746",433.694412759979,0.246931788210916,0.102312796271807,2.41349857700018,0.0158001895828404,0.148435943111353
"ENSDARG00000103929",388.215036608008,0.0224642735859938,0.103391218301098,0.217274483801641,0.82799444109203,0.952488812776733
"ENSDARG00000101073",44.8440522298684,0.0867317916963947,0.358511345280354,0.241922027958616,0.808840581188867,0.946438235279899
"ENSDARG00000100223",1212.0694349749,-0.0573277014204943,0.0725028367253387,-0.790695978388651,0.429121423439274,0.765817180101719
"ENSDARG00000100782",90.0325919961774,-0.297902155314308,0.241306962569864,-1.23453609519476,0.217003205170852,0.586328178166212
"ENSDARG00000034862",131.254179279409,-0.0791659330482515,0.173649054562606,-0.455896136305825,0.648464668030126,0.882629376345377
"ENSDARG00000075827",103.795819973235,0.276730822867304,0.221106081257937,1.25157490600395,0.210724803204635,0.580132818601331
"ENSDARG00000088581",1031.93332191954,-0.0913045561122643,0.122006860230708,-0.748355919819691,0.454245503206529,0.78281797598668
"ENSDARG00000076900",49.4162449290626,-0.415249925751288,0.255944219628879,-1.62242353569619,0.104712693147143,0.417767702103087
"ENSDARG00000013802",203.020825089858,-0.0107915046690838,0.139029168926169,-0.0776204357145699,0.938129986074112,0.984591188923672
"ENSDARG00000096578",551.187912232731,0.148966539345955,0.0883530073058847,1.68603813144946,0.0917884551079394,0.392403865129505
"ENSDARG00000109848",2.98153222885947,-0.910455943644208,1.12856043305368,-0.806740974588912,0.419815731968009,NA
"ENSDARG00000100181",174.657670072126,0.231663986380225,0.138638218950783,1.67099655588093,0.0947223580977576,0.399340850616683
"ENSDARG00000029936",129.645269336488,-0.51059823506646,0.235817839798455,-2.16522310399777,0.0303706038292178,0.220042042860921
"ENSDARG00000041589",31.2735735089288,-0.133348540738854,0.289307885263302,-0.460922593303989,0.644854141536631,0.881565641032759
"ENSDARG00000041592",369.235674630902,-0.145699500710799,0.1096571554118,-1.3286821107446,0.183952869345342,0.547644922525782
"ENSDARG00000075108",76.2144392466666,0.126585829705885,0.240027484466724,0.527380562218215,0.597929339029981,0.862487499145112
"ENSDARG00000016304",202.605989809236,-0.0457171343121039,0.170021681149101,-0.268890026278543,0.788014312291168,0.940879218080205
"ENSDARG00000058803",414.488844643183,-0.133995458631947,0.167557932782265,-0.799696298509895,0.423886778053975,0.762667287381303
"ENSDARG00000063385",1334.65152582377,0.606632009544983,0.100957815080763,6.0087672168786,1.86939304621131e-09,3.85302677857997e-07
"ENSDARG00000007804",304.943378915177,0.0444509697434647,0.161890052103093,0.274575053661469,0.783642734225302,0.939606886347825
"ENSDARG00000068261",255.620640386469,-0.00681407577832425,0.127816007332833,-0.0533115993881767,0.957483638370334,0.989511685201217
"ENSDARG00000063371",517.32378501613,0.167801194730615,0.112364151426079,1.49336948306868,0.135340496586874,0.475720946756792
"ENSDARG00000078751",846.566197841921,0.204842381929719,0.0732727590572067,2.79561442158594,0.00518011612630435,0.0732503600535275
"ENSDARG00000078878",9.14712153208398,-0.379055467476655,0.620830867691881,-0.610561567091378,0.541489872764281,0.834461207896318
"ENSDARG00000016343",137.501464203477,0.189017301949033,0.143677717866211,1.31556447830722,0.188320262592011,0.553699561698846
"ENSDARG00000023678",173.191409220296,0.0488484841906014,0.12575915640204,0.38842884755395,0.697698699578343,0.903116757419939
"ENSDARG00000011299",498.94749368747,0.0412617269669975,0.0977964692852978,0.421914280428941,0.673087586195648,0.894454718093272
"ENSDARG00000041575",136.667828289426,-0.278012276330498,0.150149225073885,-1.85157316791809,0.0640871390160569,0.329953146213371
"ENSDARG00000058962",57.3448150984871,-0.329070543721714,0.232691600669119,-1.41419175756861,0.15730560741132,0.510467703439565
"ENSDARG00000089799",2.20795973518863,-0.117890547311106,1.13179537582104,-0.104162421785462,0.917040454777318,NA
"ENSDARG00000075325",604.035258558454,0.273495006647741,0.170767110653596,1.60156721982917,0.109251344419994,0.427227612665768
"ENSDARG00000041570",358.15741620535,0.00625247235965758,0.135774256899727,0.0460504995750057,0.96326999973382,0.991100286419003
"ENSDARG00000113329",55.2152483914457,-0.0922733707384187,0.305019179396093,-0.302516618532351,0.762258266816997,0.930896011769641
"ENSDARG00000058996",44.7137319148436,-0.318792054063505,0.298341427751744,-1.06854772555683,0.285273514230737,0.652457799347114
"ENSDARG00000014313",867.243529985695,-0.225972769316614,0.232534132765566,-0.971783224376927,0.331158403244682,0.695480364163004
"ENSDARG00000104279",2375.76742000601,0.258905053573494,0.157569011642035,1.64312164476651,0.100357767376898,0.409304046489221
"ENSDARG00000103783",932.022095126608,0.142905827489359,0.0768153829398718,1.86038033034634,0.0628317355544137,0.326420376979775
