"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",10490.0173010523,-0.369415003745934,0.150710541259952,-2.4511557098634,0.0142398338825951,0.120837441604994
"ENSDARG00000102407",221.281090100094,-0.522911431443621,0.206573556834038,-2.53135705972149,0.0113622118067496,0.106895916491671
"ENSDARG00000102097",160.594457773557,-0.441386785403927,0.298448082034132,-1.47893992950321,0.139156370310437,0.389069851684282
"ENSDARG00000099319",1.25605038411315,-0.366846618482699,1.51178962189363,-0.242657187991009,0.808270975295953,NA
"ENSDARG00000099640",282.926153606044,-0.570455510308584,0.148102210432727,-3.85176904950858,0.000117267594244759,0.00558628293497432
"ENSDARG00000104071",220.731107672826,-0.446826235957424,0.1334771744601,-3.34758536629791,0.000815188766916904,0.0220147884406667
"ENSDARG00000102746",503.688582425225,-0.408993233547418,0.0921173981062939,-4.43991300183579,8.99952508599778e-06,0.000848804453965288
"ENSDARG00000103929",449.177652497539,-0.18570536282382,0.0961105473271251,-1.93220586073397,0.0533341021060079,0.241371831332493
"ENSDARG00000101073",42.9155760394143,0.40598238309428,0.331674540696319,1.2240384270736,0.220937731724811,0.488082760870871
"ENSDARG00000100223",1387.79034554577,-0.0679277463271966,0.081813679990838,-0.830273694262421,0.406384057517498,0.659299637735919
"ENSDARG00000100782",100.343658481536,0.232196504133779,0.236537616048698,0.981647266141278,0.326273653155083,0.593624485853795
"ENSDARG00000034862",162.410172139731,-0.263220564654084,0.135899523892369,-1.93687628267596,0.0527604682799793,0.240005145212538
"ENSDARG00000075827",124.218136553759,-0.506402357305971,0.201706103798222,-2.51059510728814,0.0120527850243561,0.110423578476427
"ENSDARG00000088581",1218.22470715069,-0.125064677109645,0.135683813930953,-0.921736156188002,0.356666216213696,0.619208973463588
"ENSDARG00000076900",60.1945176319543,0.0807564582595421,0.209106340154516,0.386198037801572,0.699350006844738,0.85640375014477
"ENSDARG00000013802",234.766617493098,-0.142941279179288,0.129978593605364,-1.09972938785044,0.271450046333763,0.540825313360815
"ENSDARG00000096578",576.015467554765,-0.0217510240357508,0.0979554083455506,-0.222050261472253,0.824274756835052,0.921485074217469
"ENSDARG00000109848",3.67877436028183,0.863963085398417,0.791753759892882,1.09120174625417,0.275184119684835,NA
"ENSDARG00000100181",165.248271435885,0.212137333503821,0.132780069108808,1.59765945994487,0.110118785673101,0.347584230656342
"ENSDARG00000029936",170.559476830739,-0.0180181713320491,0.236606547731654,-0.0761524628324501,0.939297801974447,0.976010654113846
"ENSDARG00000041589",39.6873297742413,-0.269304519676448,0.2881568453282,-0.934576165871469,0.350006766746591,0.613110847041528
"ENSDARG00000041592",412.408610213148,0.122571543724886,0.0949288173118676,1.29119425687359,0.196636326084599,0.462261409179029
"ENSDARG00000075108",95.7058722301547,-0.489498873816523,0.21510868924951,-2.27558856652573,0.022870646289871,0.154743749176132
"ENSDARG00000016304",247.405347005628,-0.2619075572853,0.158091121513009,-1.65668732550391,0.0975827068019956,0.327468232427437
"ENSDARG00000058803",468.438326709409,0.033475846157827,0.106831293041912,0.31335243826632,0.754012914629964,0.884946748042133
"ENSDARG00000063385",1266.97946973841,-0.275438634014213,0.0983201193339832,-2.80144731190344,0.00508739477723722,0.0675763004769748
"ENSDARG00000007804",396.887227051158,-0.514129909119359,0.163489262858247,-3.14473195444727,0.00166239067921157,0.0345148347988076
"ENSDARG00000068261",283.407489135491,-0.0433639102179572,0.121621366675663,-0.356548453641367,0.721429872281701,0.867536985703181
"ENSDARG00000063371",521.001358923811,0.0481428246732492,0.103318716754899,0.465964214281305,0.641241115804117,0.821664223568185
"ENSDARG00000078751",922.233609986613,-0.208446462315433,0.0700876067332555,-2.97408446415861,0.00293864172809138,0.0491871885792108
"ENSDARG00000078878",8.25642667852037,1.19004454729669,0.545325648887838,2.18226402833559,0.0290900522082657,NA
"ENSDARG00000016343",148.810388858316,-0.143250985886742,0.157715272408913,-0.908288612122047,0.363725757540267,0.625047495263988
"ENSDARG00000023678",190.890333525857,-0.0901867140123841,0.118293270533748,-0.762399362241442,0.445821686772688,0.688185235824801
"ENSDARG00000011299",580.382803974962,-0.196160728068015,0.0867546106834788,-2.26109859202412,0.0237531525571503,0.158317798418024
"ENSDARG00000041575",164.980970653357,-0.0149469946866304,0.13564750497385,-0.110189971348989,0.912258715545646,0.964754872555674
"ENSDARG00000058962",75.41574717052,-0.141959209814854,0.204334488145247,-0.694739351655338,0.487218661971132,0.718689646851319
"ENSDARG00000089799",2.16908280416969,0.544041024813348,1.00368689021866,0.542042573351561,0.587789177856078,NA
"ENSDARG00000075325",710.235850004311,-0.410490231792125,0.163508185184409,-2.51051793724676,0.0120554197338836,0.110423578476427
"ENSDARG00000041570",425.58361205758,-0.237653574998342,0.132888905912657,-1.78836279346407,0.0737174949999632,0.284165878754222
"ENSDARG00000113329",54.1735762774819,0.475842180808551,0.276257426691432,1.72245932537425,0.0849863448939669,0.305243422740615
"ENSDARG00000058996",55.619700321721,-0.0304876327921267,0.292146000739865,-0.104357522317322,0.91688563084533,0.966855069038007
"ENSDARG00000014313",1335.15185138605,-0.631164605891088,0.234776780836787,-2.6883604232135,0.00718038471689514,0.0830879412770683
"ENSDARG00000104279",2358.21661192854,-0.000683568032957863,0.155439287640203,-0.00439765289287818,0.996491191962684,0.998657794044005
"ENSDARG00000103783",1001.31446692331,-0.0881944623053594,0.0684853268958948,-1.28778625003024,0.197820379948064,0.463531924000651
"ENSDARG00000103519",283.939838188831,0.147435182896105,0.124580851017272,1.18344979739835,0.236630931588781,0.506257621804199
"ENSDARG00000100307",174.249474535531,0.550923625443589,0.221125518561983,2.49145204509339,0.012722213992216,0.113923298864457
