"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000076900","ENSDARG00000076900",50.2655255611217,-0.694662677779621,0.244596319116373,-2.84003733289673,0.00451082544141595,0.0297526087479734,"prozb","DOWN","prozb"
"ENSDARG00000029936","ENSDARG00000029936",151.083953432009,-0.626367002164047,0.14475205447809,-4.32717175878741,1.51036183284875e-05,0.000314448504761673,"grtp1a","DOWN","grtp1a"
"ENSDARG00000014313","ENSDARG00000014313",1234.67325035849,-0.798762746114108,0.0887115285332179,-9.00404670420049,2.17547545739839e-19,9.86133136313885e-17,"atp5pf","DOWN","atp5pf"
"ENSDARG00000002791","ENSDARG00000002791",554.167845934832,0.968703332665901,0.0896097113786683,10.8102494446434,3.0783186578942e-27,3.06985328158499e-24,"atp1a1a.1","UP","atp1a1a.1"
"ENSDARG00000077688","ENSDARG00000077688",10.2211826056455,-2.42183591331501,0.602880058250353,-4.01711066765674,5.89160602029026e-05,0.000970339240914032,"cpo","DOWN","cpo"
"ENSDARG00000017441","ENSDARG00000017441",3190.39240224225,1.15359591783801,0.0748754320393196,15.4068682666461,1.47173349108552e-53,1.46768622398503e-49,"mylz3","UP","mylz3"
"ENSDARG00000103767","ENSDARG00000103767",30.1846803227763,1.3652889013151,0.383582290635136,3.55931161226044,0.000371828141873248,0.0042645844103864,"CR855320.2","UP","CR855320.2"
"ENSDARG00000079873","ENSDARG00000079873",71.4916142153806,0.586334271228172,0.215547609481535,2.72020771948483,0.00652409192811946,0.039122974596014,"SLC29A4","UP","SLC29A4"
"ENSDARG00000037746","ENSDARG00000037746",21365.8159671718,0.788499246367255,0.170857156931098,4.61496176414334,3.93167692941418e-06,0.000100022061680059,"actb1","UP","actb1"
"ENSDARG00000037747","ENSDARG00000037747",278.182892533605,0.508669962701414,0.119324275194504,4.26292103490476,2.01771835797454e-05,0.000404863105128796,"fscn1b","UP","fscn1b"
"ENSDARG00000094206","ENSDARG00000094206",40.1569202108587,-0.881909363341744,0.267844213514618,-3.29262055644004,0.00099258333342149,0.00929440121365803,"si:ch73-191k20.3","DOWN","si:ch73-191k20.3"
"ENSDARG00000058463","ENSDARG00000058463",292.747455031521,-0.971366725190507,0.314585027452558,-3.08777163699247,0.00201663373440946,0.0160758432585119,"ndufab1a","DOWN","ndufab1a"
"ENSDARG00000058445","ENSDARG00000058445",30.5294782411758,-0.926890022765854,0.304729225135789,-3.04168404705137,0.00235258692585195,0.0180818289927233,"zgc:136472","DOWN","zgc:136472"
"ENSDARG00000091916","ENSDARG00000091916",160.905765518485,-0.972132093474573,0.14183792459404,-6.85382344853785,7.19018132259304e-12,9.37308277641295e-10,"ugt5b4","DOWN","ugt5b4"
"ENSDARG00000099276","ENSDARG00000099276",145.368388680812,-0.899933371265333,0.160959286986415,-5.59106211337336,2.25684823570765e-08,1.19397448438167e-06,"ugt5b2","DOWN","ugt5b2"
"ENSDARG00000104995","ENSDARG00000104995",69.2366114201293,-0.59634269575176,0.197519400872769,-3.01916010840824,0.0025347653577321,0.0192018511021763,"ugt5b1","DOWN","ugt5b1"
