"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000099640","ENSDARG00000099640",282.926153606044,-0.570455510308584,0.148102210432727,-3.85176904950858,0.000117267594244759,0.00558628293497432,"eed","DOWN","eed"
"ENSDARG00000007804","ENSDARG00000007804",396.887227051158,-0.514129909119359,0.163489262858247,-3.14473195444727,0.00166239067921157,0.0345148347988076,"gas6","DOWN","gas6"
"ENSDARG00000002791","ENSDARG00000002791",625.780513836002,1.01561658715386,0.15962959972983,6.36233248014638,1.987127152786e-10,8.88009274539056e-08,"atp1a1a.1","UP","atp1a1a.1"
"ENSDARG00000075505","ENSDARG00000075505",72.9501022653204,0.786242189680617,0.259107337896445,3.03442656647125,0.00240993416517785,0.0440858229495352,"si:ch211-132g1.7","UP","si:ch211-132g1.7"
"ENSDARG00000017441","ENSDARG00000017441",3081.18383498439,0.927944696926202,0.146658934193786,6.32722924128219,2.49602408141902e-10,1.08948548800357e-07,"mylz3","UP","mylz3"
"ENSDARG00000103767","ENSDARG00000103767",26.8226315550902,1.17881371713239,0.346367944396532,3.40335685274285,0.000665632820795942,0.0194973624362845,"CR855320.2","UP","CR855320.2"
"ENSDARG00000015803","ENSDARG00000015803",85.1459351771142,0.712760092372331,0.191109915586007,3.72958195385503,0.000191797717783741,0.00801637792429882,"smcr8b","UP","smcr8b"
"ENSDARG00000113858","ENSDARG00000113858",49.0084266301443,1.2569848800715,0.303499793258961,4.14163339807938,3.44841215605544e-05,0.00227099114936858,"AL928650.4","UP","AL928650.4"
"ENSDARG00000058463","ENSDARG00000058463",370.903056275918,-0.557985050040286,0.167230818277214,-3.3366161559727,0.000848049829499945,0.0224281484238082,"ndufab1a","DOWN","ndufab1a"
"ENSDARG00000101597","ENSDARG00000101597",71.5245662155931,-0.705663609341784,0.211729429606182,-3.33285557257829,0.000859595521160955,0.0226597588998174,"si:dkeyp-57d7.4","DOWN","si:dkeyp-57d7.4"
"ENSDARG00000018263","ENSDARG00000018263",457.456107295933,0.997626298400895,0.130288424794055,7.65706009553674,1.90237628637405e-14,2.55040717992532e-11,"pdia2","UP","pdia2"
"ENSDARG00000077652","ENSDARG00000077652",71.2059587338507,1.24067065958789,0.221816807395504,5.59322205632393,2.22893919888379e-08,5.36345638767307e-06,"lratb.2","UP","lratb.2"
"ENSDARG00000037484","ENSDARG00000037484",114.996254922983,-0.830801732553772,0.22529805008958,-3.68756734567139,0.000226408183235894,0.00909947578405673,"tmem192","DOWN","tmem192"
"ENSDARG00000089334","ENSDARG00000089334",117.023655680057,0.693088689214083,0.178669713756288,3.87916158056581,0.000104817115279038,0.00519079798594265,"ednrba","UP","ednrba"
"ENSDARG00000053466","ENSDARG00000053466",269.527011863397,-0.636321404093923,0.187334099583581,-3.39671958019592,0.000681988161483398,0.0198146065060091,"timmdc1","DOWN","timmdc1"
"ENSDARG00000037099","ENSDARG00000037099",205.312139796058,1.31669024655736,0.30409432667879,4.32987442067001,1.49194397717854e-05,0.00122280770775825,"irs2a","UP","irs2a"
"ENSDARG00000087178","ENSDARG00000087178",49.1783076558387,1.01049232381074,0.304248613909044,3.3212717416449,0.000896082453376682,0.023145936947439,"scpp9","UP","scpp9"
"ENSDARG00000098805","ENSDARG00000098805",85.9280367890314,1.37306464162722,0.304305344261128,4.51212792519666,6.41804574818377e-06,0.000627397399206569,"vwa11","UP","vwa11"
"ENSDARG00000093954","ENSDARG00000093954",136.374136978707,0.505984769818486,0.146303597272344,3.45845747645286,0.000543278026878649,0.0169381815390122,"si:dkey-9i23.16","UP","si:dkey-9i23.16"
"ENSDARG00000030972","ENSDARG00000030972",427.265101726193,-0.926802718232383,0.109082622581475,-8.49633696274713,1.95667439291878e-17,3.33862015279023e-14,"dnaja1","DOWN","dnaja1"
"ENSDARG00000051970","ENSDARG00000051970",360.662600435421,-0.79125535980754,0.120646632699291,-6.55845374300439,5.4368566072276e-11,3.0013047547369e-08,"smu1b","DOWN","smu1b"
"ENSDARG00000069566","ENSDARG00000069566",59.7026915602932,1.13689116463508,0.321370236606546,3.53763676636607,0.000403725037637535,0.013815080009783,"mucms1","UP","mucms1"
