"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",8543.71477553876,-0.20652614179259,0.0455423028946256,-4.53481990733855,5.76526570340931e-06,8.60415010762753e-05
"ENSDARG00000102407",187.833900294772,-0.0556945948760265,0.142529505857647,-0.390758352390923,0.69597586215274,0.831520782256828
"ENSDARG00000102097",126.371893831107,-0.526826447888871,0.196299639058583,-2.68378714507797,0.00727934349884806,0.0334637535897056
"ENSDARG00000099640",225.804689856938,-0.0357251246000693,0.14904697019135,-0.239690377833273,0.810570294911473,0.901971888785457
"ENSDARG00000104071",196.889777284643,0.198476820420617,0.148839615092576,1.33349458272361,0.182369552088457,0.364812566232136
"ENSDARG00000102746",448.728101016875,0.231610775647749,0.101192060585564,2.28882359255751,0.0220896041150133,0.0795294098353359
"ENSDARG00000103929",399.558863642223,-0.0254135729682664,0.100300107182217,-0.253375332113026,0.799978187968841,0.894599263965155
"ENSDARG00000101073",43.7829961145786,0.241207316465663,0.349117494844271,0.69090584123622,0.489624715091984,0.684101605299986
"ENSDARG00000100223",1231.21852388063,-0.0940255858102334,0.0623015256651526,-1.50920197870572,0.131247174715184,0.291067754665894
"ENSDARG00000100782",86.9688789477974,-0.212526115424285,0.238399893361336,-0.891469003730489,0.372677613159905,0.577646210525554
"ENSDARG00000034862",130.774636365518,-0.0478934147268321,0.181817082539694,-0.263415373615271,0.792230442479471,0.89024526273758
"ENSDARG00000075827",106.035694102607,0.291458303249847,0.220185072708727,1.3236969230671,0.185603720765181,0.369274069439059
"ENSDARG00000088581",1062.61260451614,-0.183526913649869,0.0777782048987922,-2.35961878894841,0.0182937229349032,0.068654168218197
"ENSDARG00000076900",50.7120062773319,-0.510376928990849,0.274228996069204,-1.86113407519477,0.0627252452507863,0.173172240675694
"ENSDARG00000013802",209.044981699583,-0.0837677070097368,0.136316742612164,-0.614507839642746,0.538879794163749,0.721846265433919
"ENSDARG00000096578",556.696606593097,0.181686500678183,0.087045534096569,2.08725815245867,0.0368648053627026,0.117015419259304
"ENSDARG00000109848",3.26912454196187,-1.23310098495264,1.13755194899631,-1.08399531646939,0.278366875447409,NA
"ENSDARG00000100181",176.870110398212,0.26822911793152,0.149778548427802,1.79083801216577,0.073319293386227,0.193594901478667
"ENSDARG00000029936",137.090747606738,-0.704935364450688,0.167952358708871,-4.19723408393821,2.70194620361914e-05,0.00032157854636723
"ENSDARG00000041589",31.7743795911026,-0.160912714373432,0.33753566323545,-0.476728037656829,0.633555794917406,0.789916665217133
"ENSDARG00000041592",362.003182621538,-0.100118824228358,0.107517461498719,-0.931186644780961,0.351757025029409,0.557766802605708
"ENSDARG00000075108",80.3982455280617,0.0202711021214974,0.234313006802519,0.0865129187582066,0.931058686891296,0.965621560925636
"ENSDARG00000016304",212.608343600166,-0.171362711210321,0.138380955869081,-1.2383402769124,0.21558991535995,0.407699740928222
"ENSDARG00000058803",410.812033663379,-0.107143306404454,0.14323051198246,-0.748048058486133,0.454431170254174,0.654025597321082
