"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",13025.6515772938,-0.0132885717914427,0.0292334688729364,-0.454567052894119,0.649420742212004,0.931813375024824
"ENSDARG00000102407",308.837330360224,-0.19556692205121,0.101892015100926,-1.9193547390097,0.0549394548418946,0.387956674723138
"ENSDARG00000102097",187.110524842226,0.280511603190302,0.122483193756149,2.29020484025563,0.0220094449829487,0.235667482258584
"ENSDARG00000099640",386.959880485929,-0.119479159005333,0.085013351781391,-1.40541640226784,0.159897492132818,0.624035056447534
"ENSDARG00000104071",278.767279707303,0.0349967290265475,0.0966223077234995,0.362201336845486,0.717201580629311,0.949140244712004
"ENSDARG00000102746",694.864205761329,-0.24150056627359,0.0658192617608372,-3.66914729537857,0.000243360839541612,0.00961882593700238
"ENSDARG00000103929",497.635999842542,0.154657238607426,0.0781975431644497,1.97777618514409,0.0479539612299181,0.360232213828211
"ENSDARG00000101073",37.175026629606,0.373393811352239,0.29010462552925,1.28710050958698,0.198059257867874,0.673603928984732
"ENSDARG00000100223",1528.76215579614,0.0125839970476736,0.0558038588268264,0.225504065708519,0.821587162843452,0.969894462321698
"ENSDARG00000100782",102.322263677532,-0.0686646840126373,0.173922942721236,-0.394799460831876,0.692990892864588,0.943330955113062
"ENSDARG00000034862",185.772854760811,0.099948185921696,0.125455581586025,0.796681858695633,0.425635822522261,0.847253738322922
"ENSDARG00000075827",142.487375832193,0.332091392117352,0.179454073671428,1.85056480091611,0.0642321874957493,0.418360300097961
"ENSDARG00000088581",1426.4455977726,-0.121692783624782,0.123251900359524,-0.987350160685602,0.323471008172159,0.785460389537059
"ENSDARG00000076900",66.8065733520468,-0.113189940100141,0.207592542256109,-0.545250512711084,0.585581234773298,0.915553625603784
"ENSDARG00000013802",287.903471158539,-0.212710159050643,0.0987904808983705,-2.15314428188143,0.0313073410158069,0.288553824543534
"ENSDARG00000096578",627.428720795478,0.0323660158591422,0.0769116402518681,0.420820772423405,0.673885962041482,0.939260025223517
"ENSDARG00000109848",3.21818208511676,-0.00610505166219237,0.880473175620115,-0.00693383038942964,0.994467648115823,NA
"ENSDARG00000100181",180.030647250584,-0.176792060738065,0.119464552985422,-1.47987044123154,0.138907825408944,0.593674193945392
"ENSDARG00000029936",199.146484748453,-0.131512703869342,0.127525459640342,-1.031266260402,0.302415975710834,0.767453217259052
"ENSDARG00000041589",46.492058361393,0.0801733686842248,0.245977973895117,0.325937186223065,0.744471880101439,0.95643268536787
"ENSDARG00000041592",429.201692158461,-0.0205877836465858,0.088490588444708,-0.232655065453088,0.816029264304852,0.968986771120799
"ENSDARG00000075108",121.260002388752,0.0446787979921171,0.147439630168963,0.303031131731109,0.761866136652834,0.958602682167474
"ENSDARG00000016304",316.916232322412,-0.208446611048313,0.103293623013422,-2.01800077262492,0.0435911808595145,0.343065962576003
"ENSDARG00000058803",515.77350291059,-0.103085185663088,0.0841788064298631,-1.22459785348676,0.220726777071713,0.700823585531951
"ENSDARG00000063385",1472.1304089478,0.0522746255895298,0.0477833032936495,1.09399354976108,0.273957807177095,0.746532406125631
"ENSDARG00000007804",503.909642660963,0.023631078503048,0.0804106347392002,0.293880014499224,0.768849590242283,0.960242438417776
"ENSDARG00000068261",313.410282970889,-0.00578792338975328,0.0969218594059329,-0.0597174200456887,0.952380697305376,0.991901606545341
"ENSDARG00000063371",551.844577174068,0.022194246338241,0.0749929993488683,0.295950909164109,0.767267571623286,0.959907580535718
"ENSDARG00000078751",1114.06035510905,-0.124404180342331,0.0610793551691564,-2.03676315831756,0.0416737819084915,0.334805361328736
