"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",8543.71477553876,-0.206526114649814,0.0455423028849784,-4.53481931230874,5.76528195646572e-06,8.60417436387941e-05
"ENSDARG00000102407",187.833900294772,-0.0556944412625901,0.142529505812113,-0.39075727474989,0.69597665878448,0.831521734036745
"ENSDARG00000102097",126.371893831107,-0.526826177356329,0.196299638578068,-2.68378577348634,0.00727937336067231,0.0334638908670203
"ENSDARG00000099640",225.804689856938,-0.0357249507642199,0.14904697004304,-0.239689211755889,0.81057119896067,0.901973555031108
"ENSDARG00000104071",196.889777284643,0.19847698851021,0.148839615029922,1.33349571261864,0.18236918154008,0.364811824986118
"ENSDARG00000102746",448.728101016875,0.231610865414062,0.101192060589345,2.2888244795605,0.0220895525574323,0.0795297934890944
"ENSDARG00000103929",399.558863642223,-0.0254134859771927,0.100300107177429,-0.253374464817238,0.799978858110625,0.894600013371022
"ENSDARG00000101073",43.7829961145786,0.241207975314598,0.349117491463646,0.690907735110473,0.489623524849383,0.68410081732405
"ENSDARG00000100223",1231.21852388063,-0.0940255459156164,0.0623015256612886,-1.50920133845197,0.131247338283118,0.291068117411618
"ENSDARG00000100782",86.9688789477974,-0.212525747927847,0.238399892476214,-0.891467465527703,0.372678438025809,0.577646857857098
"ENSDARG00000034862",130.774636365518,-0.0478931820534401,0.181817082286522,-0.26341409427067,0.792231428441833,0.890246370683293
"ENSDARG00000075827",106.035694102607,0.291458627015186,0.220185072143062,1.32369839689139,0.185603231092703,0.369273095194856
"ENSDARG00000088581",1062.61260451614,-0.183526852697912,0.0777782048725041,-2.35961800608222,0.0182937615356236,0.0686543130821136
"ENSDARG00000076900",50.7120062773319,-0.510376500045355,0.274228994951171,-1.86113251859539,0.0627254650158128,0.173172847404323
"ENSDARG00000013802",209.044981699583,-0.0837675635589646,0.136316742555495,-0.61450678756399,0.538880489171003,0.721845588493244
"ENSDARG00000096578",556.696606593097,0.181686569550019,0.087045534106408,2.08725894343893,0.036864733901296,0.117015192428147
"ENSDARG00000109848",3.26912454196187,-1.23309881926973,1.13755193430882,-1.08399342665526,0.278367713365633,NA
"ENSDARG00000100181",176.870110398212,0.268229284280851,0.14977854840719,1.79083912304744,0.0733191150685728,0.193594430642314
"ENSDARG00000029936",137.090747606738,-0.704935163274093,0.16795235844557,-4.19723289269884,2.70196041074814e-05,0.000321580237262439
"ENSDARG00000041589",31.7743795911026,-0.160912143918688,0.337535661050677,-0.476726350684852,0.633556996343702,0.789918163154112
"ENSDARG00000041592",362.003182621538,-0.100118725812408,0.107517461466956,-0.931185729707525,0.351757498296124,0.557767600180266
"ENSDARG00000075108",80.3982455280617,0.0202714491873872,0.234313006138534,0.0865144002096154,0.931057509279331,0.965620339598216
"ENSDARG00000016304",212.608343600166,-0.171362562738541,0.138380955786369,-1.23833920473196,0.215590312748944,0.407700492426221
