"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",10695.3481916232,-0.252394636223712,0.0727693574081461,-3.46841919749395,0.000523529938716325,0.00559882285667404
"ENSDARG00000102407",282.28295347545,-0.118438989743174,0.108472414261572,-1.0918811990076,0.274885322522123,0.507976258473432
"ENSDARG00000102097",136.778890868055,-0.275367354890819,0.144608930740382,-1.90422094597455,0.0568814148921449,0.184351611963573
"ENSDARG00000099640",329.166179948996,-0.271500471800686,0.102117639578944,-2.65870297159383,0.00784420851963023,0.0447903632762739
"ENSDARG00000104071",243.637058298488,0.00236479982285621,0.107531217539438,0.0219917515765959,0.982454535236479,0.991201158646951
"ENSDARG00000102746",658.278774768191,-0.040405146523254,0.0738718076202647,-0.546963013697392,0.584404142608215,0.7751506699688
"ENSDARG00000103929",431.70295062903,0.0697576400984129,0.0888596735225738,0.785031469654137,0.432435117799096,0.659177640913592
"ENSDARG00000101073",30.3985819174062,0.244255430249058,0.305744069276028,0.798888530617882,0.424355050000953,0.651911073886544
"ENSDARG00000100223",1386.69357482068,0.037426159165725,0.0575875649282814,0.649900012482467,0.515756810119413,0.724420392805049
"ENSDARG00000100782",84.7461169372533,-0.328148342924512,0.193902220183877,-1.69233927601927,0.0905813032245107,0.251551669843061
"ENSDARG00000034862",141.304847505195,-0.398098509874918,0.151057806332416,-2.63540507796642,0.00840369268263517,0.0472278530727412
"ENSDARG00000075827",124.887138045756,0.277063544453999,0.181884188528085,1.5232964816577,0.127684546998399,0.314093276995938
"ENSDARG00000088581",1199.31147165625,-0.340860107278169,0.0811705827118056,-4.19930590480525,2.67734416083422e-05,0.000511490701990791
"ENSDARG00000076900",50.2655255611217,-0.694662677779621,0.244596319116373,-2.84003733289673,0.00451082544141595,0.0297526087479734
"ENSDARG00000013802",270.319641944655,-0.0779886081950807,0.106698858253509,-0.730922612215639,0.464826423387782,0.685941330874269
"ENSDARG00000096578",584.534650293739,0.143720745040771,0.0759504169092235,1.89229698650038,0.0584514222342449,0.188216599364226
"ENSDARG00000109848",2.06061609320355,-0.715834707827964,1.14553787364961,-0.624889603647379,0.532043516144946,NA
"ENSDARG00000100181",178.983037828939,0.149020954116262,0.134807874420834,1.10543211779349,0.268972393240069,0.501135393103519
"ENSDARG00000029936",151.083953432009,-0.626367002164047,0.14475205447809,-4.32717175878741,1.51036183284875e-05,0.000314448504761673
"ENSDARG00000041589",33.0119702017675,-0.629863489063217,0.276853918243025,-2.27507522039228,0.0229014178663483,0.0982932600267521
"ENSDARG00000041592",384.985590081386,-0.0119321672444141,0.0974777150366573,-0.122409180805346,0.902574967959927,0.95384187654113
"ENSDARG00000075108",96.9982227905585,-0.287952866862539,0.168010848033377,-1.71389449093986,0.0865481050202201,0.244573810516901
"ENSDARG00000016304",285.691286768708,-0.193606805206757,0.111067061334135,-1.74315231609764,0.081307012207698,0.234209757146525
"ENSDARG00000058803",414.754298767146,-0.475745400823214,0.114866104486361,-4.14173879187923,3.44682760551641e-05,0.000622144584543211
"ENSDARG00000063385",1449.02277683851,0.275113620669366,0.0566662677873743,4.8549804215386,1.2039863827461e-06,3.63841036422288e-05
"ENSDARG00000007804",418.504600424324,-0.223570329128874,0.109678009007385,-2.03842439475556,0.0415075087021273,0.148843448591141
