"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000002791","ENSDARG00000002791",561.956987381485,0.53971579378676,0.12727989629195,4.24038524158425,2.23136492372597e-05,0.00173994571843097,"atp1a1a.1","UP","atp1a1a.1"
"ENSDARG00000037484","ENSDARG00000037484",125.915856342334,-0.876461685606999,0.196170579401571,-4.46785490607559,7.90078627232179e-06,0.000670666743572024,"tmem192","DOWN","tmem192"
"ENSDARG00000074677","ENSDARG00000074677",150.340031330218,-0.572376095865217,0.151867040463941,-3.76892901920428,0.000163949498230681,0.0089750639602853,"frem3","DOWN","frem3"
"ENSDARG00000030972","ENSDARG00000030972",489.155534911942,-0.765877518968161,0.105937570930012,-7.22951746245098,4.84713182307326e-13,1.58560321978192e-10,"dnaja1","DOWN","dnaja1"
"ENSDARG00000051970","ENSDARG00000051970",412.579343562197,-0.582545260761314,0.103346969133939,-5.6367909542304,1.73248208258902e-08,3.22722912384498e-06,"smu1b","DOWN","smu1b"
"ENSDARG00000074635","ENSDARG00000074635",2517.33504843539,0.551264755088646,0.0560034110514539,9.84341390530952,7.31844227973664e-23,7.55038060429444e-20,"abca1a","UP","abca1a"
"ENSDARG00000032816","ENSDARG00000032816",102.35857647903,0.653163124285472,0.201795126089577,3.23676362726191,0.00120893503466316,0.0394506975301759,"tm7sf2","UP","tm7sf2"
"ENSDARG00000091209","ENSDARG00000091209",442.095791990806,1.47591042412636,0.223427079640868,6.60578129785658,3.95426288675031e-11,1.08233824157337e-08,"ucp3","UP","ucp3"
"ENSDARG00000077284","ENSDARG00000077284",169.986255804165,0.589427750727758,0.167039977057744,3.52866278546003,0.000417664978570307,0.0177530284150635,"gdpd5a","UP","gdpd5a"
"ENSDARG00000036028","ENSDARG00000036028",1636.69763084042,1.04885991904851,0.074074744969117,14.1594806635621,1.63195722878934e-45,4.37756207050451e-42,"arrdc3b","UP","arrdc3b"
"ENSDARG00000020761","ENSDARG00000020761",380.90592409616,0.70109831638291,0.122894449511144,5.70488186546891,1.16423806081879e-08,2.2306801245288e-06,"arrdc2","UP","arrdc2"
"ENSDARG00000104687","ENSDARG00000104687",861.46160025148,1.24941178125086,0.0975013573423065,12.8143014139223,1.36360922521786e-37,2.61267527551742e-34,"slc16a9b","UP","slc16a9b"
"ENSDARG00000031588","ENSDARG00000031588",226.134012157623,-1.00964336065562,0.179409717661196,-5.62758458024144,1.82750560161384e-08,3.35760344230751e-06,"si:dkey-239b22.1","DOWN","si:dkey-239b22.1"
"ENSDARG00000103634","ENSDARG00000103634",192.933990300311,-0.888368904318938,0.176753322535929,-5.02603793565666,5.00716880118136e-07,6.33548565674004e-05,"CU914622.2","DOWN","CU914622.2"
"ENSDARG00000109626","ENSDARG00000109626",103.853832591777,-1.215975188126,0.216491625975681,-5.6167308210923,1.94604228870366e-08,3.52707015893155e-06,"si:ch211-226h7.3","DOWN","si:ch211-226h7.3"
"ENSDARG00000098631","ENSDARG00000098631",321.531605310973,-0.592419806810651,0.114462865926697,-5.17565065328736,2.27118078303968e-07,3.14031718166271e-05,"CABZ01044277.1","DOWN","CABZ01044277.1"
"ENSDARG00000115956","ENSDARG00000115956",2120.83423847836,-0.633763018762258,0.0804946870748544,-7.87335216512989,3.4526300565352e-15,1.71506201178704e-12,"CABZ01044281.1","DOWN","CABZ01044281.1"
"ENSDARG00000074686","ENSDARG00000074686",3875.17198927379,0.532200269938458,0.0578057294943541,9.20670450133214,3.36290894078239e-20,2.50574081743185e-17,"oga","UP","oga"
"ENSDARG00000039269","ENSDARG00000039269",365.056519038017,0.605191363897532,0.115875898015939,5.22275446628501,1.76281064954745e-07,2.54223832599251e-05,"arg2","UP","arg2"
"ENSDARG00000012789","ENSDARG00000012789",142.19186020504,0.668282952673688,0.175480579195355,3.80830149830836,0.000139924604815607,0.00785217071040551,"plek2","UP","plek2"
"ENSDARG00000030440","ENSDARG00000030440",1554.1629333107,-0.525484277943395,0.0692171410112892,-7.59182292515793,3.15435898388958e-14,1.24430184388021e-11,"rsrp1","DOWN","rsrp1"
"ENSDARG00000015355","ENSDARG00000015355",287.204295328619,0.734156289622754,0.154073897946285,4.76496213446035,1.88889118337869e-06,0.000204304907673185,"fosl1a","UP","fosl1a"
"ENSDARG00000079150","ENSDARG00000079150",370.826542747129,0.513043878471716,0.106842446387254,4.80187318635675,1.5718823279021e-06,0.000174232113899363,"si:ch211-276i12.9","UP","si:ch211-276i12.9"
"ENSDARG00000103117","ENSDARG00000103117",312.217630081465,0.500602206890428,0.114583422459159,4.36888858917491,1.24880450811273e-05,0.0010212784184639,"tmprss4a","UP","tmprss4a"
"ENSDARG00000069282","ENSDARG00000069282",179.076090237604,0.551218808666683,0.144001261294192,3.82787486521074,0.000129254437069203,0.00744017386254145,"bbc3","UP","bbc3"
"ENSDARG00000036848","ENSDARG00000036848",1265.66021160968,0.760812103333122,0.0633292897259658,12.0135897090471,3.01468922307209e-33,5.05412648248036e-30,"slc43a2a","UP","slc43a2a"
"ENSDARG00000019949","ENSDARG00000019949",2319.4004402678,-1.05658544747867,0.0620572152869443,-17.0259887201377,5.26948387698895e-65,2.35581059193919e-61,"serpinh1b","DOWN","serpinh1b"
"ENSDARG00000088571","ENSDARG00000088571",161.234380697181,0.820880339580121,0.214791434974794,3.82175546094961,0.000132505052769944,0.00753032952436647,"si:ch211-151o1.4","UP","si:ch211-151o1.4"
"ENSDARG00000038424","ENSDARG00000038424",632.594426992618,0.520523141120078,0.111061725506581,4.68679141032466,2.77521560000318e-06,0.000273685232553255,"c4b","UP","c4b"
"ENSDARG00000103199","ENSDARG00000103199",321.323374954877,-0.628608662594376,0.12105630386832,-5.19269664203649,2.07269762394586e-07,2.92621268761705e-05,"si:dkey-247k7.2","DOWN","si:dkey-247k7.2"
"ENSDARG00000010420","ENSDARG00000010420",718.539310396935,0.551581526180061,0.0784030251870537,7.03520718574442,1.98965133491034e-12,6.06481902359489e-10,"ndrg1b","UP","ndrg1b"
"ENSDARG00000043932","ENSDARG00000043932",442.563710025161,0.541477095954413,0.108256619104656,5.00179204221171,5.67998419564401e-07,7.05369889184977e-05,"stmn4l","UP","stmn4l"
"ENSDARG00000060113","ENSDARG00000060113",1091.80087808049,0.62239137501352,0.0705168327076985,8.82613910913177,1.08351244998072e-18,7.64845735744287e-16,"znf395a","UP","znf395a"
"ENSDARG00000013926","ENSDARG00000013926",374.359886614668,1.418478359206,0.257682766014403,5.50474671296688,3.6969940224748e-08,6.35693382428615e-06,"slc16a9a","UP","slc16a9a"
"ENSDARG00000059259","ENSDARG00000059259",153.487692533566,1.32927901120291,0.172017951691815,7.72755981645702,1.09627655929167e-14,4.59476912913123e-12,"pabpc4","UP","pabpc4"
"ENSDARG00000028804","ENSDARG00000028804",351.668331421703,-0.779967157431321,0.113769482280276,-6.8556799398088,7.09741216177861e-12,2.11534426475055e-09,"ankrd9","DOWN","ankrd9"
"ENSDARG00000020239","ENSDARG00000020239",767.610126858016,0.595784040624101,0.109121802215328,5.45980755934046,4.76650950146733e-08,7.99105317920998e-06,"lpin1","UP","lpin1"
"ENSDARG00000007377","ENSDARG00000007377",2290.28873204699,0.769740745868682,0.0668206876268019,11.5194975269895,1.05222804382317e-30,1.56805361375071e-27,"odc1","UP","odc1"
"ENSDARG00000041081","ENSDARG00000041081",183.643344616859,0.920292006260641,0.190787846085305,4.82364063090875,1.40961297004434e-06,0.000159147031968338,"kmt5b","UP","kmt5b"
"ENSDARG00000041068","ENSDARG00000041068",153.928545070677,0.680333199382235,0.194449725678448,3.49876142539418,0.000467424615182888,0.0191715563878682,"got2a","UP","got2a"
"ENSDARG00000098855","ENSDARG00000098855",238.883620276904,0.521152249226633,0.138699573552568,3.7574178195228,0.000171675719829218,0.00917372815781376,"oxsm","UP","oxsm"
