"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000006588","ENSDARG00000006588",908.341093812781,0.570981745850922,0.0771686109472746,7.39914505187926,1.37064069795819e-13,1.62994878500315e-10,"zgc:111983","UP","zgc:111983"
"ENSDARG00000032801","ENSDARG00000032801",24.5909605493247,1.31295347906451,0.370914939921537,3.5397697362696,0.000400476285094961,0.025917898899666,"grk5","UP","grk5"
"ENSDARG00000043729","ENSDARG00000043729",159.184077194581,0.576152084500527,0.133944980367623,4.30140855535779,1.69715811554594e-05,0.00229020052939664,"plac8.1","UP","plac8.1"
"ENSDARG00000014047","ENSDARG00000014047",1839.32453455763,-0.560675410298841,0.0780976686348121,-7.17915681863158,7.01426547957968e-13,7.41446829333125e-10,"cldn7b","DOWN","cldn7b"
"ENSDARG00000091209","ENSDARG00000091209",416.932018650281,-1.23996995592691,0.365858825818135,-3.38920334408793,0.00070096008969674,0.0389975661598242,"ucp3","DOWN","ucp3"
"ENSDARG00000111240","ENSDARG00000111240",241.454544331408,-0.559453186838098,0.112537796239905,-4.97124704348635,6.65236182281214e-07,0.000148911162826643,"dhrs13a.2","DOWN","dhrs13a.2"
"ENSDARG00000045003","ENSDARG00000045003",538.220004590869,-0.561393127486562,0.0839069058735424,-6.69066653861182,2.22156373256075e-11,1.5096318978369e-08,"plvapb","DOWN","plvapb"
"ENSDARG00000089724","ENSDARG00000089724",24.3046748375733,1.46042646933589,0.394222452384552,3.70457456317401,0.000211745817300577,0.0159876494673733,"cyldb","UP","cyldb"
"ENSDARG00000043442","ENSDARG00000043442",218.200304486894,-0.519871057542224,0.128475196474932,-4.04647022776618,5.19957342868044e-05,0.00540613571734987,"zgc:153665","DOWN","zgc:153665"
"ENSDARG00000104687","ENSDARG00000104687",707.655391009282,-1.16739775227029,0.26055938575845,-4.48035195075459,7.45200554893312e-06,0.00106608503443271,"slc16a9b","DOWN","slc16a9b"
"ENSDARG00000062943","ENSDARG00000062943",126.080506130371,0.585824229790397,0.158854368590836,3.68780685723107,0.000226195235330772,0.0167975726245678,"taco1","UP","taco1"
"ENSDARG00000024560","ENSDARG00000024560",74.3146280090877,0.750607661111745,0.196137535390378,3.82694551360497,0.000129743219363023,0.0111629268330626,"slc4a1b","UP","slc4a1b"
"ENSDARG00000079647","ENSDARG00000079647",115.945957534017,0.553221430629854,0.161144102466785,3.43308518376516,0.000596754578240848,0.0353721163868804,"muc13b","UP","muc13b"
"ENSDARG00000039117","ENSDARG00000039117",735.721916782397,-0.576821763564986,0.0663343153561637,-8.69567674691298,3.44768677716977e-18,1.31198272618418e-14,"tefa","DOWN","tefa"
"ENSDARG00000079227","ENSDARG00000079227",15.8192992378725,2.31773508758259,0.502381087131261,4.61349988475386,3.95944483344633e-06,0.000660845235491081,"plekhs1","UP","plekhs1"
"ENSDARG00000074852","ENSDARG00000074852",49.7522586060818,0.854068014814234,0.254540952643274,3.35532654350974,0.000792713516172136,0.0424872114710063,"myo15b","UP","myo15b"
"ENSDARG00000097539","ENSDARG00000097539",127.518977378825,1.02349317336153,0.20378686004366,5.02237079045361,5.10375314220178e-07,0.0001198877914033,"si:ch211-39f2.3","UP","si:ch211-39f2.3"
"ENSDARG00000031588","ENSDARG00000031588",150.369951444379,1.71998466088994,0.331318250326431,5.19133690702317,2.08789430484452e-07,5.9293081997428e-05,"si:dkey-239b22.1","UP","si:dkey-239b22.1"
"ENSDARG00000103634","ENSDARG00000103634",111.241746291207,1.1258067537042,0.195828186076754,5.7489515491041,8.97985438958209e-09,3.78582770790123e-06,"CU914622.2","UP","CU914622.2"
"ENSDARG00000113315","ENSDARG00000113315",39.8574083928696,1.33472730172902,0.27116302338244,4.92223196614298,8.55627086299928e-07,0.000178901281000316,"zgc:153932","UP","zgc:153932"
"ENSDARG00000052779","ENSDARG00000052779",46.5429801399041,2.11065511359556,0.322873942639982,6.53708718745703,6.27284847363912e-11,3.85011251315908e-08,"zgc:153932","UP","zgc:153932"
"ENSDARG00000095409","ENSDARG00000095409",24.5800773952263,1.34814530117391,0.351875182136103,3.83131681237029,0.000127459256030863,0.0110234875659056,"si:ch211-226h7.8","UP","si:ch211-226h7.8"
"ENSDARG00000109626","ENSDARG00000109626",71.2401409015001,1.03305985170986,0.211511341231597,4.88418183958609,1.03859195260473e-06,0.000214796620458806,"si:ch211-226h7.3","UP","si:ch211-226h7.3"
"ENSDARG00000068515","ENSDARG00000068515",104.428735910111,0.833944389141329,0.177526037503364,4.69758915857921,2.63250281905285e-06,0.000468118048019799,"chs1","UP","chs1"
"ENSDARG00000102406","ENSDARG00000102406",175.796757302897,0.590260890057964,0.148898053557558,3.96419480278695,7.36440975575667e-05,0.00711282357476051,"si:ch211-165e15.1","UP","si:ch211-165e15.1"
"ENSDARG00000098631","ENSDARG00000098631",413.950390245612,0.751988822343517,0.137215474379232,5.48034998053642,4.24485314043399e-08,1.44226465541138e-05,"CABZ01044277.1","UP","CABZ01044277.1"
"ENSDARG00000115956","ENSDARG00000115956",1860.492965119,0.919110182718067,0.141786376681681,6.48235891366014,9.0299512626013e-11,5.36915258354734e-08,"CABZ01044281.1","UP","CABZ01044281.1"
"ENSDARG00000101795","ENSDARG00000101795",151.586019650632,-0.825468665578829,0.193891638694493,-4.2573711333653,2.06844818179887e-05,0.00262375757033914,"CABZ01033394.1","DOWN","CABZ01033394.1"
"ENSDARG00000074686","ENSDARG00000074686",3047.71668476845,-0.650967176928597,0.0690914080419923,-9.42182530905946,4.43313329703414e-21,2.81164090808896e-17,"oga","DOWN","oga"
"ENSDARG00000071304","ENSDARG00000071304",174.006673661638,-0.767833826167698,0.169271539642047,-4.53610706082908,5.73020996809906e-06,0.000894367227143464,"tbc1d2","DOWN","tbc1d2"
"ENSDARG00000026049","ENSDARG00000026049",79.9160535739359,1.67046547976167,0.237419042421248,7.03593723033301,1.97926030394801e-12,1.79330408586756e-09,"mxf","UP","mxf"
"ENSDARG00000070038","ENSDARG00000070038",114.610896942682,-1.72892414859517,0.230022612728352,-7.51632253928429,5.63384641020112e-14,7.14634637645978e-11,"rbp2a","DOWN","rbp2a"
"ENSDARG00000102364","ENSDARG00000102364",629.3972251305,0.535535475072266,0.0940724760037817,5.69279663746426,1.249752086803e-08,5.05936871395761e-06,"si:dkey-202l22.6","UP","si:dkey-202l22.6"
"ENSDARG00000071658","ENSDARG00000071658",17.7146131222092,-2.02536831487182,0.552425214224092,-3.66632127339905,0.000246064754592067,0.0179382148874454,"ywhag2","DOWN","ywhag2"
"ENSDARG00000037403","ENSDARG00000037403",74.7656497891374,1.01701194020551,0.202417452313887,5.02432931834573,5.05194857047586e-07,0.0001198877914033,"hspa8b","UP","hspa8b"
"ENSDARG00000055591","ENSDARG00000055591",67.4115486025582,0.689717572292677,0.20589457319962,3.34985794707653,0.000808530136302867,0.0429717958196499,"pipox","UP","pipox"
"ENSDARG00000036848","ENSDARG00000036848",1314.70349532412,-0.651474045032051,0.0971939986418578,-6.70282171878343,2.04432828728306e-11,1.44064571563462e-08,"slc43a2a","DOWN","slc43a2a"
"ENSDARG00000019949","ENSDARG00000019949",3638.49074579683,0.821205087903876,0.121412717737992,6.76374850348075,1.34466421936034e-11,9.84035619298816e-09,"serpinh1b","UP","serpinh1b"
"ENSDARG00000097289","ENSDARG00000097289",115.49177565891,-0.733478969259517,0.180219506940931,-4.06991996432397,4.70292914398143e-05,0.00502711420351319,"BX629344.1","DOWN","BX629344.1"
"ENSDARG00000003973","ENSDARG00000003973",154.440328446213,0.619336401369623,0.135363130071869,4.57536997734018,4.75379133314077e-06,0.000779744721514392,"chordc1a","UP","chordc1a"
