"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",9810.29665210412,0.223733942976305,0.1315257282013,1.70106598941525,0.0889305964842061,0.48202783691116
"ENSDARG00000102407",233.231173984353,-0.237358640866626,0.152693679046855,-1.5544758784271,0.120070946083344,0.547710430674883
"ENSDARG00000102097",114.317730009636,-0.0139788403626988,0.223598116650193,-0.0625177017236147,0.950150565576215,0.991060048621282
"ENSDARG00000099640",258.856346981373,-0.225759180101785,0.183651349559186,-1.22928135645978,0.218966334848668,0.685627595198444
"ENSDARG00000104071",217.126235745813,-0.109485148843269,0.135781831566763,-0.80633135950472,0.420051813271077,0.830558779840745
"ENSDARG00000102746",549.628264752915,-0.274334740542466,0.149664899527839,-1.83299318282332,0.0668035848952641,0.428313710437103
"ENSDARG00000103929",434.606176710265,0.155473400662662,0.114684146756674,1.35566601888341,0.175205455959641,0.632960766490109
"ENSDARG00000101073",31.6104471716104,0.172285775110354,0.291675728401265,0.590675734503819,0.554737709587149,0.891711894025195
"ENSDARG00000100223",1346.91221372625,0.0629153573940591,0.0675069510208224,0.931983394934442,0.351345106961539,0.788326855549846
"ENSDARG00000100782",82.6665182094506,0.430685983143879,0.193991770366107,2.22012502041234,0.026410282215714,0.263541961987387
"ENSDARG00000034862",120.137356045191,0.140923715039172,0.171726620711875,0.820628243046924,0.411858055209317,0.8253132953541
"ENSDARG00000075827",134.505799515159,0.137571703641613,0.172821747617028,0.796032360154526,0.426013226777491,0.83344587118766
"ENSDARG00000088581",1033.05071603126,0.115201467087581,0.0897713606973545,1.28327638338867,0.199395263604869,0.666077775911355
"ENSDARG00000076900",41.6542735641947,0.403122445845265,0.278082040792973,1.44965293226319,0.147155327276828,0.595422857158028
"ENSDARG00000013802",244.485179428765,-0.025470293722554,0.128122267787505,-0.198796775629959,0.842421718328335,0.971148867800655
"ENSDARG00000096578",568.747281679624,-0.0235944275373948,0.0906509146154385,-0.260277876262889,0.794649436835435,0.962430369116931
"ENSDARG00000109848",1.34596491225022,0.048354433548667,1.60429616194862,0.0301405904318405,0.975954928941001,NA
"ENSDARG00000100181",169.592597715374,-0.080756862502767,0.157671045110896,-0.512185750059356,0.608521015202941,0.909157149333099
"ENSDARG00000029936",126.84111676505,0.40409278993513,0.164331421334534,2.45901110483616,0.0139320308304469,0.184750023562539
"ENSDARG00000041589",25.6543270233883,0.178501878179698,0.310435548911676,0.575004630769541,0.565288165163212,0.895558421546125
