"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000099104",9145.25111297286,-0.224349589194398,0.209622682949054,-1.07025435433876,0.2845048343494,0.999832103467005
"ENSDARG00000102407",172.690783242656,-0.0936826683173381,0.249518116518827,-0.375454374313015,0.707322572648303,0.999832103467005
"ENSDARG00000102097",131.643977197339,-0.148893879933795,0.417845407618795,-0.356337241522665,0.721588022578168,0.999832103467005
"ENSDARG00000099640",223.120954535134,-0.168318619993247,0.246240332904366,-0.683554225288586,0.494256697978076,0.999832103467005
"ENSDARG00000104071",187.829473374891,-0.257752704300124,0.214312046425823,-1.20269816185688,0.229093145496399,0.999832103467005
"ENSDARG00000102746",425.234627471101,-0.188467136968797,0.135389565037233,-1.39203591441459,0.16391152269624,0.999832103467005
"ENSDARG00000103929",420.027634799916,-0.209630168846778,0.17015283629214,-1.23201101677117,0.217944968833218,0.999832103467005
"ENSDARG00000101073",42.6824501960587,0.0876498217386412,0.323214366331956,0.271181701275681,0.786251286115357,0.999832103467005
"ENSDARG00000100223",1298.91668880184,-0.0869366304673688,0.103749565785739,-0.837946933165078,0.402060508047786,0.999832103467005
"ENSDARG00000100782",95.1847466407297,0.176077981812458,0.281695809129881,0.625064257634283,0.531928885249282,0.999832103467005
"ENSDARG00000034862",142.522528265494,-0.112606030843367,0.163889932121306,-0.687083272205026,0.492030254815831,0.999832103467005
"ENSDARG00000075827",98.4683658423176,-0.102606724961492,0.211955061625668,-0.484096601300819,0.628317313220983,0.999832103467005
"ENSDARG00000088581",1169.01271251298,-0.200773752662902,0.154225491043711,-1.30181950664691,0.192978093882636,0.999832103467005
"ENSDARG00000076900",59.5978512354586,-0.114097240770905,0.293384076233762,-0.388900591455397,0.697349684626219,0.999832103467005
"ENSDARG00000013802",240.715838566513,-0.402396405277215,0.143259631132064,-2.80886110132635,0.00497170916210203,0.508959041101341
"ENSDARG00000096578",538.138281277252,-0.0477805193627435,0.114742946408712,-0.416413564913613,0.677107404037211,0.999832103467005
"ENSDARG00000109848",2.49117238379299,2.03803235218986,1.19668938976716,1.70305876329898,0.0885570719636058,0.999832103467005
"ENSDARG00000100181",156.666078232602,0.12216394548784,0.154313002260103,0.791663331660969,0.428557008456279,0.999832103467005
"ENSDARG00000029936",158.515277760382,-0.0652771330467684,0.27552393795148,-0.236920006051393,0.81271884919985,0.999832103467005
"ENSDARG00000041589",32.2740556372751,0.0599713503623988,0.320455908985667,0.187143843133444,0.851547853505681,0.999832103467005
"ENSDARG00000041592",396.70001423631,0.0227572991342981,0.11741390382011,0.193821160815542,0.846315917265755,0.999832103467005
"ENSDARG00000075108",76.0228612746707,-0.104431152853103,0.284149793223218,-0.367521481076937,0.71323007166079,0.999832103467005
"ENSDARG00000016304",223.265221372818,-0.192356173054768,0.193666600945665,-0.993233588628614,0.320596133167892,0.999832103467005
"ENSDARG00000058803",451.222949050754,-0.0564457485346624,0.154041775552079,-0.36643143285231,0.714043168293213,0.999832103467005
"ENSDARG00000063385",1128.22953967403,-0.145952706172467,0.155761188722028,-0.937028712800431,0.348743788574157,0.999832103467005
"ENSDARG00000007804",335.094712988125,-0.270232422643311,0.201884358337648,-1.33855056859508,0.180717027479605,0.999832103467005
"ENSDARG00000068261",259.92313357825,-0.00862614436090666,0.201576518941193,-0.0427933987858139,0.965866226176666,0.999832103467005
"ENSDARG00000063371",515.159570283327,-0.123925123335001,0.144133347682678,-0.859794942165867,0.389902087831906,0.999832103467005
"ENSDARG00000078751",830.914207769445,-0.111228758971045,0.108149466568808,-1.0284725620933,0.303727591024775,0.999832103467005
