"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000015803","ENSDARG00000015803",67.8646073313227,0.732625980490503,0.209640157235999,3.49468341442694,0.000474624371829619,0.0162393727222286,"smcr8b","UP","smcr8b"
"ENSDARG00000086957","ENSDARG00000086957",103.118600349248,-0.717882186398103,0.166352078298141,-4.31543863919448,1.59286294329144e-05,0.000959575126378847,"si:dkeyp-118a3.2","DOWN","si:dkeyp-118a3.2"
"ENSDARG00000070278","ENSDARG00000070278",127.443517154028,-0.545834335361594,0.166068046087062,-3.28681132958859,0.00101328697765522,0.0287983241162899,"mettl14","DOWN","mettl14"
"ENSDARG00000037099","ENSDARG00000037099",193.366781688266,0.538679034044188,0.135353039290012,3.97980744924386,6.8971109148648e-05,0.00339952005349222,"irs2a","UP","irs2a"
"ENSDARG00000069946","ENSDARG00000069946",526.326985601654,0.855592178594999,0.156144703156734,5.47948256519582,4.26571477406537e-08,5.9734131720273e-06,"itga6b","UP","itga6b"
"ENSDARG00000094485","ENSDARG00000094485",19.1742085225275,2.46476451784321,0.455900978258001,5.40635935299171,6.43186899236306e-08,8.71806857971262e-06,"si:dkey-27h10.2","UP","si:dkey-27h10.2"
"ENSDARG00000053222","ENSDARG00000053222",232.774763108035,0.508202042908141,0.142695848958125,3.56143536492976,0.000368832911696151,0.0133773103221529,"asb5b","UP","asb5b"
"ENSDARG00000093237","ENSDARG00000093237",133.934843700824,0.69997691316005,0.217778390679739,3.21417065749844,0.00130821894784756,0.0351937527382145,"si:ch211-89o9.4","UP","si:ch211-89o9.4"
"ENSDARG00000036967","ENSDARG00000036967",1306.80854505166,0.628416732740088,0.120852715427061,5.19985612668639,1.99442846041286e-07,2.23133279340899e-05,"smox","UP","smox"
"ENSDARG00000087426","ENSDARG00000087426",216.19864070129,0.63332688913169,0.139767526501821,4.53128781043027,5.86252031904035e-06,0.0004187938923855,"si:ch211-151p13.8","UP","si:ch211-151p13.8"
"ENSDARG00000089853","ENSDARG00000089853",29.414168579207,1.05962295478239,0.33384549453425,3.17399207756472,0.00150357794734722,0.039057930831274,"si:dkey-22n8.3","UP","si:dkey-22n8.3"
"ENSDARG00000075045","ENSDARG00000075045",31.6776552068071,1.87011751000827,0.467600519934731,3.99939142554698,6.35055733930102e-05,0.00318960890592684,"cxcl18b","UP","cxcl18b"
"ENSDARG00000016818","ENSDARG00000016818",26.6513705938145,-1.20701921277646,0.343664853667434,-3.51219858503336,0.000444415791240126,0.0154558748450205,"abcg2d","DOWN","abcg2d"
"ENSDARG00000074378","ENSDARG00000074378",232.267684809325,0.841987958226189,0.196900708191416,4.27620583978629,1.90105462455689e-05,0.00112598879653377,"junba","UP","junba"
"ENSDARG00000074635","ENSDARG00000074635",1630.87536015445,0.584493163908543,0.122867930112445,4.7570848094668,1.96408668074971e-06,0.000160349856619508,"abca1a","UP","abca1a"
"ENSDARG00000023151","ENSDARG00000023151",1253.60106370827,0.626602414926718,0.103107493572574,6.07717628676203,1.22317271270161e-09,2.13751958760955e-07,"ucp1","UP","ucp1"
"ENSDARG00000074771","ENSDARG00000074771",101.338164098978,0.712039656350422,0.213160058761397,3.34039904327223,0.00083658090645762,0.0248448079593348,"ifngr1","UP","ifngr1"
"ENSDARG00000025808","ENSDARG00000025808",198.418454936598,-0.510893174283756,0.159386194301757,-3.20537908895992,0.0013488470361809,0.0360118315404611,"taf5l","DOWN","taf5l"
"ENSDARG00000028276","ENSDARG00000028276",9.57062309923816,1.92678543550018,0.594000023998616,3.24374639335818,0.00117968730107943,0.0326380576162656,"si:ch211-196h16.12","UP","si:ch211-196h16.12"
"ENSDARG00000031952","ENSDARG00000031952",443.033841850858,-0.776234476444249,0.151504676469099,-5.12350175938344,2.9991284633808e-07,3.15505330140234e-05,"mb","DOWN","mb"
"ENSDARG00000102825","ENSDARG00000102825",81.5037669543194,-0.757315182537408,0.206372142943872,-3.66965798646273,0.000242875197862301,0.00942311203449241,"olfm2b","DOWN","olfm2b"
"ENSDARG00000103980","ENSDARG00000103980",459.113355981277,1.06294713697925,0.133084414935207,7.98701438854995,1.38245961474417e-15,5.82307062557329e-13,"ets2","UP","ets2"
"ENSDARG00000032801","ENSDARG00000032801",35.8547844139963,-1.4196708067815,0.310568710065389,-4.57119716433313,4.84945731172973e-06,0.000358537674323514,"grk5","DOWN","grk5"
"ENSDARG00000104693","ENSDARG00000104693",1752.69617255872,0.813440475989851,0.0872034533760634,9.32807640635404,1.0780968384735e-20,6.70481107338889e-18,"il6st","UP","il6st"
"ENSDARG00000019521","ENSDARG00000019521",320.079623293854,-0.564062359493559,0.149129898081581,-3.78235596449608,0.000155350988396247,0.0065697932992773,"mpx","DOWN","mpx"
"ENSDARG00000089307","ENSDARG00000089307",62.9635119457566,1.2700411623918,0.248212751403551,5.11674422530747,3.10854702997213e-07,3.23794221422466e-05,"pmaip1","UP","pmaip1"
"ENSDARG00000044251","ENSDARG00000044251",113.860623146171,0.820895163259001,0.185951220767928,4.4145725952695,1.01209749272961e-05,0.000668873929202795,"rasgef1bb","UP","rasgef1bb"
"ENSDARG00000044261","ENSDARG00000044261",549.940025242399,-0.552525156731104,0.109388225441925,-5.05104781158043,4.39393061775668e-07,4.31573073842196e-05,"si:ch211-243g18.2","DOWN","si:ch211-243g18.2"
"ENSDARG00000063050","ENSDARG00000063050",148.298125906544,0.698554643563246,0.199436502727376,3.50264186350154,0.000460668398659006,0.0158904295100239,"rc3h2","UP","rc3h2"
"ENSDARG00000074425","ENSDARG00000074425",168.985613628777,0.615590808295169,0.196807846269572,3.12787736852717,0.00176073628175043,0.0440080008009609,"si:busm1-57f23.1","UP","si:busm1-57f23.1"
"ENSDARG00000013871","ENSDARG00000013871",89.6630089591098,1.35346359941577,0.228460202226141,5.92428609546641,3.13656984443674e-09,5.10175148927807e-07,"slc5a1","UP","slc5a1"
"ENSDARG00000044010","ENSDARG00000044010",449.688802686913,0.578231820046201,0.111721547028003,5.17565174693891,2.27116747798829e-07,2.46276083702884e-05,"loxl2a","UP","loxl2a"
"ENSDARG00000014047","ENSDARG00000014047",1583.91409042939,0.759475936249809,0.0760420671673544,9.9875761475335,1.72754261148268e-23,1.21762961732671e-20,"cldn7b","UP","cldn7b"
"ENSDARG00000056885","ENSDARG00000056885",166.492077132587,0.546738455233869,0.158193934330761,3.45612780633368,0.000547995422522313,0.017992800014339,"per1a","UP","per1a"
"ENSDARG00000056873","ENSDARG00000056873",1625.63808046294,-0.81441577652291,0.122358253078546,-6.65599382168448,2.81392074544247e-11,6.3298249108916e-09,"and3","DOWN","and3"
"ENSDARG00000086665","ENSDARG00000086665",259.367247308539,0.519662963969489,0.12046069873323,4.31396272339681,1.60353995939654e-05,0.000963262853449994,"si:dkey-175g6.2","UP","si:dkey-175g6.2"
"ENSDARG00000061120","ENSDARG00000061120",1362.45839937379,0.623818075443797,0.123239096637278,5.06185206209231,4.15203158273311e-07,4.12181726839866e-05,"slc43a2b","UP","slc43a2b"
"ENSDARG00000076856","ENSDARG00000076856",731.222234803537,-0.739515110670259,0.132342966044901,-5.5878686474305,2.29873406019755e-08,3.37546747936648e-06,"frem2a","DOWN","frem2a"
"ENSDARG00000018399","ENSDARG00000018399",254.512806024477,1.11135178827405,0.128091913294044,8.67620570022142,4.09191762867058e-18,1.96644541495999e-15,"rps6kb1a","UP","rps6kb1a"
"ENSDARG00000068995","ENSDARG00000068995",4913.7598788634,0.708989533596036,0.120549883984986,5.8812958599308,4.07066784837503e-09,6.45853528442873e-07,"h2ax1","UP","h2ax1"
"ENSDARG00000098867","ENSDARG00000098867",94.7646914892617,-0.762485184499455,0.171109100040623,-4.45613462006657,8.34506404703281e-06,0.000576654834230421,"PRDM15","DOWN","PRDM15"
"ENSDARG00000043182","ENSDARG00000043182",249.315649163538,0.578334626511874,0.175290082465716,3.29930032764397,0.000969261537236639,0.0279965530462715,"hhla2a.1","UP","hhla2a.1"
"ENSDARG00000004763","ENSDARG00000004763",13.2067032704901,1.7663549110347,0.503943620367044,3.50506453429887,0.000456496615204392,0.0158239687352408,"hhla2a.2","UP","hhla2a.2"
"ENSDARG00000061052","ENSDARG00000061052",1068.22737917781,-0.527192242196652,0.148195478640507,-3.55741111019666,0.000374527775279236,0.0135143170789752,"nipblb","DOWN","nipblb"
"ENSDARG00000091209","ENSDARG00000091209",281.225254122913,3.08015589349033,0.234527050956825,13.1334781251199,2.11704894672696e-39,3.73041666487846e-36,"ucp3","UP","ucp3"
"ENSDARG00000043154","ENSDARG00000043154",3522.87959625379,0.826241138470707,0.117912769184078,7.00722359578232,2.43093617237944e-12,6.50660067910928e-10,"ucp2","UP","ucp2"
"ENSDARG00000103981","ENSDARG00000103981",68.5944203848712,-1.26804561649791,0.250203041490464,-5.06806635500569,4.01877319308709e-07,4.00834713055785e-05,"bhlha9","DOWN","bhlha9"
"ENSDARG00000077284","ENSDARG00000077284",115.330577524358,0.631563904920818,0.179392840809772,3.52056359701962,0.000430630711351045,0.0151006407819533,"gdpd5a","UP","gdpd5a"
"ENSDARG00000012395","ENSDARG00000012395",57.7588233217926,1.44017061124143,0.227645057088939,6.32638647927582,2.50968776122737e-10,5.05403311534789e-08,"mmp13a","UP","mmp13a"
"ENSDARG00000114451","ENSDARG00000114451",98.6399506693767,2.10744151362773,0.230802116961097,9.13094533696566,6.79037245575048e-20,3.88060609667146e-17,"mmp13a","UP","mmp13a"
"ENSDARG00000045887","ENSDARG00000045887",193.363904911748,1.39197707736046,0.43206851506056,3.22165820660494,0.00127451076389816,0.0346095402507965,"mmp30","UP","mmp30"
"ENSDARG00000099727","ENSDARG00000099727",254.039900492895,0.561291076733613,0.11321380212664,4.95779724901173,7.12969096458388e-07,6.70032513093894e-05,"ssbp2","UP","ssbp2"
"ENSDARG00000009401","ENSDARG00000009401",2797.69711346436,-0.528567319832267,0.111321230945447,-4.74812679794471,2.05309311784895e-06,0.000165315350704062,"vcanb","DOWN","vcanb"
"ENSDARG00000036028","ENSDARG00000036028",1234.51515950769,0.891406163783644,0.127683530480283,6.98137152403767,2.92312151766199e-12,7.53773225499546e-10,"arrdc3b","UP","arrdc3b"
"ENSDARG00000060871","ENSDARG00000060871",95.0117463263323,-1.05992207791317,0.192288399049721,-5.51214781105491,3.54481020414383e-08,5.05867080799716e-06,"mctp1b","DOWN","mctp1b"
"ENSDARG00000098700","ENSDARG00000098700",12.3142024001874,1.81514045749553,0.581323186017357,3.12242914295411,0.00179365275718771,0.0445673179209568,"il1b","UP","il1b"
"ENSDARG00000113877","ENSDARG00000113877",41.0874877014514,-0.996729286976252,0.28468910630552,-3.50111495276743,0.000463315950538584,0.0159297817465664,"hoxc13b","DOWN","hoxc13b"
"ENSDARG00000078076","ENSDARG00000078076",55.267172251205,1.42738257645691,0.267420800126699,5.33758995478525,9.41901753702893e-08,1.19978991458118e-05,"nab2","UP","nab2"
"ENSDARG00000038199","ENSDARG00000038199",41.9315769666295,1.03993634678854,0.30445422527251,3.41573957746102,0.000636090476792704,0.0202326145050684,"cdab","UP","cdab"
"ENSDARG00000045003","ENSDARG00000045003",573.874577586932,0.572601681808334,0.159101085688225,3.59898035473125,0.000319467318967215,0.0118928458795101,"plvapb","UP","plvapb"
"ENSDARG00000001782","ENSDARG00000001782",129.528065803809,0.673398403325814,0.181928733484675,3.70144061593514,0.000214378832974031,0.00861794757269178,"prkacba","UP","prkacba"
"ENSDARG00000002750","ENSDARG00000002750",299.507782355595,-0.526721863650134,0.120094093140866,-4.38590983015548,1.15501964624073e-05,0.000742337094825542,"phf20a","DOWN","phf20a"
