"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000018263","ENSDARG00000018263",443.520984434813,0.854339623368199,0.117300095578842,7.28336681357574,3.25590353532452e-13,6.69650559847108e-10,"pdia2","UP","pdia2"
"ENSDARG00000077652","ENSDARG00000077652",63.2915298856265,1.44059557395994,0.203380264513715,7.08326138430604,1.408007370866e-12,2.27533991131945e-09,"lratb.2","UP","lratb.2"
"ENSDARG00000056151","ENSDARG00000056151",1591.15881760464,0.624333606712752,0.161013107114645,3.87753281643223,0.000105521097983514,0.0327236143115958,"tyrp1b","UP","tyrp1b"
"ENSDARG00000006588","ENSDARG00000006588",1390.4119408968,0.902288670966638,0.139484374776106,6.46874370276205,9.88210423181163e-11,1.11786363070253e-07,"zgc:111983","UP","zgc:111983"
"ENSDARG00000031952","ENSDARG00000031952",740.207012348778,0.936708976907839,0.229918078503095,4.07409883992758,4.61928617424489e-05,0.0163291766259557,"mb","UP","mb"
"ENSDARG00000103295","ENSDARG00000103295",316.611266406303,0.69391575523464,0.150317177224563,4.61634370766542,3.90559907173494e-06,0.00210381603330789,"cyp3a65","UP","cyp3a65"
"ENSDARG00000094708","ENSDARG00000094708",95.3871994706893,0.859596566507899,0.199212106631212,4.31498155932467,1.59616226871934e-05,0.00722231503350126,"sftpba","UP","sftpba"
"ENSDARG00000078618","ENSDARG00000078618",102.641077274413,0.947196455798536,0.21339855293025,4.43862642362027,9.05348000434208e-06,0.00435799854506883,"inpp5kb","UP","inpp5kb"
"ENSDARG00000091298","ENSDARG00000091298",1557.36363661372,0.87983600813539,0.109381476736642,8.04373861448012,8.71382846861061e-16,2.46427069092308e-12,"pmela","UP","pmela"
"ENSDARG00000100635","ENSDARG00000100635",82.5654597273909,1.21546390194644,0.214960465711105,5.65436020026099,1.56427857291877e-08,1.36116301668132e-05,"chia.1","UP","chia.1"
"ENSDARG00000099185","ENSDARG00000099185",294.855494320162,1.20328121159905,0.26124511379246,4.60594724292132,4.10592485965995e-06,0.00216028939592899,"chia.2","UP","chia.2"
"ENSDARG00000016918","ENSDARG00000016918",455.288298640484,0.864422094917977,0.119292676810535,7.24622934139436,4.28534253253893e-13,8.07929912134672e-10,"ace2","UP","ace2"
"ENSDARG00000079227","ENSDARG00000079227",34.8621495381564,3.05854686172831,0.524257822445699,5.83405097793291,5.40975812263368e-09,5.09959865693602e-06,"plekhs1","UP","plekhs1"
"ENSDARG00000097539","ENSDARG00000097539",235.977662056849,1.34821904840502,0.157754464514556,8.54631311103476,1.27082953075873e-17,7.1878118259714e-14,"si:ch211-39f2.3","UP","si:ch211-39f2.3"
"ENSDARG00000031588","ENSDARG00000031588",383.130946253655,2.4783184164948,0.223334451020895,11.09689259837,1.29881369751251e-28,1.46921805462615e-24,"si:dkey-239b22.1","UP","si:dkey-239b22.1"
"ENSDARG00000103634","ENSDARG00000103634",195.803586000955,1.13001920230154,0.159878539568481,7.06798551795329,1.57198948723763e-12,2.37097934395095e-09,"CU914622.2","UP","CU914622.2"
"ENSDARG00000098256","ENSDARG00000098256",21.1568169057857,1.81833021815249,0.445575324704773,4.08085932352127,4.48695066122827e-05,0.0162855336802163,"si:ch73-329n5.6","UP","si:ch73-329n5.6"
"ENSDARG00000100106","ENSDARG00000100106",67.1220007898551,1.36652341156611,0.289030980374941,4.72794788224229,2.2680037856587e-06,0.00128278294116856,"CR385054.1","UP","CR385054.1"
"ENSDARG00000113315","ENSDARG00000113315",72.1845519902923,2.35903693014874,0.254336360010422,9.27526418185773,1.77179415796246e-20,1.33616903432476e-16,"zgc:153932","UP","zgc:153932"
"ENSDARG00000052779","ENSDARG00000052779",149.586956978623,3.32389115779441,0.2992084483448,11.1089482138019,1.13488338862003e-28,1.46921805462615e-24,"zgc:153932","UP","zgc:153932"
"ENSDARG00000095409","ENSDARG00000095409",57.3605305488369,1.98580108582188,0.322408729038471,6.15926588508998,7.30829344616358e-10,7.51558322390931e-07,"si:ch211-226h7.8","UP","si:ch211-226h7.8"
"ENSDARG00000076196","ENSDARG00000076196",17.5301871301461,2.29985951662294,0.471349835022684,4.87930480873565,1.06460425235288e-06,0.000650962340681936,"si:ch211-226h7.6","UP","si:ch211-226h7.6"
"ENSDARG00000074150","ENSDARG00000074150",44.2958430796702,2.11093887490926,0.373874735252998,5.64611265717328,1.64116324526384e-08,1.3751732318833e-05,"si:ch211-226h7.5","UP","si:ch211-226h7.5"
"ENSDARG00000109626","ENSDARG00000109626",140.144756316991,2.17600522352789,0.259402946221067,8.38851391330564,4.92325809472703e-17,1.8563965189184e-13,"si:ch211-226h7.3","UP","si:ch211-226h7.3"
"ENSDARG00000068515","ENSDARG00000068515",175.327177173262,0.877077389852998,0.206906426368035,4.23900506740615,2.24512591218104e-05,0.00907030868521141,"chs1","UP","chs1"
"ENSDARG00000039534","ENSDARG00000039534",28.0359178684613,1.18698582275711,0.311197418701681,3.81425343342895,0.0001365952373778,0.0396196237235301,"rrh","UP","rrh"
"ENSDARG00000105351","ENSDARG00000105351",19.7393730202046,1.61065801489183,0.384203930777522,4.19219556560055,2.7626767917612e-05,0.0107763447822078,"si:ch211-113d11.6","UP","si:ch211-113d11.6"
"ENSDARG00000068586","ENSDARG00000068586",219.488175106911,1.37574306000389,0.186018890857148,7.39571692780594,1.4064734283144e-13,3.18200548421849e-10,"CU302253.1","UP","CU302253.1"
"ENSDARG00000026049","ENSDARG00000026049",58.1369752904798,1.24231216966732,0.271500184662805,4.57573231933611,4.7455701150375e-06,0.00238586173961352,"mxf","UP","mxf"
"ENSDARG00000042293","ENSDARG00000042293",174.968610076209,0.627221106001378,0.163455252898401,3.83726490815954,0.00012441224214504,0.0375293675505251,"ca4b","UP","ca4b"
"ENSDARG00000103199","ENSDARG00000103199",309.262966000061,1.27212255390465,0.317315185948622,4.00901882493147,6.0971556425169e-05,0.0209003104933791,"si:dkey-247k7.2","UP","si:dkey-247k7.2"
"ENSDARG00000076844","ENSDARG00000076844",176.715141629448,0.522577992851478,0.137142572592983,3.81047243734011,0.000138701476399879,0.0397212936970996,"plin6","UP","plin6"
"ENSDARG00000075622","ENSDARG00000075622",297.307212507046,-0.508996967410755,0.123279982889021,-4.12878843330927,3.6467976388618e-05,0.0135254343904278,"zgc:174938","DOWN","zgc:174938"
"ENSDARG00000089399","ENSDARG00000089399",125.116150650635,1.06763932018721,0.2617799065151,4.0783852909109,4.5349567797632e-05,0.0162855336802163,"tmem176l.2","UP","tmem176l.2"
"ENSDARG00000071021","ENSDARG00000071021",3.93186375680954,-5.35849321315352,1.21479686821553,-4.41101994362634,1.02884840357292e-05,0.0047688729752314,"papss2a","DOWN","papss2a"
"ENSDARG00000009443","ENSDARG00000009443",74.9364111309453,1.05843948622668,0.249531521544489,4.24170653741625,2.21826622127828e-05,0.00907030868521141,"zgc:92137","UP","zgc:92137"
"ENSDARG00000093936","ENSDARG00000093936",307.039042918642,0.719520462133814,0.182163532526636,3.94986006339443,7.81968969209798e-05,0.0260165675873566,"si:dkeyp-1h4.6","UP","si:dkeyp-1h4.6"
"ENSDARG00000011076","ENSDARG00000011076",136.492618791155,0.706991268857962,0.185208593380071,3.81727033263045,0.000134936296714131,0.0396196237235301,"zgc:91968","UP","zgc:91968"
"ENSDARG00000036767","ENSDARG00000036767",223.902780439368,1.35433558684336,0.162754942698347,8.32131770863335,8.69907272893323e-17,2.81154030599122e-13,"urgcp","UP","urgcp"
"ENSDARG00000007480","ENSDARG00000007480",462.401197148519,1.76271285317304,0.255289219832888,6.90476806786793,5.02855158479064e-12,6.6921147679002e-09,"rpe65a","UP","rpe65a"
"ENSDARG00000034503","ENSDARG00000034503",671.89464764812,-0.815285372557012,0.120999531430647,-6.73792173339372,1.6066806720466e-11,2.01941908468791e-08,"per2","DOWN","per2"
"ENSDARG00000057911","ENSDARG00000057911",107.776593805903,-24.4740044890683,3.3837162433124,-7.23287732458031,4.72866522485245e-13,8.2293324651586e-10,"ACTC1","DOWN","ACTC1"
"ENSDARG00000091757","ENSDARG00000091757",276.658832114878,0.667024004536619,0.143687161302609,4.64219627202354,3.44725161283445e-06,0.00190221025582358,"adgrf6","UP","adgrf6"
