"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000090408","ENSDARG00000090408",22.553600259309,1.50805676499641,0.422539931135664,3.56902780985266,0.000358308393702797,0.0180487034837636,"","UP",""
"ENSDARG00000076176","ENSDARG00000076176",106.724858462578,0.798396335644502,0.244379612681618,3.26703331298208,0.00108680890827166,0.0396923169406254,"ptcd1","UP","ptcd1"
"ENSDARG00000007443","ENSDARG00000007443",55.1983080936643,1.06946765811386,0.315262041078085,3.39231343696391,0.000693051104222198,0.0287906130028879,"fbxl18","UP","fbxl18"
"ENSDARG00000037746","ENSDARG00000037746",19162.503906873,0.989921279781401,0.20670440175492,4.78906724470775,1.67558329721933e-06,0.000317660128001927,"actb1","UP","actb1"
"ENSDARG00000037747","ENSDARG00000037747",267.613006771081,0.739017963298808,0.199320336817241,3.70768971746431,0.000209158710884131,0.0126063461178545,"fscn1b","UP","fscn1b"
"ENSDARG00000058445","ENSDARG00000058445",37.0237834892947,-1.01248367237143,0.315885312553678,-3.20522554273359,0.00134956684391323,0.0460264138106155,"zgc:136472","DOWN","zgc:136472"
"ENSDARG00000091916","ENSDARG00000091916",178.290803005569,-0.502515032201761,0.138899855643867,-3.61782256628247,0.000297091948226002,0.0157965819680017,"ugt5b4","DOWN","ugt5b4"
"ENSDARG00000099276","ENSDARG00000099276",141.753874052297,-0.645634455456505,0.173159048545599,-3.72856319597117,0.000192574618647104,0.0118815121220908,"ugt5b2","DOWN","ugt5b2"
"ENSDARG00000037679","ENSDARG00000037679",269.885712906183,0.509349915302344,0.123085006304364,4.13819628072997,3.50046855667137e-05,0.00345780930350006,"MPC2","UP","MPC2"
"ENSDARG00000006427","ENSDARG00000006427",920.48385740994,-0.773076045682618,0.179456342901474,-4.30787807877628,1.64828193925256e-05,0.00200891141556386,"fabp2","DOWN","fabp2"
"ENSDARG00000074677","ENSDARG00000074677",211.106358347225,1.05286857516786,0.272606192316309,3.86223279163888,0.000112355426545877,0.00807381865506252,"frem3","UP","frem3"
"ENSDARG00000008457","ENSDARG00000008457",155.234325187161,-0.559009376832651,0.156406740610885,-3.57407471474248,0.000351468567272604,0.0178333953817588,"faah2a","DOWN","faah2a"
"ENSDARG00000078016","ENSDARG00000078016",163.959981813074,0.872585063153068,0.194762318157827,4.48025609577087,7.45535313104096e-06,0.00107324717259948,"dtx4b","UP","dtx4b"
"ENSDARG00000052696","ENSDARG00000052696",99.2251502282782,-0.542160427446126,0.169988039526738,-3.18940337776439,0.00142566789293229,0.0477988396128777,"bdh2","DOWN","bdh2"
"ENSDARG00000074476","ENSDARG00000074476",58.0876248241888,-1.12644694433888,0.273690360068936,-4.11577135583129,3.85886700216034e-05,0.0036413037313598,"odam","DOWN","odam"
"ENSDARG00000087178","ENSDARG00000087178",15.2394139364401,-2.57606949590021,0.660720658774196,-3.89887838633573,9.66392934033667e-05,0.00712125733086152,"scpp9","DOWN","scpp9"
"ENSDARG00000030972","ENSDARG00000030972",441.175496227513,0.662369597601571,0.15634680997322,4.23654053264679,2.26989960466009e-05,0.00251789821040327,"dnaja1","UP","dnaja1"
"ENSDARG00000051970","ENSDARG00000051970",364.954499511589,0.672527702878993,0.16285862593783,4.12951846428892,3.63523808743011e-05,0.00352601186396593,"smu1b","UP","smu1b"
"ENSDARG00000069559","ENSDARG00000069559",332.92428116738,0.887325396769716,0.232220679475097,3.82104383974498,0.000132888024939961,0.0091159436582169,"muc13a","UP","muc13a"
"ENSDARG00000043587","ENSDARG00000043587",69.9233675658279,-0.903961170671998,0.224324879349275,-4.02969645317195,5.58489245851178e-05,0.00462959120122913,"srd5a2a","DOWN","srd5a2a"
"ENSDARG00000027497","ENSDARG00000027497",118.009071634797,0.635713259433505,0.192563348369475,3.30132013602999,0.000962310127747896,0.0366204660657931,"mast1a","UP","mast1a"
"ENSDARG00000059826","ENSDARG00000059826",360.521381139044,-0.576900699413804,0.153177943190921,-3.76621259821172,0.000165742674117295,0.010869175239126,"crtac1a","DOWN","crtac1a"
"ENSDARG00000096579","ENSDARG00000096579",28.4912466382631,-1.70875333850873,0.428736829243503,-3.98555295919826,6.73231589107569e-05,0.00537914619128323,"si:dkey-9c18.3","DOWN","si:dkey-9c18.3"
"ENSDARG00000041394","ENSDARG00000041394",314.880454388466,0.596115320295651,0.116783710496981,5.1044389475111,3.31777362354425e-07,8.01735462633437e-05,"dnajb1b","UP","dnajb1b"
"ENSDARG00000033789","ENSDARG00000033789",535.368743236282,-0.74577355327629,0.205124702746049,-3.63570814871372,0.000277218047119126,0.0151337831272834,"ndufb7","DOWN","ndufb7"
"ENSDARG00000057844","ENSDARG00000057844",8.54224752002056,-2.03785970389403,0.603516399324871,-3.37664346184081,0.00073376095789095,0.0302408122843041,"zgc:171470","DOWN","zgc:171470"
