"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed","delabel"
"ENSDARG00000069946","ENSDARG00000069946",585.19349859465,0.622964070207062,0.16343874979047,3.81160569941773,0.000138066993201348,0.00615861208606408,"itga6b","UP","itga6b"
"ENSDARG00000094485","ENSDARG00000094485",17.8758972824086,2.90220241134287,0.491903693965049,5.89994026665935,3.63633197484732e-09,5.59393428907628e-07,"si:dkey-27h10.2","UP","si:dkey-27h10.2"
"ENSDARG00000075045","ENSDARG00000075045",46.1798536063439,2.01333219530015,0.313329500564685,6.42560688244069,1.31344438590227e-10,2.44220706989116e-08,"cxcl18b","UP","cxcl18b"
"ENSDARG00000074378","ENSDARG00000074378",314.736765178523,0.543481318292683,0.10594787581557,5.12970471667365,2.90197026020381e-07,2.80782036533656e-05,"junba","UP","junba"
"ENSDARG00000074771","ENSDARG00000074771",109.08806833254,0.62842234213774,0.165541632493102,3.79615890379676,0.000146955322744461,0.00639988934062078,"ifngr1","UP","ifngr1"
"ENSDARG00000096577","ENSDARG00000096577",80.3554681212382,0.681648354311307,0.20936096662046,3.25585215484333,0.0011305260299111,0.0326235331951269,"adgre9","UP","adgre9"
"ENSDARG00000093877","ENSDARG00000093877",65.0011397201286,0.901974424243739,0.237555351091906,3.79690215395224,0.000146515586598918,0.00639988934062078,"si:zfos-2330d3.7","UP","si:zfos-2330d3.7"
"ENSDARG00000103980","ENSDARG00000103980",541.408648236807,0.706064501874365,0.0820687586637971,8.60332864015683,7.74368339606358e-18,2.58723721965668e-15,"ets2","UP","ets2"
"ENSDARG00000104693","ENSDARG00000104693",1790.45429120898,0.582525966326077,0.0523093104888686,11.136181319959,8.36287799830744e-29,6.38655072277886e-26,"il6st","UP","il6st"
"ENSDARG00000019521","ENSDARG00000019521",322.396037185179,-0.603858161963361,0.0998295818067189,-6.04889002873413,1.45847167847467e-09,2.39896153083261e-07,"mpx","DOWN","mpx"
"ENSDARG00000089307","ENSDARG00000089307",92.7516136849102,0.703630026150002,0.172375645358678,4.08195731297128,4.46580005214351e-05,0.00247389125686489,"pmaip1","UP","pmaip1"
"ENSDARG00000075600","ENSDARG00000075600",105.262304937123,-0.668549587592733,0.167141180180301,-3.99990945900673,6.33667222982632e-05,0.00324155651412383,"si:dkeyp-41f9.3","DOWN","si:dkeyp-41f9.3"
"ENSDARG00000069377","ENSDARG00000069377",66.1672306713608,-1.3702384745448,0.222320637358558,-6.16334358710428,7.1224730198731e-10,1.21839872467157e-07,"si:dkey-242g16.2","DOWN","si:dkey-242g16.2"
"ENSDARG00000056873","ENSDARG00000056873",2134.28843826076,-0.761636589474025,0.0400170264584811,-19.0328132017566,9.1221520830139e-81,4.87647444977716e-77,"and3","DOWN","and3"
"ENSDARG00000018399","ENSDARG00000018399",254.593213192903,0.919952203047612,0.121185362290314,7.5912815348421,3.16756870783936e-14,8.5736862885733e-12,"rps6kb1a","UP","rps6kb1a"
"ENSDARG00000103981","ENSDARG00000103981",96.0049688709008,-0.922178772983588,0.17393699659299,-5.30179772588274,1.14667852972908e-07,1.27043663218637e-05,"bhlha9","DOWN","bhlha9"
"ENSDARG00000012395","ENSDARG00000012395",69.5845160304603,0.886981578287372,0.215481935852412,4.11626884072029,3.85055140060938e-05,0.00218979629253272,"mmp13a","UP","mmp13a"
"ENSDARG00000114451","ENSDARG00000114451",112.637170539339,1.67895215425995,0.165045435442121,10.1726663919084,2.6261932990799e-24,1.47778661353225e-21,"mmp13a","UP","mmp13a"
"ENSDARG00000045887","ENSDARG00000045887",309.424566687463,0.754270733094923,0.105317879285859,7.16184885424482,7.95961560083631e-13,1.91236472351329e-10,"mmp30","UP","mmp30"
"ENSDARG00000054389","ENSDARG00000054389",21.6712839003795,1.39400555463417,0.4177679449179,3.33679395844534,0.000847507520011631,0.0258520018550766,"rhof","UP","rhof"
"ENSDARG00000112575","ENSDARG00000112575",81.8573386271455,0.845842833349598,0.193892263841623,4.36243724525547,1.28621486336919e-05,0.000838510134860468,"CU467905.1","UP","CU467905.1"
"ENSDARG00000098700","ENSDARG00000098700",20.8945348830907,2.20836271405691,0.427295423758234,5.16823394604481,2.36316388896498e-07,2.33942284433973e-05,"il1b","UP","il1b"
"ENSDARG00000113877","ENSDARG00000113877",49.7361565231267,-0.85725077289394,0.27546059999308,-3.11206311507154,0.00185784774590877,0.0471249802500205,"hoxc13b","DOWN","hoxc13b"
"ENSDARG00000019365","ENSDARG00000019365",92.7019269207655,-0.752383538963077,0.198412369006056,-3.79201933192034,0.000149427278754941,0.00648114300530812,"krt99","DOWN","krt99"
"ENSDARG00000056615","ENSDARG00000056615",79.3568239683817,1.02981234735977,0.197233780297871,5.22127774362234,1.77692801737553e-07,1.86255155860494e-05,"cybb","UP","cybb"
"ENSDARG00000089383","ENSDARG00000089383",11.581195595583,2.11130358262968,0.543219694715545,3.88664771025149,0.000101638090465409,0.00480824621332267,"il1fma","UP","il1fma"
