"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009145","BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","6/275","41/18057",3.39512447106823e-05,0.0181520622444452,0.0173678437735707,"406599/335716/559659/100000855/402883/798291",6
"GO:0009206","BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","6/275","41/18057",3.39512447106823e-05,0.0181520622444452,0.0173678437735707,"406599/335716/559659/100000855/402883/798291",6
"GO:0015986","BP","GO:0015986","proton motive force-driven ATP synthesis","5/275","26/18057",3.99825159569278e-05,0.0181520622444452,0.0173678437735707,"406599/559659/100000855/402883/798291",5
"GO:0006754","BP","GO:0006754","ATP biosynthetic process","5/275","30/18057",8.2410214875344e-05,0.0242871463861927,0.0232378755901589,"406599/559659/100000855/402883/798291",5
"GO:0006694","BP","GO:0006694","steroid biosynthetic process","7/275","70/18057",9.30553727807182e-05,0.0242871463861927,0.0232378755901589,"550398/393761/394148/436600/565876/723999/322341",7
"GO:0009201","BP","GO:0009201","ribonucleoside triphosphate biosynthetic process","6/275","50/18057",0.000106991834300408,0.0242871463861927,0.0232378755901589,"406599/335716/559659/100000855/402883/798291",6
"GO:0006164","BP","GO:0006164","purine nucleotide biosynthetic process","10/275","164/18057",0.000213596508267851,0.0408755433642942,0.0391096086907769,"406599/794259/335716/368242/559659/436672/100000855/402883/798291/327274",10
"GO:0009152","BP","GO:0009152","purine ribonucleotide biosynthetic process","9/275","136/18057",0.000240091297293945,0.0408755433642942,0.0391096086907769,"406599/794259/335716/559659/436672/100000855/402883/798291/327274",9
"GO:0072522","BP","GO:0072522","purine-containing compound biosynthetic process","10/275","172/18057",0.000313419492134518,0.0442777559060095,0.0423648363951154,"406599/794259/335716/368242/559659/436672/100000855/402883/798291/327274",10
"GO:0009142","BP","GO:0009142","nucleoside triphosphate biosynthetic process","6/275","61/18057",0.000325093655697574,0.0442777559060095,0.0423648363951154,"406599/335716/559659/100000855/402883/798291",6
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex","9/300","118/18405",0.000136317157124104,0.0179843049292604,0.0164012944227828,"406599/415243/445122/559659/406306/402883/641319/798291/445042",9
"GO:0031966","CC","GO:0031966","mitochondrial membrane","18/300","412/18405",0.000155037111459141,0.0179843049292604,0.0164012944227828,"406599/327067/100141351/436985/368242/415243/445122/559659/568423/751728/406306/447871/100000855/402883/641319/798291/445042/100332034",18
"GO:0005740","CC","GO:0005740","mitochondrial envelope","18/300","441/18405",0.000354186095506496,0.0263690580355487,0.0240480066476646,"406599/327067/100141351/436985/368242/415243/445122/559659/568423/751728/406306/447871/100000855/402883/641319/798291/445042/100332034",18
"GO:0005753","CC","GO:0005753","mitochondrial proton-transporting ATP synthase complex","4/300","23/18405",0.00047969519498496,0.0263690580355487,0.0240480066476646,"406599/559659/402883/798291",4
"GO:0045259","CC","GO:0045259","proton-transporting ATP synthase complex","4/300","24/18405",0.000568298664559238,0.0263690580355487,0.0240480066476646,"406599/559659/402883/798291",4
"GO:0005743","CC","GO:0005743","mitochondrial inner membrane","13/300","281/18405",0.000745626003689575,0.0288308721426636,0.0262931274985271,"406599/327067/100141351/436985/415243/445122/559659/406306/402883/641319/798291/445042/100332034",13
"GO:0020037","MF","GO:0020037","heme binding","13/287","156/17701",1.60642344155665e-06,0.000582468191457865,0.000533151662661662,"393558/553969/793309/140634/394148/259306/569245/449790/100000079/554176/565876/723999/322341",13
