"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007601","BP","GO:0007601","visual perception","11/178","172/18057",1.11881535162143e-06,0.00088347649350969,0.000863135863457839,"30435/436716/393845/559209/566891/386614/393629/30582/30503/140429/564573",11
"GO:0050953","BP","GO:0050953","sensory perception of light stimulus","11/178","178/18057",1.56783761048747e-06,0.00088347649350969,0.000863135863457839,"30435/436716/393845/559209/566891/386614/393629/30582/30503/140429/564573",11
"GO:0007600","BP","GO:0007600","sensory perception","15/178","402/18057",1.10770151250019e-05,0.00297169102960107,0.00290327260725982,"30435/436716/393845/559209/795653/566891/386614/393629/100535618/30582/436636/30503/557722/140429/564573",15
"GO:0009416","BP","GO:0009416","response to light stimulus","9/178","143/18057",1.23340216417054e-05,0.00297169102960107,0.00290327260725982,"30435/436716/101882119/541319/30582/30503/140428/569398/140429",9
"GO:0071482","BP","GO:0071482","cellular response to light stimulus","6/178","53/18057",1.31840773274227e-05,0.00297169102960107,0.00290327260725982,"30435/436716/101882119/541319/30582/30503",6
"GO:0009583","BP","GO:0009583","detection of light stimulus","6/178","59/18057",2.46411843696338e-05,0.00462184236810425,0.00451543185638355,"30435/436716/101882119/30582/30503/140429",6
"GO:0009410","BP","GO:0009410","response to xenobiotic stimulus","7/178","90/18057",3.01654924019661e-05,0.00462184236810425,0.00451543185638355,"553969/140634/569245/100034366/393592/322412/449790",7
"GO:0071478","BP","GO:0071478","cellular response to radiation","6/178","62/18057",3.28081090903585e-05,0.00462184236810425,0.00451543185638355,"30435/436716/101882119/541319/30582/30503",6
"GO:0009314","BP","GO:0009314","response to radiation","9/178","176/18057",6.36073011226843e-05,0.00787548057341868,0.00769416025759673,"30435/436716/101882119/541319/30582/30503/140428/569398/140429",9
"GO:0071214","BP","GO:0071214","cellular response to abiotic stimulus","6/178","72/18057",7.68680446385142e-05,0.00787548057341868,0.00769416025759673,"30435/436716/101882119/541319/30582/30503",6
"GO:0104004","BP","GO:0104004","cellular response to environmental stimulus","6/178","72/18057",7.68680446385142e-05,0.00787548057341868,0.00769416025759673,"30435/436716/101882119/541319/30582/30503",6
"GO:0007602","BP","GO:0007602","phototransduction","5/178","47/18057",9.65217016360119e-05,0.00906499647864878,0.00885628946590074,"30435/436716/101882119/30582/30503",5
"GO:0071466","BP","GO:0071466","cellular response to xenobiotic stimulus","6/178","81/18057",0.000148413228994249,0.0128662853135784,0.0125700597188652,"140634/569245/100034366/393592/322412/449790",6
"GO:0009581","BP","GO:0009581","detection of external stimulus","6/178","88/18057",0.000234143018730657,0.0175919454739634,0.0171869191292819,"30435/436716/101882119/30582/30503/140429",6
"GO:0009582","BP","GO:0009582","detection of abiotic stimulus","6/178","88/18057",0.000234143018730657,0.0175919454739634,0.0171869191292819,"30435/436716/101882119/30582/30503/140429",6
"GO:0007043","BP","GO:0007043","cell-cell junction assembly","6/178","97/18057",0.00039691126224962,0.0279574370347076,0.0273137618627041,"799648/100001934/436719/81591/101886483/445070",6
"GO:0019730","BP","GO:0019730","antimicrobial humoral response","3/178","18/18057",0.000689206168393719,0.0456903148105719,0.0446383685535499,"556600/567537/793075",3
"GO:0001750","CC","GO:0001750","photoreceptor outer segment","9/205","39/18405",3.51225191426233e-10,5.47911298624923e-08,4.51047087936846e-08,"567911/30435/436716/619268/386614/393629/30582/30503/140429",9
"GO:0097733","CC","GO:0097733","photoreceptor cell cilium","9/205","44/18405",1.11979583333903e-09,7.20900259686774e-08,5.93453655072783e-08,"567911/30435/436716/619268/386614/393629/30582/30503/140429",9
"GO:0097731","CC","GO:0097731","9+0 non-motile cilium","9/205","45/18405",1.3863466532438e-09,7.20900259686774e-08,5.93453655072783e-08,"567911/30435/436716/619268/386614/393629/30582/30503/140429",9
"GO:0097730","CC","GO:0097730","non-motile cilium","9/205","58/18405",1.47021753718126e-08,5.7338483950069e-07,4.72017209305562e-07,"567911/30435/436716/619268/386614/393629/30582/30503/140429",9
"GO:0001917","CC","GO:0001917","photoreceptor inner segment","4/205","18/18405",4.04668001002554e-05,0.0011850220183186,0.000975524198615848,"619268/393629/140429/564573",4
