"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008380","BP","GO:0008380","RNA splicing","14/158","304/18057",4.75237672250372e-07,0.000584542336867958,0.000544272197272005,"557397/321886/321857/368893/321556/555643/436702/394074/406264/333996/557528/573001/100005893/406267",14
"GO:0051085","BP","GO:0051085","chaperone cofactor-dependent protein refolding","5/158","28/18057",4.02100627134734e-06,0.00125557032429705,0.00116907189801899,"327244/445177/378848/559805/58041",5
"GO:0051084","BP","GO:0051084","'de novo' post-translational protein folding","5/158","29/18057",4.82452506428939e-06,0.00125557032429705,0.00116907189801899,"327244/445177/378848/559805/58041",5
"GO:0043153","BP","GO:0043153","entrainment of circadian clock by photoperiod","4/158","14/18057",5.27596736482346e-06,0.00125557032429705,0.00116907189801899,"140633/83774/100003956/406204",4
"GO:0006458","BP","GO:0006458","'de novo' protein folding","5/158","30/18057",5.74869647385527e-06,0.00125557032429705,0.00116907189801899,"327244/445177/378848/559805/58041",5
"GO:0043484","BP","GO:0043484","regulation of RNA splicing","8/158","113/18057",6.7657006569612e-06,0.00125557032429705,0.00116907189801899,"557397/321857/321556/394074/406264/333996/100005893/406267",8
"GO:0009649","BP","GO:0009649","entrainment of circadian clock","4/158","15/18057",7.14552217079624e-06,0.00125557032429705,0.00116907189801899,"140633/83774/100003956/406204",4
"GO:0042752","BP","GO:0042752","regulation of circadian rhythm","5/158","35/18057",1.26416279740943e-05,0.00172768915645955,0.00160866564161574,"140633/83774/494487/100003956/406204",5
"GO:0061077","BP","GO:0061077","chaperone-mediated protein folding","5/158","35/18057",1.26416279740943e-05,0.00172768915645955,0.00160866564161574,"327244/445177/378848/559805/58041",5
"GO:0032922","BP","GO:0032922","circadian regulation of gene expression","5/158","42/18057",3.15310864145204e-05,0.00387832362898601,0.00361113915989455,"140633/83774/494487/100003956/406204",5
"GO:0009648","BP","GO:0009648","photoperiodism","4/158","22/18057",3.6506423437049e-05,0.00408208189341548,0.00380086016263247,"140633/83774/100003956/406204",4
"GO:0000280","BP","GO:0000280","nuclear division","9/158","187/18057",4.02889056319326e-05,0.00412961282727309,0.00384511660767918,"492815/797431/798766/259194/100332714/570062/58025/333996/445246",9
"GO:0009266","BP","GO:0009266","response to temperature stimulus","5/158","48/18057",6.08427662966479e-05,0.0057566617342213,0.00536007528184234,"323922/140633/565155/83774/406204",5
"GO:0048285","BP","GO:0048285","organelle fission","9/158","210/18057",9.86327060953778e-05,0.0086655877498082,0.00806860031817828,"492815/797431/798766/259194/100332714/570062/58025/333996/445246",9
"GO:0007623","BP","GO:0007623","circadian rhythm","6/158","88/18057",0.000122415882275908,0.0100188561094178,0.00932863966371124,"140633/83774/494487/100003956/58118/406204",6
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","6/158","89/18057",0.000130326583537142,0.0100188561094178,0.00932863966371124,"492815/797431/798766/259194/570062/58025",6
"GO:0140014","BP","GO:0140014","mitotic nuclear division","7/158","132/18057",0.000162337436172969,0.0117455909701619,0.0109364167527053,"492815/797431/798766/259194/570062/58025/445246",7
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","7/158","138/18057",0.000213653345461521,0.0145996452732039,0.0135938502843354,"492815/797431/798766/259194/100332714/570062/58025",7
"GO:0006457","BP","GO:0006457","protein folding","7/158","140/18057",0.000233406500599223,0.0151099997756339,0.0140690455762856,"323922/327244/565155/445177/378848/559805/58041",7
"GO:0000819","BP","GO:0000819","sister chromatid segregation","6/158","102/18057",0.000275117447359267,0.016214638149478,0.0150975834887737,"492815/797431/798766/259194/570062/58025",6
"GO:0042542","BP","GO:0042542","response to hydrogen peroxide","3/158","15/18057",0.000276843879987255,0.016214638149478,0.0150975834887737,"140633/100003956/550268",3
"GO:0006412","BP","GO:0006412","translation","13/158","476/18057",0.000290017918120745,0.016214638149478,0.0150975834887737,"557397/572109/436759/751746/393723/114420/541523/415159/192299/553805/100004874/336141/100005893",13
"GO:0043043","BP","GO:0043043","peptide biosynthetic process","13/158","482/18057",0.000326976503688809,0.0174861347624885,0.0162814844857402,"557397/572109/436759/751746/393723/114420/541523/415159/192299/553805/100004874/336141/100005893",13
"GO:0045934","BP","GO:0045934","negative regulation of nucleobase-containing compound metabolic process","12/158","427/18057",0.00038550944854353,0.0197573592378559,0.0183962403515509,"550463/327244/503732/60634/140633/83774/494487/445177/393160/100003956/323656/406204",12
"GO:0051276","BP","GO:0051276","chromosome organization","9/158","255/18057",0.000418658803658613,0.0205980131400038,0.0191789801423399,"503732/492815/797431/798766/259194/100332714/570062/58025/550268",9
"GO:0071542","BP","GO:0071542","dopaminergic neuron differentiation","3/158","19/18057",0.000574625704247615,0.0271842160086372,0.0253114480251581,"58118/406204/325288",3
"GO:0007622","BP","GO:0007622","rhythmic behavior","3/158","20/18057",0.000671704654625183,0.0295070258996063,0.0274742354974511,"140633/494487/58118",3
"GO:0048512","BP","GO:0048512","circadian behavior","3/158","20/18057",0.000671704654625183,0.0295070258996063,0.0274742354974511,"140633/494487/58118",3
"GO:0048511","BP","GO:0048511","rhythmic process","6/158","122/18057",0.000715747800117002,0.0301849808869855,0.028105484985058,"140633/83774/494487/100003956/58118/406204",6
