"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre00140","dre00140","Steroid hormone biosynthesis - Danio rerio (zebrafish)","8/80","82/7368",2.52221475418268e-06,0.000163943959021874,0.000127438219158704,"791210/100415792/550398/553969/777793/394148/553952/406731",8
"dre00830","dre00830","Retinol metabolism - Danio rerio (zebrafish)","8/80","93/7368",6.54656756971563e-06,0.000212763446015758,0.00016538697018229,"791210/100415792/393761/553969/325875/553952/407663/406731",8
"dre00190","dre00190","Oxidative phosphorylation - Danio rerio (zebrafish)","8/80","148/7368",0.000187263015099649,0.00405736532715905,0.00315390341220461,"393821/393706/445122/554125/436968/393703/402883/445042",8
"dre00590","dre00590","Arachidonic acid metabolism - Danio rerio (zebrafish)","5/80","63/7368",0.000571435190434595,0.00928582184456217,0.0072181287212791,"100034366/393592/751701/336492/494108",5
"dre04814","dre04814","Motor proteins - Danio rerio (zebrafish)","9/80","254/7368",0.00162985298675894,0.0204152140232757,0.0158693161638418,"795537/566034/570210/100329813/492493/556703/108190403/564573/792024",9
"dre04744","dre04744","Phototransduction - Danio rerio (zebrafish)","4/80","49/7368",0.00188448129445622,0.0204152140232757,0.0158693161638418,"393629/30503/140428/140429",4
"dre00040","dre00040","Pentose and glucuronate interconversions - Danio rerio (zebrafish)","4/80","56/7368",0.00308476822020084,0.023889696132022,0.0185701281674017,"791210/100415792/553952/406731",4
"dre00053","dre00053","Ascorbate and aldarate metabolism - Danio rerio (zebrafish)","4/80","57/7368",0.00329055254791444,0.023889696132022,0.0185701281674017,"791210/100415792/553952/406731",4
"dre03320","dre03320","PPAR signaling pathway - Danio rerio (zebrafish)","5/80","94/7368",0.00343614071039454,0.023889696132022,0.0185701281674017,"30708/394148/415166/436636/565876",5
"dre00591","dre00591","Linoleic acid metabolism - Danio rerio (zebrafish)","3/80","29/7368",0.00367533786646492,0.023889696132022,0.0185701281674017,"553969/100034366/393592",3
"dre00983","dre00983","Drug metabolism - other enzymes - Danio rerio (zebrafish)","5/80","105/7368",0.00551114915735351,0.0318729551569903,0.0247757384216281,"791210/100415792/431724/553952/406731",5
"dre00860","dre00860","Porphyrin metabolism - Danio rerio (zebrafish)","4/80","67/7368",0.00588423787513668,0.0318729551569903,0.0247757384216281,"791210/100415792/553952/406731",4
"dre00982","dre00982","Drug metabolism - cytochrome P450 - Danio rerio (zebrafish)","4/80","72/7368",0.00758261463237782,0.0379130731618891,0.0294708908788774,"791210/100415792/553952/406731",4
"dre00980","dre00980","Metabolism of xenobiotics by cytochrome P450 - Danio rerio (zebrafish)","4/80","76/7368",0.00915317116860212,0.0424968661399384,0.0330340012099926,"791210/100415792/553952/406731",4
"dre04260","dre04260","Cardiac muscle contraction - Danio rerio (zebrafish)","5/80","145/7368",0.0203540613593613,0.0882009325572322,0.0685610487894275,"570210/436968/100329813/556703/794522",5
"dre01240","dre01240","Biosynthesis of cofactors - Danio rerio (zebrafish)","6/80","202/7368",0.0220847925537398,0.0897194697495678,0.0697414501697045,"791210/100415792/553952/407663/494065/406731",6
"dre00120","dre00120","Primary bile acid biosynthesis - Danio rerio (zebrafish)","2/80","28/7368",0.0366755023674934,0.140229861993357,0.109004589079857,"394148/565876",2
"dre00630","dre00630","Glyoxylate and dicarboxylate metabolism - Danio rerio (zebrafish)","2/80","37/7368",0.06072169530973,0.217768997654579,0.169277925302345,"100000775/79378",2
"dre00500","dre00500","Starch and sucrose metabolism - Danio rerio (zebrafish)","2/80","38/7368",0.0636555531605692,0.217768997654579,0.169277925302345,"393400/100148922",2
"dre00260","dre00260","Glycine, serine and threonine metabolism - Danio rerio (zebrafish)","2/80","47/7368",0.0920293313563787,0.29198240646983,0.22696608114254,"558601/79378",2
"dre00250","dre00250","Alanine, aspartate and glutamate metabolism - Danio rerio (zebrafish)","2/80","48/7368",0.0953777882153346,0.29198240646983,0.22696608114254,"100000775/79378",2
"dre04146","dre04146","Peroxisome - Danio rerio (zebrafish)","3/80","102/7368",0.0988248144974808,0.29198240646983,0.22696608114254,"562105/558601/79378",3
"dre00520","dre00520","Amino sugar and nucleotide sugar metabolism - Danio rerio (zebrafish)","2/80","65/7368",0.156765243873929,0.44303221094806,0.344381313773391,"406338/322468",2
"dre04340","dre04340","Hedgehog signaling pathway - Danio rerio (zebrafish)","2/80","69/7368",0.172137277168811,0.466205125665529,0.362394267723812,"101886177/30269",2
"dre00910","dre00910","Nitrogen metabolism - Danio rerio (zebrafish)","1/80","21/7368",0.205127348965165,0.533331107309429,0.41457316843486,"100000775",1
"dre03060","dre03060","Protein export - Danio rerio (zebrafish)","1/80","22/7368",0.213782556816368,0.53445639204092,0.415447883691727,"436794",1
"dre01230","dre01230","Biosynthesis of amino acids - Danio rerio (zebrafish)","2/80","92/7368",0.263803232496809,0.603047603264767,0.468765748286783,"100000775/393668",2
"dre00230","dre00230","Purine metabolism - Danio rerio (zebrafish)","3/80","166/7368",0.269070409941642,0.603047603264767,0.468765748286783,"393845/431724/572052",3
"dre04530","dre04530","Tight junction - Danio rerio (zebrafish)","4/80","248/7368",0.282692489311049,0.603047603264767,0.468765748286783,"436719/81591/445070/792024",4
"dre04261","dre04261","Adrenergic signaling in cardiomyocytes - Danio rerio (zebrafish)","4/80","249/7368",0.285133453174527,0.603047603264767,0.468765748286783,"570210/100329813/556703/794522",4
"dre00220","dre00220","Arginine biosynthesis - Danio rerio (zebrafish)","1/80","31/7368",0.28760731848012,0.603047603264767,0.468765748286783,"100000775",1
