"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre00190","dre00190","Oxidative phosphorylation - Danio rerio (zebrafish)","32/310","148/7368",6.8914021840655e-15,8.8899088174445e-13,7.68935401590467e-13,"406599/573619/393821/796997/751638/415243/436768/100000992/445122/326962/554154/100535363/100333064/559659/557348/554125/335709/406306/436968/569770/406726/447942/402883/541328/556538/326977/336118/566723/798291/494577/445042/100332034",32
"dre00140","dre00140","Steroid hormone biosynthesis - Danio rerio (zebrafish)","16/310","82/7368",2.19772578090366e-07,1.28856822962673e-05,1.11455105948946e-05,"791210/100415792/100415791/550398/553969/100415794/777793/791770/64815/394148/563363/327417/492759/792506/553952/406731",16
"dre00983","dre00983","Drug metabolism - other enzymes - Danio rerio (zebrafish)","18/310","105/7368",2.99667030145751e-07,1.28856822962673e-05,1.11455105948946e-05,"791210/100415792/100415791/100415794/402979/335716/406703/553169/100144569/431724/30084/561967/431762/792506/553952/570547/322660/406731",18
"dre04260","dre04260","Cardiac muscle contraction - Danio rerio (zebrafish)","21/310","145/7368",5.88295670731562e-07,1.89725353810929e-05,1.64103529204067e-05,"100037358/751638/436768/326962/554154/324244/100535363/100333064/557348/436968/100329748/100329813/569770/415164/447942/100537244/794522/336118/566723/494577/100331199",21
"dre00120","dre00120","Primary bile acid biosynthesis - Danio rerio (zebrafish)","9/310","28/7368",1.25287897752417e-06,3.23242776201237e-05,2.79589834984342e-05,"450052/445281/447848/394148/327462/565876/402831/723999/322341",9
"dre03320","dre03320","PPAR signaling pathway - Danio rerio (zebrafish)","15/310","94/7368",7.45108158576481e-06,0.000160198254093943,0.00013856397334931,"30708/768196/445281/447848/394148/406283/407736/415166/436636/378727/100005717/565876/402831/723999/322341",15
"dre00830","dre00830","Retinol metabolism - Danio rerio (zebrafish)","14/310","93/7368",2.97414670118497e-05,0.000548092749218372,0.000474074511767829,"791210/100415792/100415791/393761/553969/100415794/402939/325875/494176/492759/792506/553952/407663/406731",14
"dre00980","dre00980","Metabolism of xenobiotics by cytochrome P450 - Danio rerio (zebrafish)","12/310","76/7368",6.84392204440909e-05,0.00110358242966096,0.000954547021983372,"791210/100415792/100415791/100415794/406703/553169/402939/406433/431762/792506/553952/406731",12
"dre00040","dre00040","Pentose and glucuronate interconversions - Danio rerio (zebrafish)","10/310","56/7368",9.54964485158261e-05,0.00136878242872684,0.00118393257809094,"791210/100415792/100415791/100415794/550282/406433/792506/553952/406731/751596",10
"dre04744","dre04744","Phototransduction - Danio rerio (zebrafish)","9/310","49/7368",0.000170724378455254,0.00218099944376407,0.00188646218718067,"373871/393629/767636/550406/30503/360151/140428/560151/30295",9
