"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04141","dre04141","Protein processing in endoplasmic reticulum - Danio rerio (zebrafish)","3/8","202/7368",0.00102695610860177,0.0164312977376283,0.0118910707311783,"323922/565155/445177",3
"dre00470","dre00470","D-Amino acid metabolism - Danio rerio (zebrafish)","1/8","10/7368",0.010811438132997,0.0864915050639761,0.0625925365594564,"619259",1
"dre00100","dre00100","Steroid biosynthesis - Danio rerio (zebrafish)","1/8","22/7368",0.0236500496793346,0.126133598289784,0.0912808934991862,"793309",1
"dre00260","dre00260","Glycine, serine and threonine metabolism - Danio rerio (zebrafish)","1/8","47/7368",0.0499297596386881,0.159274091850786,0.115264145418332,"619259",1
"dre00760","dre00760","Nicotinate and nicotinamide metabolism - Danio rerio (zebrafish)","1/8","47/7368",0.0499297596386881,0.159274091850786,0.115264145418332,"791647",1
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","1/8","68/7368",0.0715242629066746,0.159274091850786,0.115264145418332,"619259",1
"dre03250","dre03250","Viral life cycle - HIV-1 - Danio rerio (zebrafish)","1/8","73/7368",0.0766020509525677,0.159274091850786,0.115264145418332,"561067",1
"dre03008","dre03008","Ribosome biogenesis in eukaryotes - Danio rerio (zebrafish)","1/8","76/7368",0.0796370459253931,0.159274091850786,0.115264145418332,"100037361",1
"dre04146","dre04146","Peroxisome - Danio rerio (zebrafish)","1/8","102/7368",0.105576860254965,0.167828391878051,0.121454757280169,"619259",1
"dre01232","dre01232","Nucleotide metabolism - Danio rerio (zebrafish)","1/8","110/7368",0.113428547130239,0.167828391878051,0.121454757280169,"791647",1
"dre04914","dre04914","Progesterone-mediated oocyte maturation - Danio rerio (zebrafish)","1/8","112/7368",0.11538201941616,0.167828391878051,0.121454757280169,"565155",1
"dre03010","dre03010","Ribosome - Danio rerio (zebrafish)","1/8","138/7368",0.140436595007212,0.187248793342949,0.135508995182397,"100037361",1
"dre00230","dre00230","Purine metabolism - Danio rerio (zebrafish)","1/8","166/7368",0.166721968977654,0.197922687508953,0.143233523855164,"791647",1
"dre04621","dre04621","NOD-like receptor signaling pathway - Danio rerio (zebrafish)","1/8","173/7368",0.173182351570334,0.197922687508953,0.143233523855164,"565155",1
"dre04217","dre04217","Necroptosis - Danio rerio (zebrafish)","1/8","197/7368",0.19500075781852,0.208000808339755,0.150526900772191,"565155",1
"dre05132","dre05132","Salmonella infection - Danio rerio (zebrafish)","1/8","332/7368",0.308596174094167,0.308596174094167,0.223326178620779,"565155",1
