"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre01232","dre01232","Nucleotide metabolism - Danio rerio (zebrafish)","2/10","110/7368",0.00919179699602847,0.143450425478992,0.113250335904467,"548336/791647",2
"dre00230","dre00230","Purine metabolism - Danio rerio (zebrafish)","2/10","166/7368",0.0201621483941192,0.143450425478992,0.113250335904467,"548336/791647",2
"dre00730","dre00730","Thiamine metabolism - Danio rerio (zebrafish)","1/10","16/7368",0.0215175638218488,0.143450425478992,0.113250335904467,"548336",1
"dre00120","dre00120","Primary bile acid biosynthesis - Danio rerio (zebrafish)","1/10","28/7368",0.0373812864611133,0.177216813849977,0.139908010934192,"100136851",1
"dre01040","dre01040","Biosynthesis of unsaturated fatty acids - Danio rerio (zebrafish)","1/10","35/7368",0.0465278611785734,0.177216813849977,0.139908010934192,"100150288",1
"dre00062","dre00062","Fatty acid elongation - Danio rerio (zebrafish)","1/10","42/7368",0.0555961437157754,0.177216813849977,0.139908010934192,"100150288",1
"dre00760","dre00760","Nicotinate and nicotinamide metabolism - Danio rerio (zebrafish)","1/10","47/7368",0.0620258848474919,0.177216813849977,0.139908010934192,"791647",1
"dre04144","dre04144","Endocytosis - Danio rerio (zebrafish)","2/10","341/7368",0.0751693956248633,0.180176487764131,0.142244595603261,"792828/494478",2
"dre04216","dre04216","Ferroptosis - Danio rerio (zebrafish)","1/10","62/7368",0.081079419493859,0.180176487764131,0.142244595603261,"494478",1
"dre01212","dre01212","Fatty acid metabolism - Danio rerio (zebrafish)","1/10","78/7368",0.101018599209383,0.197081485202908,0.155590646212822,"100150288",1
"dre00310","dre00310","Lysine degradation - Danio rerio (zebrafish)","1/10","84/7368",0.108394816861599,0.197081485202908,0.155590646212822,"572849",1
"dre04512","dre04512","ECM-receptor interaction - Danio rerio (zebrafish)","1/10","105/7368",0.133784620149258,0.22297436691543,0.176032394933234,"541475",1
"dre04350","dre04350","TGF-beta signaling pathway - Danio rerio (zebrafish)","1/10","153/7368",0.189391998918075,0.291372306027807,0.23003076791669,"494478",1
"dre04621","dre04621","NOD-like receptor signaling pathway - Danio rerio (zebrafish)","1/10","173/7368",0.211597525793779,0.296658218834035,0.234203856974239,"448858",1
"dre04145","dre04145","Phagosome - Danio rerio (zebrafish)","1/10","183/7368",0.222493664125527,0.296658218834035,0.234203856974239,"494478",1
"dre01240","dre01240","Biosynthesis of cofactors - Danio rerio (zebrafish)","1/10","202/7368",0.2428236646582,0.303529580822751,0.239628616439014,"548336",1
"dre04060","dre04060","Cytokine-cytokine receptor interaction - Danio rerio (zebrafish)","1/10","224/7368",0.26576506117972,0.312664777858494,0.246840614098811,"100134974",1
"dre04530","dre04530","Tight junction - Danio rerio (zebrafish)","1/10","248/7368",0.290076921090787,0.322307690100875,0.254453439553322,"792828",1
"dre04510","dre04510","Focal adhesion - Danio rerio (zebrafish)","1/10","278/7368",0.319446791660594,0.336259780695362,0.265468247917391,"541475",1
"dre04810","dre04810","Regulation of actin cytoskeleton - Danio rerio (zebrafish)","1/10","321/7368",0.359637908784433,0.359637908784433,0.283924664829816,"541475",1
