"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042752","BP","GO:0042752","regulation of circadian rhythm","8/130","35/18057",1.16078189633252e-10,1.19908769891149e-07,1.13756625840587e-07,"58107/554836/140633/101883257/83774/494487/100003956/406204",8
"GO:0043153","BP","GO:0043153","entrainment of circadian clock by photoperiod","6/130","14/18057",3.55105613823879e-10,1.51943964583163e-07,1.44148194861084e-07,"58107/554836/140633/83774/100003956/406204",6
"GO:0032922","BP","GO:0032922","circadian regulation of gene expression","8/130","42/18057",5.58095446513764e-10,1.51943964583163e-07,1.44148194861084e-07,"58107/554836/564009/140633/83774/494487/100003956/406204",8
"GO:0009649","BP","GO:0009649","entrainment of circadian clock","6/130","15/18057",5.88359979024832e-10,1.51943964583163e-07,1.44148194861084e-07,"58107/554836/140633/83774/100003956/406204",6
"GO:0009648","BP","GO:0009648","photoperiodism","6/130","22/18057",8.41621679822722e-09,1.73879039051374e-06,1.64957849245254e-06,"58107/554836/140633/83774/100003956/406204",6
"GO:0009628","BP","GO:0009628","response to abiotic stimulus","16/130","370/18057",1.01777326616329e-08,1.75226630657779e-06,1.66236300140003e-06,"323922/327133/58107/560477/559569/568982/554836/140633/565155/83774/100126123/386590/100003956/378848/550268/406204",16
"GO:0007623","BP","GO:0007623","circadian rhythm","9/130","88/18057",1.38972694361409e-08,2.05083990393336e-06,1.94561772105972e-06,"58107/554836/564009/140633/101883257/83774/494487/100003956/406204",9
"GO:0048511","BP","GO:0048511","rhythmic process","9/130","122/18057",2.41558221896683e-07,3.11912054024092e-05,2.95908821823437e-05,"58107/554836/564009/140633/101883257/83774/494487/100003956/406204",9
"GO:0006457","BP","GO:0006457","protein folding","9/130","140/18057",7.77931881047841e-07,8.92892925691577e-05,8.47081381585427e-05,"323922/327244/562019/565155/335865/445177/386590/378848/569466",9
"GO:0009266","BP","GO:0009266","response to temperature stimulus","6/130","48/18057",1.1875867044401e-06,0.000103805075494588,9.84791616502381e-05,"323922/140633/565155/83774/100126123/406204",6
"GO:0045892","BP","GO:0045892","negative regulation of DNA-templated transcription","13/130","345/18057",1.26492948409212e-06,0.000103805075494588,9.84791616502381e-05,"327244/58107/554836/564009/140633/101883257/30659/83774/494487/445177/100003956/553649/406204",13
"GO:1902679","BP","GO:1902679","negative regulation of RNA biosynthetic process","13/130","346/18057",1.30635622597255e-06,0.000103805075494588,9.84791616502381e-05,"327244/58107/554836/564009/140633/101883257/30659/83774/494487/445177/100003956/553649/406204",13
"GO:1903507","BP","GO:1903507","negative regulation of nucleic acid-templated transcription","13/130","346/18057",1.30635622597255e-06,0.000103805075494588,9.84791616502381e-05,"327244/58107/554836/564009/140633/101883257/30659/83774/494487/445177/100003956/553649/406204",13
"GO:0051253","BP","GO:0051253","negative regulation of RNA metabolic process","13/130","378/18057",3.46391125445228e-06,0.000255587166132086,0.000242473787811659,"327244/58107/554836/564009/140633/101883257/30659/83774/494487/445177/100003956/553649/406204",13
"GO:0009314","BP","GO:0009314","response to radiation","9/130","176/18057",5.18462861211404e-06,0.00035704809042092,0.000338729069324784,"58107/560477/568982/554836/140633/83774/100003956/550268/406204",9
"GO:0010558","BP","GO:0010558","negative regulation of macromolecule biosynthetic process","14/130","459/18057",5.73499210213374e-06,0.00037026542759401,0.000351268266255692,"327244/58107/554836/564009/140633/101883257/30659/83774/101882473/494487/445177/100003956/553649/406204",14
"GO:0031327","BP","GO:0031327","negative regulation of cellular biosynthetic process","14/130","469/18057",7.3295982462746e-06,0.000445380881670686,0.00042252978125583,"327244/58107/554836/564009/140633/101883257/30659/83774/101882473/494487/445177/100003956/553649/406204",14
"GO:0009890","BP","GO:0009890","negative regulation of biosynthetic process","14/130","475/18057",8.46514128160234e-06,0.000485805052438623,0.000460879914220572,"327244/58107/554836/564009/140633/101883257/30659/83774/101882473/494487/445177/100003956/553649/406204",14
"GO:0009416","BP","GO:0009416","response to light stimulus","8/130","143/18057",9.15472920545748e-06,0.000497728172065136,0.000472191295860438,"58107/560477/568982/554836/140633/83774/100003956/406204",8
"GO:0045934","BP","GO:0045934","negative regulation of nucleobase-containing compound metabolic process","13/130","427/18057",1.28523126690791e-05,0.000663821949357935,0.000629763320784875,"327244/58107/554836/564009/140633/101883257/30659/83774/494487/445177/100003956/553649/406204",13
"GO:0018126","BP","GO:0018126","protein hydroxylation","4/130","22/18057",1.69677041910716e-05,0.000834649449017953,0.000791826195583343,"559569/100003675/373132/266962",4
"GO:0051085","BP","GO:0051085","chaperone cofactor-dependent protein refolding","4/130","28/18057",4.59303514420161e-05,0.00215663877452739,0.00204598838241708,"327244/445177/378848/569466",4
"GO:0051084","BP","GO:0051084","'de novo' post-translational protein folding","4/130","29/18057",5.29830887620817e-05,0.00237963176918393,0.00225754030377565,"327244/445177/378848/569466",4
"GO:0018401","BP","GO:0018401","peptidyl-proline hydroxylation to 4-hydroxy-L-proline","3/130","11/18057",5.76771361053033e-05,0.00248252006653243,0.00235514972429988,"559569/100003675/373132",3
"GO:0006458","BP","GO:0006458","'de novo' protein folding","4/130","30/18057",6.07946233868761e-05,0.00251203383834572,0.00238314923676554,"327244/445177/378848/569466",4
"GO:0019511","BP","GO:0019511","peptidyl-proline hydroxylation","3/130","13/18057",9.89243706308225e-05,0.00393034134083229,0.00372868781608485,"559569/100003675/373132",3
"GO:0061077","BP","GO:0061077","chaperone-mediated protein folding","4/130","35/18057",0.000112964546547384,0.00432193987346104,0.00410019465246062,"327244/445177/378848/569466",4
"GO:0042542","BP","GO:0042542","response to hydrogen peroxide","3/130","15/18057",0.000155728847497106,0.00574528212373252,0.00545050966239871,"140633/100003956/550268",3
"GO:0000122","BP","GO:0000122","negative regulation of transcription by RNA polymerase II","8/130","244/18057",0.0003905241132846,0.0139107382421721,0.0131970217592727,"327244/58107/140633/30659/494487/445177/553649/406204",8
"GO:0009408","BP","GO:0009408","response to heat","3/130","22/18057",0.000508010543340229,0.0174924963756819,0.0165950110824475,"323922/565155/100126123",3
"GO:0010035","BP","GO:0010035","response to inorganic substance","5/130","107/18057",0.00105871999253525,0.0352792823319006,0.0334692126672435,"195821/140633/100126123/100003956/550268",5
"GO:0030199","BP","GO:0030199","collagen fibril organization","3/130","30/18057",0.00128419166029365,0.0414553120338545,0.0393283695964932,"567859/555328/30449",3
"GO:0000302","BP","GO:0000302","response to reactive oxygen species","3/130","31/18057",0.00141434646951216,0.044273330394123,0.0420018042461186,"140633/100003956/550268",3
"GO:0005788","CC","GO:0005788","endoplasmic reticulum lumen","5/129","47/18405",1.8957105690061e-05,0.00227485268280733,0.00227485268280733,"567859/327133/100003675/373132/378848",5
"GO:0051082","MF","GO:0051082","unfolded protein binding","7/126","78/17701",1.36046085385383e-06,0.000258487562232229,0.000226266120956743,"323922/327244/565155/445177/386590/378848/569466",7
"GO:0016706","MF","GO:0016706","2-oxoglutarate-dependent dioxygenase activity","6/126","57/17701",3.11185808736459e-06,0.000295626518299636,0.000258775567265055,"563644/327168/559569/100003675/373132/266962",6
