"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009410","BP","GO:0009410","response to xenobiotic stimulus","9/219","90/18057",1.45302593188653e-06,0.00172764783301308,0.00157079750741839,"553969/140634/492484/494153/393108/100034366/553537/322412/393484",9
"GO:0071466","BP","GO:0071466","cellular response to xenobiotic stimulus","8/219","81/18057",6.19646923403764e-06,0.00368380095963537,0.00334935468597719,"140634/492484/494153/393108/100034366/553537/322412/393484",8
"GO:0006805","BP","GO:0006805","xenobiotic metabolic process","6/219","52/18057",3.79839912255755e-05,0.0150543218557364,0.0136875645574267,"492484/494153/393108/100034366/553537/393484",6
"GO:0010675","BP","GO:0010675","regulation of cellular carbohydrate metabolic process","5/219","36/18057",6.9570776934485e-05,0.0206799134437757,0.0188024178715042,"566188/794083/393971/561007/100001260",5
"GO:0006109","BP","GO:0006109","regulation of carbohydrate metabolic process","5/219","38/18057",9.08222980179512e-05,0.0212322534419067,0.0193046118231492,"566188/794083/393971/561007/100001260",5
"GO:0006775","BP","GO:0006775","fat-soluble vitamin metabolic process","4/219","21/18057",0.000107143415182036,0.0212322534419067,0.0193046118231492,"556575/556528/558239/100004700",4
"GO:0007602","BP","GO:0007602","phototransduction","5/219","47/18057",0.000254039863676732,0.0431504854159478,0.0392329233076698,"100884131/447916/550575/569628/30503",5
"GO:0009308","BP","GO:0009308","amine metabolic process","5/219","49/18057",0.000309661507954766,0.0460234416197771,0.0418450485091506,"30207/556522/555401/641560/571967",5
"GO:0016324","CC","GO:0016324","apical plasma membrane","7/248","102/18405",0.000461457491341733,0.0289235852171874,0.0283887251776092,"101886177/100009638/568241/393561/556596/359838/393329",7
"GO:0042470","CC","GO:0042470","melanosome","4/248","29/18405",0.000586288889537582,0.0289235852171874,0.0283887251776092,"321239/30207/562810/58074",4
"GO:0048770","CC","GO:0048770","pigment granule","4/248","29/18405",0.000586288889537582,0.0289235852171874,0.0283887251776092,"321239/30207/562810/58074",4
"GO:0045177","CC","GO:0045177","apical part of cell","7/248","113/18405",0.000851830326412579,0.0315177220772654,0.0309348908012989,"101886177/100009638/568241/393561/556596/359838/393329",7
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","17/230","164/17701",4.68539907999925e-11,9.53262427578431e-09,7.40142378939215e-09,"393558/553969/562008/140634/394148/492484/494153/393108/100034366/553537/393484/564107/492759/566714/558239/100004700/571967",17
"GO:0004497","MF","GO:0004497","monooxygenase activity","16/230","143/17701",5.55838150191505e-11,9.53262427578431e-09,7.40142378939215e-09,"553969/562008/30207/140634/394148/557628/492484/494153/393108/100034366/553537/393484/564107/492759/558239/100004700",16
"GO:0020037","MF","GO:0020037","heme binding","16/230","156/17701",2.07713923568511e-10,2.3748625261333e-08,1.84391658466081e-08,"393558/553969/562008/140634/394148/492484/494153/393108/100034366/553537/393484/564107/492759/558239/100004700/571967",16
"GO:0016705","MF","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","17/230","198/17701",9.08457212552988e-10,7.79002059764187e-08,6.04841249410279e-08,"553969/562008/559569/30207/140634/394148/557628/492484/494153/393108/100034366/553537/393484/564107/492759/558239/100004700",17
