"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006952","BP","GO:0006952","defense response","29/158","468/18057",8.08146899661066e-17,8.73606798533612e-14,7.26481528747948e-14,"795785/405770/393386/102997062/100005593/415100/368917/562007/561067/100537110/406471/402837/30554/100170820/403139/570832/792472/792160/568326/30767/503594/567444/450028/378966/553612/406397/571584/795305/100332237",29
"GO:0006954","BP","GO:0006954","inflammatory response","16/158","214/18057",6.44597934964257e-11,1.76148881892924e-08,1.46483417047137e-08,"795785/405770/102997062/100005593/415100/368917/562007/100537110/406471/30554/100170820/403139/568326/503594/406397/100332237",16
"GO:0043207","BP","GO:0043207","response to external biotic stimulus","22/158","453/18057",7.17859121357169e-11,1.76148881892924e-08,1.46483417047137e-08,"795785/405770/415100/562007/561067/406471/402837/100170820/393939/403139/570832/792472/792160/568326/567444/450028/378966/553612/406397/140814/571584/795305",22
"GO:0051707","BP","GO:0051707","response to other organism","22/158","453/18057",7.17859121357169e-11,1.76148881892924e-08,1.46483417047137e-08,"795785/405770/415100/562007/561067/406471/402837/100170820/393939/403139/570832/792472/792160/568326/567444/450028/378966/553612/406397/140814/571584/795305",22
"GO:0009607","BP","GO:0009607","response to biotic stimulus","22/158","456/18057",8.14749684981147e-11,1.76148881892924e-08,1.46483417047137e-08,"795785/405770/415100/562007/561067/406471/402837/100170820/393939/403139/570832/792472/792160/568326/567444/450028/378966/553612/406397/140814/571584/795305",22
"GO:0044419","BP","GO:0044419","biological process involved in interspecies interaction between organisms","22/158","484/18057",2.53518776432656e-10,4.23853829043679e-08,3.52472048301574e-08,"795785/405770/415100/562007/561067/406471/402837/100170820/393939/403139/570832/792472/792160/568326/567444/450028/378966/553612/406397/140814/571584/795305",22
"GO:0034097","BP","GO:0034097","response to cytokine","14/158","169/18057",2.74465939251226e-10,4.23853829043679e-08,3.52472048301574e-08,"795785/100006778/405770/415100/100170820/565104/568326/30767/100135062/503594/406650/567444/557526/799475",14
"GO:0098542","BP","GO:0098542","defense response to other organism","18/158","333/18057",7.99876414370979e-10,1.08083300491879e-07,8.98808497201074e-08,"795785/405770/415100/561067/406471/402837/100170820/403139/570832/792472/792160/568326/567444/450028/378966/553612/571584/795305",18
"GO:0050900","BP","GO:0050900","leukocyte migration","12/158","142/18057",4.32480474598554e-09,5.1945710337893e-07,4.31974649482065e-07,"541320/795785/387293/405770/100005593/100009638/568241/368917/406471/100170820/568326/406397",12
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","12/158","144/18057",5.07347601612957e-09,5.48442757343607e-07,4.560787913447e-07,"795785/100006778/405770/100170820/565104/568326/30767/100135062/503594/567444/557526/799475",12
"GO:0009617","BP","GO:0009617","response to bacterium","14/158","214/18057",6.01174156590315e-09,5.90790239340118e-07,4.91294478208736e-07,"795785/405770/562007/406471/402837/100170820/403139/792472/450028/553612/406397/140814/571584/795305",14
"GO:0071345","BP","GO:0071345","cellular response to cytokine stimulus","12/158","152/18057",9.37724499632415e-09,8.447334867522e-07,7.02470809373756e-07,"795785/100006778/405770/100170820/565104/568326/30767/100135062/503594/567444/557526/799475",12
"GO:0042742","BP","GO:0042742","defense response to bacterium","9/158","101/18057",2.51416407609437e-07,2.09062412789078e-05,1.73853936921829e-05,"405770/406471/402837/100170820/403139/450028/553612/571584/795305",9
"GO:0042554","BP","GO:0042554","superoxide anion generation","4/158","13/18057",3.79438590212958e-06,0.000292980797157291,0.000243639515820952,"393386/572245/378966/562473",4
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","8/158","108/18057",4.82918387259358e-06,0.000348023184418244,0.000289412142259293,"795785/387293/405770/100009638/568241/406471/100170820/568326",8
"GO:0072593","BP","GO:0072593","reactive oxygen species metabolic process","6/158","55/18057",8.30234712854722e-06,0.000560927327872472,0.00046646081893285,"393386/556258/572245/378966/562473/795305",6
"GO:1990266","BP","GO:1990266","neutrophil migration","7/158","84/18057",8.85290312629824e-06,0.000562940487031082,0.000468134939310136,"795785/405770/100009638/568241/406471/100170820/568326",7
"GO:0002682","BP","GO:0002682","regulation of immune system process","13/158","356/18057",1.54439984264495e-05,0.000918927354192764,0.00076416959002933,"100005593/368917/570830/100537110/406471/558139/403139/570832/792472/792160/751704/567444/406397",13
"GO:0097530","BP","GO:0097530","granulocyte migration","7/158","92/18057",1.6151359601908e-05,0.000918927354192764,0.00076416959002933,"795785/405770/100009638/568241/406471/100170820/568326",7
"GO:0006801","BP","GO:0006801","superoxide metabolic process","4/158","22/18057",3.6506423437049e-05,0.0019731721867725,0.00164086766395999,"393386/572245/378966/562473",4
"GO:0009725","BP","GO:0009725","response to hormone","10/158","236/18057",4.44004200511317e-05,0.00228556447977492,0.00190064956008353,"100330897/565656/402837/79378/565104/393510/30767/406650/378727/799475",10
"GO:0045087","BP","GO:0045087","innate immune response","9/158","198/18057",6.28039062572108e-05,0.0030859555756384,0.00256624573893101,"415100/406471/402837/100170820/403139/570832/792472/568326/567444",9
"GO:0031099","BP","GO:0031099","regeneration","9/158","209/18057",9.51071226864147e-05,0.00447003476626149,0.00371723033291525,"100006778/405770/406471/317638/373081/30767/503594/30269/406397",9
"GO:0002252","BP","GO:0002252","immune effector process","7/158","130/18057",0.00014764675150449,0.00665025576568142,0.00553027744670328,"406471/558139/570832/792472/100135062/503594/406397",7
