"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04141","dre04141","Protein processing in endoplasmic reticulum - Danio rerio (zebrafish)","9/39","202/7368",7.60628291703517e-07,3.34676448349547e-05,3.28271157472044e-05,"323922/327244/327133/562019/565155/100126123/445177/386590/378848",9
"dre04814","dre04814","Motor proteins - Danio rerio (zebrafish)","4/39","254/7368",0.0441349202509876,0.668913465479625,0.656111293891498,"767754/565267/566674/100537719",4
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","2/39","68/7368",0.0499622543135776,0.668913465479625,0.656111293891498,"100003675/373132",2
"dre01212","dre01212","Fatty acid metabolism - Danio rerio (zebrafish)","2/39","78/7368",0.0637411554690696,0.668913465479625,0.656111293891498,"767653/100333227",2
"dre00604","dre00604","Glycosphingolipid biosynthesis - ganglio series - Danio rerio (zebrafish)","1/39","17/7368",0.0863622085625456,0.668913465479625,0.656111293891498,"793635",1
"dre03060","dre03060","Protein export - Danio rerio (zebrafish)","1/39","22/7368",0.110348935456247,0.668913465479625,0.656111293891498,"378848",1
"dre01040","dre01040","Biosynthesis of unsaturated fatty acids - Danio rerio (zebrafish)","1/39","35/7368",0.169878913695762,0.668913465479625,0.656111293891498,"767653",1
"dre03082","dre03082","ATP-dependent chromatin remodeling - Danio rerio (zebrafish)","2/39","141/7368",0.170915884085737,0.668913465479625,0.656111293891498,"562738/445141",2
"dre03440","dre03440","Homologous recombination - Danio rerio (zebrafish)","1/39","40/7368",0.191725927907488,0.668913465479625,0.656111293891498,"403064",1
"dre00062","dre00062","Fatty acid elongation - Danio rerio (zebrafish)","1/39","42/7368",0.200306972065335,0.668913465479625,0.656111293891498,"767653",1
"dre04621","dre04621","NOD-like receptor signaling pathway - Danio rerio (zebrafish)","2/39","173/7368",0.232778267493923,0.668913465479625,0.656111293891498,"448858/565155",2
"dre00513","dre00513","Various types of N-glycan biosynthesis - Danio rerio (zebrafish)","1/39","53/7368",0.245939398663362,0.668913465479625,0.656111293891498,"565184",1
"dre04910","dre04910","Insulin signaling pathway - Danio rerio (zebrafish)","2/39","180/7368",0.246565009091184,0.668913465479625,0.656111293891498,"557893/436649",2
"dre05132","dre05132","Salmonella infection - Danio rerio (zebrafish)","3/39","332/7368",0.256211797318956,0.668913465479625,0.656111293891498,"100005026/565155/386590",3
"dre00071","dre00071","Fatty acid degradation - Danio rerio (zebrafish)","1/39","56/7368",0.257937688285089,0.668913465479625,0.656111293891498,"100333227",1
"dre00270","dre00270","Cysteine and methionine metabolism - Danio rerio (zebrafish)","1/39","59/7368",0.2697498854115,0.668913465479625,0.656111293891498,"30659",1
"dre03420","dre03420","Nucleotide excision repair - Danio rerio (zebrafish)","1/39","59/7368",0.2697498854115,0.668913465479625,0.656111293891498,"560477",1
"dre00514","dre00514","Other types of O-glycan biosynthesis - Danio rerio (zebrafish)","1/39","60/7368",0.27364641769621,0.668913465479625,0.656111293891498,"567859",1
"dre00970","dre00970","Aminoacyl-tRNA biosynthesis - Danio rerio (zebrafish)","1/39","67/7368",0.300360542540189,0.683291610561524,0.670214259163217,"324940",1
"dre03250","dre03250","Viral life cycle - HIV-1 - Danio rerio (zebrafish)","1/39","73/7368",0.32249441928928,0.683291610561524,0.670214259163217,"100330881",1
"dre00600","dre00600","Sphingolipid metabolism - Danio rerio (zebrafish)","1/39","74/7368",0.326116450495273,0.683291610561524,0.670214259163217,"793635",1
"dre00310","dre00310","Lysine degradation - Danio rerio (zebrafish)","1/39","84/7368",0.361314558196575,0.706098769089381,0.692584917049392,"567859",1
"dre04115","dre04115","p53 signaling pathway - Danio rerio (zebrafish)","1/39","90/7368",0.381566628939308,0.706098769089381,0.692584917049392,"403064",1
"dre03320","dre03320","PPAR signaling pathway - Danio rerio (zebrafish)","1/39","94/7368",0.394718934654223,0.706098769089381,0.692584917049392,"100333227",1
"dre04920","dre04920","Adipocytokine signaling pathway - Danio rerio (zebrafish)","1/39","96/7368",0.401192482437148,0.706098769089381,0.692584917049392,"100333227",1
"dre04914","dre04914","Progesterone-mediated oocyte maturation - Danio rerio (zebrafish)","1/39","112/7368",0.450608336560422,0.729048270131588,0.715095193191271,"565155",1
"dre03010","dre03010","Ribosome - Danio rerio (zebrafish)","1/39","138/7368",0.52255658089208,0.729048270131588,0.715095193191271,"553799",1
"dre03040","dre03040","Spliceosome - Danio rerio (zebrafish)","1/39","143/7368",0.535298997124452,0.729048270131588,0.715095193191271,"100126123",1
