"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre00830","dre00830","Retinol metabolism - Danio rerio (zebrafish)","10/121","93/7368",2.51589291218008e-06,0.000208819111710947,0.000177436658016911,"556575/553969/563241/393724/556528/767756/492759/100384895/407663/406731",10
"dre00140","dre00140","Steroid hormone biosynthesis - Danio rerio (zebrafish)","7/121","82/7368",0.000371523860576471,0.0111402240100757,0.00946601152409734,"553969/394148/100333777/767756/492759/100384895/406731",7
"dre00100","dre00100","Steroid biosynthesis - Danio rerio (zebrafish)","4/121","22/7368",0.000402658699159364,0.0111402240100757,0.00946601152409734,"494054/565117/322481/100004700",4
"dre00591","dre00591","Linoleic acid metabolism - Danio rerio (zebrafish)","4/121","29/7368",0.00119640797599848,0.0199589446273479,0.0169594076097946,"553969/393108/100034366/492759",4
"dre00561","dre00561","Glycerolipid metabolism - Danio rerio (zebrafish)","6/121","73/7368",0.00120234606188843,0.0199589446273479,0.0169594076097946,"450063/799099/570695/565117/322481/101887155",6
"dre00500","dre00500","Starch and sucrose metabolism - Danio rerio (zebrafish)","4/121","38/7368",0.00331892839947384,0.0459118428593881,0.039011965397324,"445118/445049/100148922/406539",4
"dre04140","dre04140","Autophagy - animal - Danio rerio (zebrafish)","9/121","200/7368",0.00548935139823818,0.065088023721967,0.0553062471702192,"407723/393285/792689/101883461/100330105/65225/402792/793200/100170793",9
"dre00982","dre00982","Drug metabolism - cytochrome P450 - Danio rerio (zebrafish)","5/121","72/7368",0.00640422015725736,0.0664437841315451,0.0564582566495057,"557628/393556/767756/100384895/406731",5
"dre00980","dre00980","Metabolism of xenobiotics by cytochrome P450 - Danio rerio (zebrafish)","5/121","76/7368",0.00802990035601304,0.0688655278812839,0.0585160477875209,"100333777/393556/767756/100384895/406731",5
"dre02010","dre02010","ABC transporters - Danio rerio (zebrafish)","4/121","49/7368",0.00829705155196192,0.0688655278812839,0.0585160477875209,"558924/571189/393561/556979",4
"dre04068","dre04068","FoxO signaling pathway - Danio rerio (zebrafish)","8/121","182/7368",0.00997178288712403,0.0752416345119359,0.0639339189892163,"393285/445118/563719/100001936/402792/393707/793200/100151464",8
"dre00052","dre00052","Galactose metabolism - Danio rerio (zebrafish)","3/121","34/7368",0.0178510599406436,0.113972151928724,0.0968438069654348,"445118/100148922/559107",3
"dre04136","dre04136","Autophagy - other - Danio rerio (zebrafish)","3/121","34/7368",0.0178510599406436,0.113972151928724,0.0968438069654348,"792689/101883461/793200",3
"dre00480","dre00480","Glutathione metabolism - Danio rerio (zebrafish)","4/121","69/7368",0.0263864439658878,0.156433917797763,0.132924191407104,"798788/393556/322533/100004744",4
"dre00983","dre00983","Drug metabolism - other enzymes - Danio rerio (zebrafish)","5/121","105/7368",0.0289091361447133,0.159963886667414,0.135923657662863,"393556/767756/561967/100384895/406731",5
