"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04920","dre04920","Adipocytokine signaling pathway - Danio rerio (zebrafish)","8/69","96/7368",2.6933534448755e-06,0.000212774922145164,0.000187117186696613,"445118/406596/406471/30767/564348/334561/557526/378727",8
"dre04217","dre04217","Necroptosis - Danio rerio (zebrafish)","9/69","197/7368",8.2285160556158e-05,0.00325026384196824,0.00285832662984549,"571368/405770/393386/403013/406471/30554/30767/557526/557302",9
"dre04625","dre04625","C-type lectin receptor signaling pathway - Danio rerio (zebrafish)","7/69","129/7368",0.000187578097138379,0.00432268108744535,0.00380142507356953,"405770/403013/415100/565656/792160/796425/557302",7
"dre04060","dre04060","Cytokine-cytokine receptor interaction - Danio rerio (zebrafish)","9/69","224/7368",0.000218869928478245,0.00432268108744535,0.00380142507356953,"571368/100006778/405770/406471/565104/100135062/563674/564348/799475",9
"dre05168","dre05168","Herpes simplex virus 1 infection - Danio rerio (zebrafish)","8/69","204/7368",0.00059049116520278,0.00932976041020392,0.00820471934808073,"571368/405770/403013/406596/406471/796425/557526/557302",8
"dre04216","dre04216","Ferroptosis - Danio rerio (zebrafish)","4/69","62/7368",0.00261179470384703,0.0343886302673193,0.0302418334129657,"393386/791518/431716/334561",4
"dre04621","dre04621","NOD-like receptor signaling pathway - Danio rerio (zebrafish)","6/69","173/7368",0.00542132332152198,0.0611835060571766,0.0538056149203685,"405770/393386/403013/796425/557526/557302",6
"dre04145","dre04145","Phagosome - Danio rerio (zebrafish)","6/69","183/7368",0.00709585273771999,0.0700715457849849,0.0616218790380946,"393386/436641/378966/562473/571584/100332237",6
"dre04115","dre04115","p53 signaling pathway - Danio rerio (zebrafish)","4/69","90/7368",0.00983889447788459,0.0863636293058758,0.0759493608819161,"751765/100136840/557302/100332237",4
"dre04210","dre04210","Apoptosis - Danio rerio (zebrafish)","6/69","201/7368",0.0110119499192482,0.0869944043620607,0.0765040731231979,"751765/406471/436641/100135062/557526/557302",6
"dre04512","dre04512","ECM-receptor interaction - Danio rerio (zebrafish)","4/69","105/7368",0.01658525058728,0.116488079900296,0.102441216168148,"541320/567928/335269/100332237",4
"dre00061","dre00061","Fatty acid biosynthesis - Danio rerio (zebrafish)","2/69","22/7368",0.0176943918835893,0.116488079900296,0.102441216168148,"101884755/334561",2
"dre00630","dre00630","Glyoxylate and dicarboxylate metabolism - Danio rerio (zebrafish)","2/69","37/7368",0.0466446995802669,0.283456251295468,0.249275317594949,"79378/321621",2
"dre00260","dre00260","Glycine, serine and threonine metabolism - Danio rerio (zebrafish)","2/69","47/7368",0.0713601341105688,0.378922051868549,0.333229252809117,"79378/321621",2
"dre00250","dre00250","Alanine, aspartate and glutamate metabolism - Danio rerio (zebrafish)","2/69","48/7368",0.0740252061701443,0.378922051868549,0.333229252809117,"79378/378968",2
"dre04620","dre04620","Toll-like receptor signaling pathway - Danio rerio (zebrafish)","3/69","106/7368",0.0767437067075542,0.378922051868549,0.333229252809117,"405770/403139/557302",3
"dre00564","dre00564","Glycerophospholipid metabolism - Danio rerio (zebrafish)","3/69","112/7368",0.0872172160374781,0.384956892149103,0.338536374175094,"30554/492483/793137",3
"dre04910","dre04910","Insulin signaling pathway - Danio rerio (zebrafish)","4/69","180/7368",0.0877116969453652,0.384956892149103,0.338536374175094,"562242/445118/406596/378727",4
"dre04010","dre04010","MAPK signaling pathway - Danio rerio (zebrafish)","7/69","420/7368",0.0966896966584073,0.402025580842852,0.353546813266199,"405770/415100/406471/30554/100126123/557526/560210",7
"dre04623","dre04623","Cytosolic DNA-sensing pathway - Danio rerio (zebrafish)","2/69","63/7368",0.117384509308052,0.463668811766806,0.40775671654376,"405770/557302",2
"dre04622","dre04622","RIG-I-like receptor signaling pathway - Danio rerio (zebrafish)","2/69","67/7368",0.129835735619889,0.477576286631104,0.419987140808166,"557526/557302",2
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","2/69","68/7368",0.132995927922586,0.477576286631104,0.419987140808166,"100333321/431716",2
"dre01212","dre01212","Fatty acid metabolism - Danio rerio (zebrafish)","2/69","78/7368",0.165477705447805,0.510010831515,0.448510524716722,"101884755/334561",2
"dre00785","dre00785","Lipoic acid metabolism - Danio rerio (zebrafish)","1/69","20/7368",0.171735836956635,0.510010831515,0.448510524716722,"321621",1
"dre04350","dre04350","TGF-beta signaling pathway - Danio rerio (zebrafish)","3/69","153/7368",0.172326497547578,0.510010831515,0.448510524716722,"562242/402837/100332237",3
