"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006119","BP","GO:0006119","oxidative phosphorylation","18/709","76/18057",5.88317442140445e-10,1.17604656683875e-06,1.0880776272008e-06,"393781/393700/436768/554103/326962/447913/554154/445129/563476/393776/569770/402883/100150991/336118/798291/494577/569482/445042",18
"GO:0009410","BP","GO:0009410","response to xenobiotic stimulus","19/709","90/18057",1.59318478893541e-09,1.4224219482276e-06,1.31602399254148e-06,"553969/30553/79381/140634/100537750/492484/569245/100034406/100034366/393592/322412/431754/431734/768288/393484/449790/791518/322506/368270",19
"GO:0016101","BP","GO:0016101","diterpenoid metabolic process","13/709","40/18057",2.13470027247764e-09,1.4224219482276e-06,1.31602399254148e-06,"556575/393761/550422/393724/100141334/791484/449556/556528/793849/415102/84039/378440/322529",13
"GO:0009060","BP","GO:0009060","aerobic respiration","20/709","105/18057",3.97744295266112e-09,1.98772711559239e-06,1.83904401784884e-06,"393781/393700/796997/436768/564844/554103/326962/447913/554154/445129/563476/393776/569770/402883/100150991/336118/798291/494577/569482/445042",20
"GO:0006721","BP","GO:0006721","terpenoid metabolic process","13/709","44/18057",7.96467836350565e-09,3.07934699697181e-06,2.84901012278743e-06,"556575/393761/550422/393724/100141334/791484/449556/556528/793849/415102/84039/378440/322529",13
"GO:0022900","BP","GO:0022900","electron transport chain","16/709","70/18057",9.24266232207646e-09,3.07934699697181e-06,2.84901012278743e-06,"393781/393700/436768/326962/447913/554154/445129/393776/100150991/541328/573689/336118/494577/569482/445042/100332034",16
"GO:0001523","BP","GO:0001523","retinoid metabolic process","12/709","39/18057",1.80508205447902e-08,4.91415061767024e-06,4.54656940851826e-06,"556575/393761/393724/100141334/791484/449556/556528/793849/415102/84039/378440/322529",12
"GO:0045333","BP","GO:0045333","cellular respiration","21/709","126/18057",1.96664356885252e-08,4.91415061767024e-06,4.54656940851826e-06,"393781/393700/796997/436768/564844/554103/326962/447913/554154/445129/563476/393776/569770/402883/100150991/541328/336118/798291/494577/569482/445042",21
"GO:0042775","BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","13/709","50/18057",4.37909055481702e-08,9.40126150813464e-06,8.69804189978808e-06,"393781/393700/436768/326962/447913/554154/445129/393776/100150991/336118/494577/569482/445042",13
"GO:0006720","BP","GO:0006720","isoprenoid metabolic process","14/709","59/18057",4.70298224518991e-08,9.40126150813464e-06,8.69804189978808e-06,"556575/393761/550422/393724/100141334/791484/449556/556528/793849/796295/415102/84039/378440/322529",14
"GO:0071466","BP","GO:0071466","cellular response to xenobiotic stimulus","16/709","81/18057",8.36915573922642e-08,1.52090384751942e-05,1.40713939079625e-05,"79381/140634/492484/569245/100034406/100034366/393592/322412/431754/431734/768288/393484/449790/791518/322506/368270",16
"GO:0042773","BP","GO:0042773","ATP synthesis coupled electron transport","13/709","54/18057",1.1829350566522e-07,1.97057264853978e-05,1.82317271450694e-05,"393781/393700/436768/326962/447913/554154/445129/393776/100150991/336118/494577/569482/445042",13
"GO:0015980","BP","GO:0015980","energy derivation by oxidation of organic compounds","23/709","168/18057",1.8250598116125e-07,2.80638043339492e-05,2.59646161052888e-05,"393781/393700/566188/796997/436768/564844/554103/326962/447913/554154/445129/554046/563476/393776/569770/402883/100150991/541328/336118/798291/494577/569482/445042",23
"GO:0022904","BP","GO:0022904","respiratory electron transport chain","14/709","66/18057",2.12229208571728e-07,3.03032991382061e-05,2.80365954481599e-05,"393781/393700/436768/326962/447913/554154/445129/393776/100150991/541328/336118/494577/569482/445042",14
"GO:0019646","BP","GO:0019646","aerobic electron transport chain","12/709","48/18057",2.32377336881376e-07,3.06278631579654e-05,2.83368818980781e-05,"393781/393700/436768/326962/447913/554154/445129/393776/336118/494577/569482/445042",12
"GO:0008202","BP","GO:0008202","steroid metabolic process","19/709","121/18057",2.45145478002724e-07,3.06278631579654e-05,2.83368818980781e-05,"550398/393761/336673/445281/394148/692332/556528/436600/751641/327462/100873093/100004700/564868/63999/368270/565876/402831/378440/322529",19
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","27/709","227/18057",3.0158836725106e-07,3.54632438902864e-05,3.28105734526385e-05,"393781/393700/566188/796997/436768/564844/792692/560753/554103/326962/447913/554154/445129/554046/563476/393776/569770/402883/100150991/541328/573689/336118/798291/494577/569482/445042/100332034",27
"GO:0046942","BP","GO:0046942","carboxylic acid transport","23/709","177/18057",4.72656071902927e-07,5.24910826518861e-05,4.85647203703767e-05,"30708/571189/445158/557757/336741/568032/171481/449677/564474/100141334/791484/407736/399488/415166/503788/447807/561766/436636/100007793/641560/415102/266721/393329",23
"GO:0015849","BP","GO:0015849","organic acid transport","23/709","179/18057",5.78452250905489e-07,6.08592657663196e-05,5.63069587169498e-05,"30708/571189/445158/557757/336741/568032/171481/449677/564474/100141334/791484/407736/399488/415166/503788/447807/561766/436636/100007793/641560/415102/266721/393329",23
"GO:0006775","BP","GO:0006775","fat-soluble vitamin metabolic process","8/709","21/18057",7.01691450096876e-07,7.01340604371827e-05,6.48879935694848e-05,"556575/100141334/791484/556528/100004700/415102/565876/402831",8
