"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045333","BP","GO:0045333","cellular respiration","22/611","126/18057",2.31896283694416e-10,4.49646894083472e-07,4.05208243087085e-07,"100002948/796997/751638/436768/564844/326962/554154/100333064/557348/553216/569770/100000855/556258/447942/402883/541328/336118/566723/798291/494577/569482/445042",22
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","28/611","227/18057",3.51479896614704e-09,2.58382663490568e-06,2.32846677014382e-06,"100002948/796997/751638/436768/564844/792692/560753/114551/436909/326962/554154/100333064/557348/553216/569770/100000855/556258/447942/402883/541328/336118/566723/393668/798291/494577/569482/445042/100332034",28
"GO:0006119","BP","GO:0006119","oxidative phosphorylation","16/611","76/18057",3.99766885235535e-09,2.58382663490568e-06,2.32846677014382e-06,"751638/436768/326962/554154/100333064/557348/569770/100000855/447942/402883/336118/566723/798291/494577/569482/445042",16
"GO:0015980","BP","GO:0015980","energy derivation by oxidation of organic compounds","23/611","168/18057",1.22146865521439e-08,5.27701983596194e-06,4.75549139692018e-06,"100002948/796997/751638/436768/564844/436909/326962/554154/100333064/557348/553216/569770/100000855/556258/447942/402883/541328/336118/566723/798291/494577/569482/445042",23
"GO:0009060","BP","GO:0009060","aerobic respiration","18/611","105/18057",1.36075808044403e-08,5.27701983596194e-06,4.75549139692018e-06,"796997/751638/436768/564844/326962/554154/100333064/557348/569770/100000855/447942/402883/336118/566723/798291/494577/569482/445042",18
"GO:0008202","BP","GO:0008202","steroid metabolic process","19/611","121/18057",2.39615195110134e-08,7.7435643886425e-06,6.97826708566356e-06,"550398/393761/445281/447848/394148/436600/751641/563363/327417/327462/100004700/563369/368270/565876/402831/723999/322341/378440/322529",19
"GO:0022900","BP","GO:0022900","electron transport chain","14/611","70/18057",7.48056248327459e-08,1.48026016140148e-05,1.33396589013678e-05,"751638/436768/326962/554154/100333064/553216/447942/541328/336118/566723/494577/569482/445042/100332034",14
"GO:0009201","BP","GO:0009201","ribonucleoside triphosphate biosynthetic process","12/611","50/18057",7.57125709817004e-08,1.48026016140148e-05,1.33396589013678e-05,"406599/335716/431724/30084/559659/335709/100000855/402883/326977/798291/570547/570370",12
"GO:0009145","BP","GO:0009145","purine nucleoside triphosphate biosynthetic process","11/611","41/18057",7.63414214234904e-08,1.48026016140148e-05,1.33396589013678e-05,"406599/335716/431724/30084/559659/335709/100000855/402883/326977/798291/570370",11
"GO:0009206","BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","11/611","41/18057",7.63414214234904e-08,1.48026016140148e-05,1.33396589013678e-05,"406599/335716/431724/30084/559659/335709/100000855/402883/326977/798291/570370",11
"GO:0022904","BP","GO:0022904","respiratory electron transport chain","13/611","66/18057",2.6407427485169e-07,4.65490926306752e-05,4.19486407898379e-05,"751638/436768/326962/554154/100333064/553216/447942/541328/336118/566723/494577/569482/445042",13
"GO:0072521","BP","GO:0072521","purine-containing compound metabolic process","30/611","313/18057",3.13364594167805e-07,4.80040184533977e-05,4.32597761367173e-05,"406599/450052/794259/335716/368242/792692/558601/560753/563937/556651/114551/431724/562627/30084/449556/559659/393629/335709/570244/557735/100000855/447919/402883/326977/494056/393668/798291/553804/571967/570370",30
"GO:0009410","BP","GO:0009410","response to xenobiotic stimulus","15/611","90/18057",3.21842310414734e-07,4.80040184533977e-05,4.32597761367173e-05,"553969/493634/140634/799957/259306/569245/393108/100034366/393592/797309/322412/393484/449790/563369/368270",15
"GO:0009199","BP","GO:0009199","ribonucleoside triphosphate metabolic process","16/611","104/18057",4.0713773933869e-07,5.63885768984086e-05,5.08156877670846e-05,"406599/335716/792692/560753/114551/431724/30084/559659/335709/100000855/402883/326977/393668/798291/570547/570370",16
"GO:0019646","BP","GO:0019646","aerobic electron transport chain","11/611","48/18057",4.40201365339919e-07,5.69033631596068e-05,5.12795976466151e-05,"751638/436768/326962/554154/100333064/447942/336118/566723/494577/569482/445042",11
"GO:0009205","BP","GO:0009205","purine ribonucleoside triphosphate metabolic process","15/611","95/18057",6.63547164273102e-07,7.8055874090183e-05,7.03416036425199e-05,"406599/335716/792692/560753/114551/431724/30084/559659/335709/100000855/402883/326977/393668/798291/570370",15
"GO:0042775","BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","11/611","50/18057",6.84347529413673e-07,7.8055874090183e-05,7.03416036425199e-05,"751638/436768/326962/554154/100333064/447942/336118/566723/494577/569482/445042",11
"GO:0009142","BP","GO:0009142","nucleoside triphosphate biosynthetic process","12/611","61/18057",7.73295029725856e-07,8.33010590354686e-05,7.50684063944398e-05,"406599/335716/431724/30084/559659/335709/100000855/402883/326977/798291/570547/570370",12
"GO:0009144","BP","GO:0009144","purine nucleoside triphosphate metabolic process","15/611","97/18057",8.73975953202956e-07,8.91915459610806e-05,8.03767358624325e-05,"406599/335716/792692/560753/114551/431724/30084/559659/335709/100000855/402883/326977/393668/798291/570370",15
"GO:0006805","BP","GO:0006805","xenobiotic metabolic process","11/611","52/18057",1.04069917620178e-06,0.000100895785132763,9.09242438155243e-05,"799957/259306/569245/393108/100034366/393592/797309/393484/449790/563369/368270",11
"GO:0071482","BP","GO:0071482","cellular response to light stimulus","11/611","53/18057",1.27354859592872e-06,0.000117590987024085,0.000105969457104846,"30435/436716/791894/101882119/557053/541319/393820/30582/30503/360151/30295",11
"GO:0055086","BP","GO:0055086","nucleobase-containing small molecule metabolic process","34/611","408/18057",1.36084989912562e-06,0.000119940361563845,0.000108086642705672,"406599/450052/402979/794259/335716/368242/792692/558601/560753/563937/402940/556651/100144569/114551/431724/562627/30084/449556/559659/393629/335709/570244/557735/100000855/447919/402883/326977/494056/393668/798291/553804/570547/571967/570370",34
"GO:0015986","BP","GO:0015986","proton motive force-driven ATP synthesis","8/611","26/18057",1.49500841327633e-06,0.000125306621708797,0.000112922554782228,"406599/559659/335709/100000855/402883/326977/798291/570370",8
"GO:0042773","BP","GO:0042773","ATP synthesis coupled electron transport","11/611","54/18057",1.55098448737036e-06,0.000125306621708797,0.000112922554782228,"751638/436768/326962/554154/100333064/447942/336118/566723/494577/569482/445042",11
"GO:0009141","BP","GO:0009141","nucleoside triphosphate metabolic process","16/611","117/18057",2.05603059311161e-06,0.000159465732801737,0.000143705717244854,"406599/335716/792692/560753/114551/431724/30084/559659/335709/100000855/402883/326977/393668/798291/570547/570370",16
"GO:1901615","BP","GO:1901615","organic hydroxy compound metabolic process","23/611","226/18057",2.7192922875157e-06,0.000202796451749729,0.000182754056569881,"393761/550422/493602/560753/445281/447848/394148/449556/406290/436600/334208/751641/563363/100004700/378727/563369/368270/565876/402831/723999/322341/378440/322529",23
"GO:0071466","BP","GO:0071466","cellular response to xenobiotic stimulus","13/611","81/18057",3.0447100909369e-06,0.000218655291345431,0.000197045565339386,"140634/799957/259306/569245/393108/100034366/393592/797309/322412/393484/449790/563369/368270",13
"GO:0006694","BP","GO:0006694","steroid biosynthetic process","12/611","70/18057",3.57749889837567e-06,0.000247741798712515,0.000223257450049008,"550398/393761/394148/436600/751641/563363/327417/327462/565876/402831/723999/322341",12
"GO:0071214","BP","GO:0071214","cellular response to abiotic stimulus","12/611","72/18057",4.85730347562733e-06,0.000310791679477798,0.000280076104303979,"30435/436716/791894/101882119/557053/541319/393820/799637/30582/30503/360151/30295",12
"GO:0104004","BP","GO:0104004","cellular response to environmental stimulus","12/611","72/18057",4.85730347562733e-06,0.000310791679477798,0.000280076104303979,"30435/436716/791894/101882119/557053/541319/393820/799637/30582/30503/360151/30295",12
"GO:0006754","BP","GO:0006754","ATP biosynthetic process","8/611","30/18057",4.9688200432242e-06,0.000310791679477798,0.000280076104303979,"406599/559659/335709/100000855/402883/326977/798291/570370",8
"GO:0006163","BP","GO:0006163","purine nucleotide metabolic process","26/611","288/18057",5.76194999284349e-06,0.00034913815737886,0.000314632795661849,"406599/450052/794259/335716/368242/792692/558601/560753/563937/556651/114551/431724/30084/559659/393629/335709/570244/100000855/447919/402883/326977/393668/798291/553804/571967/570370",26
"GO:0006066","BP","GO:0006066","alcohol metabolic process","19/611","172/18057",6.07857055672039e-06,0.000357162069984268,0.000321863704119804,"393761/550422/493602/560753/445281/447848/394148/449556/406290/436600/563363/378727/563369/565876/402831/723999/322341/378440/322529",19
