"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre00120","dre00120","Primary bile acid biosynthesis - Danio rerio (zebrafish)","5/115","28/7368",6.26239467673644e-05,0.00452282097771732,0.00439057475029869,"394148/553653/558239/723999/322341",5
"dre03320","dre03320","PPAR signaling pathway - Danio rerio (zebrafish)","8/115","94/7368",0.000100507132838163,0.00452282097771732,0.00439057475029869,"30708/394148/334529/415166/558239/100332846/723999/322341",8
"dre00190","dre00190","Oxidative phosphorylation - Danio rerio (zebrafish)","7/115","148/7368",0.00823890047454099,0.24716701423623,0.239939908556808,"573619/415243/445122/559659/406306/556538/798291",7
"dre00520","dre00520","Amino sugar and nucleotide sugar metabolism - Danio rerio (zebrafish)","4/115","65/7368",0.0183747632577105,0.315300440425932,0.306081129302367,"555748/406323/406338/322468",4
"dre04270","dre04270","Vascular smooth muscle contraction - Danio rerio (zebrafish)","7/115","177/7368",0.0204627996256077,0.315300440425932,0.306081129302367,"100149388/569499/557026/556591/563892/550561/559964",7
"dre00500","dre00500","Starch and sucrose metabolism - Danio rerio (zebrafish)","3/115","38/7368",0.0210200293617288,0.315300440425932,0.306081129302367,"555748/100148922/406539",3
"dre00100","dre00100","Steroid biosynthesis - Danio rerio (zebrafish)","2/115","22/7368",0.0455319387736648,0.58541064137569,0.568293371160026,"793309/565117",2
"dre00830","dre00830","Retinol metabolism - Danio rerio (zebrafish)","4/115","93/7368",0.0570805269102278,0.642155927740063,0.623379438624857,"393761/494176/553952/100004076",4
"dre00480","dre00480","Glutathione metabolism - Danio rerio (zebrafish)","3/115","69/7368",0.0926711010227164,0.6506150359161,0.631591204456565,"553169/322533/555478",3
"dre00052","dre00052","Galactose metabolism - Danio rerio (zebrafish)","2/115","34/7368",0.098125492463651,0.6506150359161,0.631591204456565,"555748/100148922",2
"dre04814","dre04814","Motor proteins - Danio rerio (zebrafish)","7/115","254/7368",0.101676689266289,0.6506150359161,0.631591204456565,"795537/566034/324244/100329748/100329813/562676/492493",7
"dre00140","dre00140","Steroid hormone biosynthesis - Danio rerio (zebrafish)","3/115","82/7368",0.136029935029412,0.6506150359161,0.631591204456565,"791770/394148/553952",3
"dre00470","dre00470","D-Amino acid metabolism - Danio rerio (zebrafish)","1/115","10/7368",0.145644714971282,0.6506150359161,0.631591204456565,"100006303",1
"dre04540","dre04540","Gap junction - Danio rerio (zebrafish)","4/115","132/7368",0.150911465355911,0.6506150359161,0.631591204456565,"100149388/569499/326020/557026",4
"dre04912","dre04912","GnRH signaling pathway - Danio rerio (zebrafish)","4/115","132/7368",0.150911465355911,0.6506150359161,0.631591204456565,"100149388/569499/557026/559964",4
"dre04020","dre04020","Calcium signaling pathway - Danio rerio (zebrafish)","9/115","391/7368",0.156311930358174,0.6506150359161,0.631591204456565,"570493/327067/100149388/563904/569499/557026/335654/569566/559964",9
