"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04141","dre04141","Protein processing in endoplasmic reticulum - Danio rerio (zebrafish)","3/8","202/7368",0.00102695610860177,0.0164312977376283,0.0129720771612855,"323922/565155/445177",3
"dre00470","dre00470","D-Amino acid metabolism - Danio rerio (zebrafish)","1/8","10/7368",0.010811438132997,0.0864915050639761,0.0682827671557706,"619259",1
"dre00260","dre00260","Glycine, serine and threonine metabolism - Danio rerio (zebrafish)","1/8","47/7368",0.0499297596386881,0.173044964154422,0.13661444538507,"619259",1
"dre00760","dre00760","Nicotinate and nicotinamide metabolism - Danio rerio (zebrafish)","1/8","47/7368",0.0499297596386881,0.173044964154422,0.13661444538507,"791647",1
"dre03460","dre03460","Fanconi anemia pathway - Danio rerio (zebrafish)","1/8","51/7368",0.0540765512982569,0.173044964154422,0.13661444538507,"100538153",1
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","1/8","68/7368",0.0715242629066746,0.182027533543756,0.143705947534544,"619259",1
"dre03008","dre03008","Ribosome biogenesis in eukaryotes - Danio rerio (zebrafish)","1/8","76/7368",0.0796370459253931,0.182027533543756,0.143705947534544,"100037361",1
"dre04146","dre04146","Peroxisome - Danio rerio (zebrafish)","1/8","102/7368",0.105576860254965,0.184611231065856,0.145745708736202,"619259",1
"dre01232","dre01232","Nucleotide metabolism - Danio rerio (zebrafish)","1/8","110/7368",0.113428547130239,0.184611231065856,0.145745708736202,"791647",1
"dre04914","dre04914","Progesterone-mediated oocyte maturation - Danio rerio (zebrafish)","1/8","112/7368",0.11538201941616,0.184611231065856,0.145745708736202,"565155",1
"dre03010","dre03010","Ribosome - Danio rerio (zebrafish)","1/8","138/7368",0.140436595007212,0.204271410919581,0.161266903357564,"100037361",1
"dre00230","dre00230","Purine metabolism - Danio rerio (zebrafish)","1/8","166/7368",0.166721968977654,0.213147509625027,0.168274349703968,"791647",1
"dre04621","dre04621","NOD-like receptor signaling pathway - Danio rerio (zebrafish)","1/8","173/7368",0.173182351570334,0.213147509625027,0.168274349703968,"565155",1
"dre04217","dre04217","Necroptosis - Danio rerio (zebrafish)","1/8","197/7368",0.19500075781852,0.222858008935452,0.175940533370093,"565155",1
"dre04814","dre04814","Motor proteins - Danio rerio (zebrafish)","1/8","254/7368",0.24481217141563,0.261132982843339,0.206157618034215,"565267",1
"dre05132","dre05132","Salmonella infection - Danio rerio (zebrafish)","1/8","332/7368",0.308596174094167,0.308596174094167,0.243628558495395,"565155",1
