"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045934","BP","GO:0045934","negative regulation of nucleobase-containing compound metabolic process","17/190","427/18057",2.87252006894597e-06,0.00328627771300382,0.00280226210735553,"563926/777768/554836/567457/30424/564009/100001936/321618/83774/492496/494487/550551/550353/322508/445058/406204/559526",17
"GO:0032922","BP","GO:0032922","circadian regulation of gene expression","6/190","42/18057",4.80099008473897e-06,0.00328627771300382,0.00280226210735553,"563926/554836/564009/83774/494487/406204",6
"GO:0043153","BP","GO:0043153","entrainment of circadian clock by photoperiod","4/190","14/18057",1.09475089768629e-05,0.00499571326310842,0.00425992542292664,"563926/554836/83774/406204",4
"GO:0009649","BP","GO:0009649","entrainment of circadian clock","4/190","15/18057",1.48057486108996e-05,0.00506726746208037,0.004320940844602,"563926/554836/83774/406204",4
"GO:0042752","BP","GO:0042752","regulation of circadian rhythm","5/190","35/18057",3.07408896177459e-05,0.00841685557733883,0.00717718875496425,"563926/554836/83774/494487/406204",5
"GO:0007623","BP","GO:0007623","circadian rhythm","7/190","88/18057",3.95510005500824e-05,0.0090242199588438,0.00769509817720025,"563926/569109/554836/564009/83774/494487/406204",7
"GO:0000018","BP","GO:0000018","regulation of DNA recombination","5/190","38/18057",4.63314316509673e-05,0.00906110427573918,0.00772655003021395,"572849/321618/550353/322508/559526",5
"GO:0009648","BP","GO:0009648","photoperiodism","4/190","22/18057",7.48960041636759e-05,0.012816578712509,0.0109289037654627,"563926/554836/83774/406204",4
"GO:0009266","BP","GO:0009266","response to temperature stimulus","5/190","48/18057",0.00014515959667417,0.0199484278701755,0.017010346782534,"794081/83774/368243/406204/560210",5
"GO:0009628","BP","GO:0009628","response to abiotic stimulus","13/190","370/18057",0.000154479246176709,0.0199484278701755,0.017010346782534,"393285/563926/794081/30674/378866/751763/554836/83774/368243/550268/494158/406204/560210",13
