"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000018","BP","GO:0000018","regulation of DNA recombination","4/54","38/18057",4.88902013990966e-06,0.00295296816450544,0.00239819303705042,"572849/321618/550353/322508",4
"GO:0051052","BP","GO:0051052","regulation of DNA metabolic process","5/54","114/18057",2.2691910605919e-05,0.00685295700298752,0.00556548965387276,"572849/321618/503753/550353/322508",5
"GO:0002252","BP","GO:0002252","immune effector process","5/54","130/18057",4.2674842947608e-05,0.00859186838011842,0.00697771116266153,"794635/572849/503594/541345/406397",5
"GO:0045910","BP","GO:0045910","negative regulation of DNA recombination","3/54","28/18057",7.85510591990016e-05,0.0107812059458834,0.00875573713973796,"321618/550353/322508",3
"GO:0006641","BP","GO:0006641","triglyceride metabolic process","3/54","31/18057",0.0001070980723101,0.0107812059458834,0.00875573713973796,"799099/492363/378727",3
"GO:0030261","BP","GO:0030261","chromosome condensation","3/54","31/18057",0.0001070980723101,0.0107812059458834,0.00875573713973796,"321618/550353/322508",3
"GO:0006334","BP","GO:0006334","nucleosome assembly","3/54","42/18057",0.000267235963565174,0.0230586459990521,0.0187266103791535,"321618/550353/322508",3
"GO:0006639","BP","GO:0006639","acylglycerol metabolic process","3/54","47/18057",0.000373493675965239,0.0232038711547167,0.0188445520357232,"799099/492363/378727",3
"GO:0006638","BP","GO:0006638","neutral lipid metabolic process","3/54","48/18057",0.00039755288837094,0.0232038711547167,0.0188445520357232,"799099/492363/378727",3
"GO:0034728","BP","GO:0034728","nucleosome organization","3/54","48/18057",0.00039755288837094,0.0232038711547167,0.0188445520357232,"321618/550353/322508",3
"GO:0051053","BP","GO:0051053","negative regulation of DNA metabolic process","3/54","49/18057",0.000422587057453449,0.0232038711547167,0.0188445520357232,"321618/550353/322508",3
"GO:0070365","BP","GO:0070365","hepatocyte differentiation","2/54","15/18057",0.000898988298551979,0.0452490776937829,0.0367481181688791,"335409/378727",2
"GO:0019432","BP","GO:0019432","triglyceride biosynthetic process","2/54","17/18057",0.00115994877464576,0.0467072706590694,0.0379323599287667,"799099/378727",2
"GO:0046460","BP","GO:0046460","neutral lipid biosynthetic process","2/54","17/18057",0.00115994877464576,0.0467072706590694,0.0379323599287667,"799099/378727",2
"GO:0046463","BP","GO:0046463","acylglycerol biosynthetic process","2/54","17/18057",0.00115994877464576,0.0467072706590694,0.0379323599287667,"799099/378727",2
"GO:0016054","BP","GO:0016054","organic acid catabolic process","4/54","161/18057",0.00136124677232099,0.0483642970871694,0.0392780802415841,"322614/799099/406688/378727",4
"GO:0046395","BP","GO:0046395","carboxylic acid catabolic process","4/54","161/18057",0.00136124677232099,0.0483642970871694,0.0392780802415841,"322614/799099/406688/378727",4
"GO:0044815","CC","GO:0044815","DNA packaging complex","4/52","97/18405",0.000161664978957703,0.00372909718239435,0.00323265390424278,"321618/503753/550353/322508",4
"GO:0032993","CC","GO:0032993","protein-DNA complex","4/52","105/18405",0.000219358657787903,0.00372909718239435,0.00323265390424278,"321618/503753/550353/322508",4
"GO:0000786","CC","GO:0000786","nucleosome","3/52","69/18405",0.000977146035846547,0.0110743217395942,0.00960003122936959,"321618/550353/322508",3
"GO:0031492","MF","GO:0031492","nucleosomal DNA binding","3/48","24/17701",3.63909419062332e-05,0.00469443150590408,0.00348586917207076,"321618/550353/322508",3
"GO:0008028","MF","GO:0008028","monocarboxylic acid transmembrane transporter activity","3/48","39/17701",0.000159689246065451,0.00920217014389099,0.00683310879717732,"445158/795588/561766",3
"GO:0031491","MF","GO:0031491","nucleosome binding","3/48","43/17701",0.000214003956834674,0.00920217014389099,0.00683310879717732,"321618/550353/322508",3
"GO:0046943","MF","GO:0046943","carboxylic acid transmembrane transporter activity","4/48","141/17701",0.000571928669864053,0.0133096117871599,0.00988310626382337,"445158/795588/492363/561766",4
"GO:0031490","MF","GO:0031490","chromatin DNA binding","3/48","60/17701",0.000574533802327833,0.0133096117871599,0.00988310626382337,"321618/550353/322508",3
"GO:0005342","MF","GO:0005342","organic acid transmembrane transporter activity","4/48","144/17701",0.000619051711030695,0.0133096117871599,0.00988310626382337,"445158/795588/492363/561766",4
"GO:0008514","MF","GO:0008514","organic anion transmembrane transporter activity","4/48","196/17701",0.00193868525164599,0.0334734227741452,0.0248558259685615,"445158/795588/492363/561766",4
"GO:0030145","MF","GO:0030145","manganese ion binding","2/48","25/17701",0.00207587117979195,0.0334734227741452,0.0248558259685615,"322614/378727",2
"GO:0016831","MF","GO:0016831","carboxy-lyase activity","2/48","28/17701",0.00260208247912281,0.0372965155340937,0.0276946790175645,"114426/378727",2
