"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04010","dre04010","MAPK signaling pathway - Danio rerio (zebrafish)","35/254","420/7368",8.3064806539065e-07,8.72180468660182e-05,8.3064806539065e-05,"565241/564518/569528/403310/100151551/100000342/560639/565173/101882457/245701/560932/100331895/30554/245700/562552/562529/792928/567833/100126123/30671/566351/562059/794222/170581/553520/557526/570240/560210/567895/564274/798846/100006516/559247/562422/568412",35
"dre04141","dre04141","Protein processing in endoplasmic reticulum - Danio rerio (zebrafish)","20/254","202/7368",1.91382541029936e-05,0.00100475834040716,0.00095691270514968,"323922/327244/327133/767700/100148383/557824/562019/558071/565155/541528/100126123/30671/445177/386590/378848/556237/557526/560210/798846/100001914",20
"dre04020","dre04020","Calcium signaling pathway - Danio rerio (zebrafish)","25/254","391/7368",0.00199068258175456,0.0602740361422059,0.057403843944958,"565241/569528/403310/768182/560561/567212/562585/493613/561350/100005700/563953/558525/568668/110438919/566351/562059/352938/100144566/170581/60658/570240/100001530/555945/563901/564274",25
"dre00310","dre00310","Lysine degradation - Danio rerio (zebrafish)","9/254","84/7368",0.00229615375779832,0.0602740361422059,0.057403843944958,"567859/558337/100006350/100000709/556086/557048/564592/559945/560793",9
"dre04144","dre04144","Endocytosis - Danio rerio (zebrafish)","22/254","341/7368",0.00330171655025876,0.0693360475554341,0.0660343310051753,"561879/334108/567272/100329879/569358/555340/245701/562949/557061/100330031/792928/324332/100126123/30671/796454/767667/571626/560210/560461/798846/563561/565563",22
"dre03250","dre03250","Viral life cycle - HIV-1 - Danio rerio (zebrafish)","7/254","73/7368",0.0125084828833841,0.218898450459222,0.208474714723068,"557383/561067/565819/556421/334465/797545/100330881",7
"dre00604","dre00604","Glycosphingolipid biosynthesis - ganglio series - Danio rerio (zebrafish)","3/254","17/7368",0.0192446063174947,0.28866909476242,0.274922947392781,"445562/553754/793635",3
"dre04261","dre04261","Adrenergic signaling in cardiomyocytes - Danio rerio (zebrafish)","15/254","249/7368",0.0249306661882264,0.300325344323705,0.286024137451148,"403310/560561/567212/565910/101885761/565173/101882457/563953/562552/558525/794222/170581/558752/100006516/562422",15
"dre00534","dre00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Danio rerio (zebrafish)","4/254","33/7368",0.0257421723706033,0.300325344323705,0.286024137451148,"100317129/497280/560951/563446",4
"dre00470","dre00470","D-Amino acid metabolism - Danio rerio (zebrafish)","2/254","10/7368",0.044378747496715,0.465976848715507,0.44378747496715,"564147/619259",2
"dre00514","dre00514","Other types of O-glycan biosynthesis - Danio rerio (zebrafish)","5/254","60/7368",0.0550154429458516,0.525147409937675,0.500140390416833,"567859/558337/798087/449721/559736",5
"dre04370","dre04370","VEGF signaling pathway - Danio rerio (zebrafish)","6/254","81/7368",0.0600429950052607,0.525376206296031,0.500358291710506,"565241/30554/404211/562011/562552/565130",6
"dre04371","dre04371","Apelin signaling pathway - Danio rerio (zebrafish)","11/254","193/7368",0.0695629864386762,0.559681392568225,0.533029897684024,"560561/567212/557893/101885761/562585/560317/572074/561350/563953/792928/60658",11
"dre00532","dre00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Danio rerio (zebrafish)","3/254","30/7368",0.0830464392031721,0.559681392568225,0.533029897684024,"560951/407076/563446",3
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","5/254","68/7368",0.0845409970230218,0.559681392568225,0.533029897684024,"562774/100003675/373132/60658/619259",5
"dre04912","dre04912","GnRH signaling pathway - Danio rerio (zebrafish)","8/254","132/7368",0.0852847836294438,0.559681392568225,0.533029897684024,"403310/562585/30554/493613/563953/562552/170581/567895",8
"dre04814","dre04814","Motor proteins - Danio rerio (zebrafish)","13/254","254/7368",0.0996072545923875,0.615221278364746,0.585925027014044,"767754/570502/100007502/334108/569545/562188/566766/100333605/100333558/565267/566674/100537719/565563",13
"dre04260","dre04260","Cardiac muscle contraction - Danio rerio (zebrafish)","8/254","145/7368",0.127429503697809,0.743338771570552,0.70794168721005,"403310/560561/567212/101885761/101882457/794222/170581/562422",8
"dre04520","dre04520","Adherens junction - Danio rerio (zebrafish)","8/254","148/7368",0.138467302561088,0.745474281294401,0.709975505994668,"562363/791177/245701/560317/574422/245700/792928/565199",8
"dre04621","dre04621","NOD-like receptor signaling pathway - Danio rerio (zebrafish)","9/254","173/7368",0.142869132206265,0.745474281294401,0.709975505994668,"564497/768182/448858/562585/565155/562552/557526/566871/799412",9
"dre04218","dre04218","Cellular senescence - Danio rerio (zebrafish)","10/254","201/7368",0.155845836578515,0.745474281294401,0.709975505994668,"565241/403310/768182/403064/557551/562585/569156/404211/562552/792928",10
"dre04510","dre04510","Focal adhesion - Danio rerio (zebrafish)","13/254","278/7368",0.162920181508507,0.745474281294401,0.709975505994668,"394012/100536197/245701/404211/369191/574422/405898/562011/562529/569971/565130/567895/558635",13
"dre04330","dre04330","Notch signaling pathway - Danio rerio (zebrafish)","5/254","84/7368",0.163294366378774,0.745474281294401,0.709975505994668,"100037355/557340/322667/100330031/563306",5
"dre04068","dre04068","FoxO signaling pathway - Danio rerio (zebrafish)","9/254","182/7368",0.17639629475211,0.771733789540481,0.734984561467125,"403064/553661/245701/560317/404211/572074/245700/562552/792928",9
"dre04070","dre04070","Phosphatidylinositol signaling system - Danio rerio (zebrafish)","6/254","119/7368",0.227265797519761,0.954516349582995,0.909063190079043,"559198/556956/562585/404211/100137124/567728",6
"dre03460","dre03460","Fanconi anemia pathway - Danio rerio (zebrafish)","3/254","51/7368",0.256766073803163,0.99160250245688,0.944383335673219,"566758/565458/569100",3
"dre00515","dre00515","Mannose type O-glycan biosynthesis - Danio rerio (zebrafish)","2/254","30/7368",0.27700628842338,0.99160250245688,0.944383335673219,"497644/446213",2
"dre04910","dre04910","Insulin signaling pathway - Danio rerio (zebrafish)","8/254","180/7368",0.28122100804472,0.99160250245688,0.944383335673219,"557893/436649/404211/572074/245700/562011/567895/558635",8
"dre01212","dre01212","Fatty acid metabolism - Danio rerio (zebrafish)","4/254","78/7368",0.281816172250007,0.99160250245688,0.944383335673219,"406830/767653/100333227/550361",4
"dre00220","dre00220","Arginine biosynthesis - Danio rerio (zebrafish)","2/254","31/7368",0.289923455476081,0.99160250245688,0.944383335673219,"564147/60658",2
