"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04141","dre04141","Protein processing in endoplasmic reticulum - Danio rerio (zebrafish)","6/66","202/7368",0.00913442204730448,0.433514191049593,0.413381953075154,"553353/100126123/30671/406673/560210/100001914",6
"dre04010","dre04010","MAPK signaling pathway - Danio rerio (zebrafish)","9/66","420/7368",0.0119673868582154,0.433514191049593,0.413381953075154,"793952/560639/798864/565173/245701/562552/100126123/30671/560210",9
"dre04068","dre04068","FoxO signaling pathway - Danio rerio (zebrafish)","5/66","182/7368",0.0231074771633148,0.433514191049593,0.413381953075154,"245701/100001936/562552/393707/58092",5
"dre01200","dre01200","Carbon metabolism - Danio rerio (zebrafish)","4/66","134/7368",0.0316778975128872,0.433514191049593,0.413381953075154,"407673/566398/557919/751668",4
"dre04144","dre04144","Endocytosis - Danio rerio (zebrafish)","7/66","341/7368",0.0320075593765122,0.433514191049593,0.413381953075154,"567272/567182/245701/100126123/30671/58092/560210",7
"dre00010","dre00010","Glycolysis / Gluconeogenesis - Danio rerio (zebrafish)","3/66","81/7368",0.0357011686746724,0.433514191049593,0.413381953075154,"566398/557919/751668",3
"dre04370","dre04370","VEGF signaling pathway - Danio rerio (zebrafish)","3/66","81/7368",0.0357011686746724,0.433514191049593,0.413381953075154,"798864/562552/565130",3
"dre00350","dre00350","Tyrosine metabolism - Danio rerio (zebrafish)","2/66","39/7368",0.0473550677522176,0.503147594867312,0.479781607489573,"30207/100333145",2
"dre04145","dre04145","Phagosome - Danio rerio (zebrafish)","4/66","183/7368",0.0809821026826529,0.704802297107482,0.672071540275865,"57934/359840/393386/558552",4
"dre00470","dre00470","D-Amino acid metabolism - Danio rerio (zebrafish)","1/66","10/7368",0.0861011748166781,0.704802297107482,0.672071540275865,"619259",1
"dre04622","dre04622","RIG-I-like receptor signaling pathway - Danio rerio (zebrafish)","2/66","67/7368",0.120737515889464,0.704802297107482,0.672071540275865,"559568/562552",2
