"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","3/23","68/7368",0.00116674905908705,0.0304054124507638,0.0232768707757044,"322614/114426/406688",3
"dre00061","dre00061","Fatty acid biosynthesis - Danio rerio (zebrafish)","2/23","22/7368",0.00207309630346117,0.0304054124507638,0.0232768707757044,"564649/334561",2
"dre00100","dre00100","Steroid biosynthesis - Danio rerio (zebrafish)","2/23","22/7368",0.00207309630346117,0.0304054124507638,0.0232768707757044,"494054/322481",2
"dre04920","dre04920","Adipocytokine signaling pathway - Danio rerio (zebrafish)","3/23","96/7368",0.00314226761219766,0.0345649437341743,0.0264612009448224,"335409/334561/378727",3
"dre00220","dre00220","Arginine biosynthesis - Danio rerio (zebrafish)","2/23","31/7368",0.00410250610878137,0.036102053757276,0.0276379358907376,"322614/406688",2
"dre04910","dre04910","Insulin signaling pathway - Danio rerio (zebrafish)","3/23","180/7368",0.0177274481806038,0.130001286657762,0.0995225161016356,"335409/378727/373121",3
"dre00561","dre00561","Glycerolipid metabolism - Danio rerio (zebrafish)","2/23","73/7368",0.0214172205743681,0.133342271641101,0.10208020795491,"799099/322481",2
"dre01212","dre01212","Fatty acid metabolism - Danio rerio (zebrafish)","2/23","78/7368",0.024244049389291,0.133342271641101,0.10208020795491,"564649/334561",2
"dre01230","dre01230","Biosynthesis of amino acids - Danio rerio (zebrafish)","2/23","92/7368",0.0329169405079268,0.150668663552185,0.11534443142751,"322614/406688",2
"dre03320","dre03320","PPAR signaling pathway - Danio rerio (zebrafish)","2/23","94/7368",0.034242878080042,0.150668663552185,0.11534443142751,"334561/378727",2
"dre04512","dre04512","ECM-receptor interaction - Danio rerio (zebrafish)","2/23","105/7368",0.0419007571700733,0.167603028680293,0.128308538702617,"567640/567928",2
"dre00360","dre00360","Phenylalanine metabolism - Danio rerio (zebrafish)","1/23","16/7368",0.048841820571434,0.179086675428591,0.13709984721806,"406688",1
"dre01210","dre01210","2-Oxocarboxylic acid metabolism - Danio rerio (zebrafish)","1/23","23/7368",0.0694849218243777,0.235179735405586,0.180041902702841,"406688",1
"dre00020","dre00020","Citrate cycle (TCA cycle) - Danio rerio (zebrafish)","1/23","35/7368",0.103879862878846,0.316448284276028,0.242257059732844,"378727",1
"dre04068","dre04068","FoxO signaling pathway - Danio rerio (zebrafish)","2/23","182/7368",0.109515199200156,0.316448284276028,0.242257059732844,"100001936/378727",2
"dre00350","dre00350","Tyrosine metabolism - Danio rerio (zebrafish)","1/23","39/7368",0.115072103373101,0.316448284276028,0.242257059732844,"406688",1
"dre00051","dre00051","Fructose and mannose metabolism - Danio rerio (zebrafish)","1/23","45/7368",0.131610100132202,0.329932247349184,0.252579710889328,"554477",1
"dre00250","dre00250","Alanine, aspartate and glutamate metabolism - Danio rerio (zebrafish)","1/23","48/7368",0.139767827878594,0.329932247349184,0.252579710889328,"406688",1
"dre02010","dre02010","ABC transporters - Danio rerio (zebrafish)","1/23","49/7368",0.142470743173511,0.329932247349184,0.252579710889328,"558924",1
"dre00620","dre00620","Pyruvate metabolism - Danio rerio (zebrafish)","1/23","55/7368",0.158518431588785,0.337678967763986,0.258510214556162,"378727",1
"dre00071","dre00071","Fatty acid degradation - Danio rerio (zebrafish)","1/23","56/7368",0.161164961887357,0.337678967763986,0.258510214556162,"334561",1
"dre00270","dre00270","Cysteine and methionine metabolism - Danio rerio (zebrafish)","1/23","59/7368",0.169056867677214,0.338113735354427,0.258843050989035,"406688",1
"dre04216","dre04216","Ferroptosis - Danio rerio (zebrafish)","1/23","62/7368",0.176877724154422,0.338374776643242,0.259042891210137,"334561",1
"dre00480","dre00480","Glutathione metabolism - Danio rerio (zebrafish)","1/23","69/7368",0.194853508164445,0.357231431634816,0.273478607950098,"114426",1
