"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051085","BP","GO:0051085","chaperone cofactor-dependent protein refolding","5/43","28/18057",5.68285855861748e-09,5.61102953546467e-07,4.7250775035492e-07,"562935/30671/445177/560210/798846",5
"GO:0051084","BP","GO:0051084","'de novo' post-translational protein folding","5/43","29/18057",6.85474260158018e-09,5.61102953546467e-07,4.7250775035492e-07,"562935/30671/445177/560210/798846",5
"GO:0006458","BP","GO:0006458","'de novo' protein folding","5/43","30/18057",8.21126273482635e-09,5.61102953546467e-07,4.7250775035492e-07,"562935/30671/445177/560210/798846",5
"GO:0061077","BP","GO:0061077","chaperone-mediated protein folding","5/43","35/18057",1.85419719179067e-08,9.5027606079272e-07,8.00232472246502e-07,"562935/30671/445177/560210/798846",5
"GO:0006457","BP","GO:0006457","protein folding","7/43","140/18057",3.69706274242698e-08,1.27525337064427e-06,1.07389757527938e-06,"562935/565155/335865/30671/445177/560210/798846",7
"GO:0042026","BP","GO:0042026","protein refolding","4/43","15/18057",3.73244888969054e-08,1.27525337064427e-06,1.07389757527938e-06,"562935/30671/560210/798846",4
"GO:0034620","BP","GO:0034620","cellular response to unfolded protein","4/43","53/18057",7.49800280142969e-06,0.000219584367756155,0.000184913151794657,"562935/30671/560210/798846",4
"GO:0006986","BP","GO:0006986","response to unfolded protein","4/43","58/18057",1.0770326342565e-05,0.000275989612528229,0.000232412305286929,"562935/30671/560210/798846",4
"GO:0009408","BP","GO:0009408","response to heat","3/43","22/18057",1.87690824684397e-05,0.000427517989558903,0.000360015149102234,"565155/100126123/560210",3
"GO:0035967","BP","GO:0035967","cellular response to topologically incorrect protein","4/43","69/18057",2.15328694392369e-05,0.000441423823504357,0.0003717253250563,"562935/30671/560210/798846",4
"GO:0035966","BP","GO:0035966","response to topologically incorrect protein","4/43","74/18057",2.84132810515443e-05,0.000529520237778781,0.000445911779182131,"562935/30671/560210/798846",4
"GO:0009266","BP","GO:0009266","response to temperature stimulus","3/43","48/18057",0.000201896744496871,0.00344906938515488,0.00290447948223569,"565155/100126123/560210",3
"GO:0046686","BP","GO:0046686","response to cadmium ion","2/43","15/18057",0.000570287517129186,0.00899299546242177,0.00757304881046044,"100126123/560210",2
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","3/43","123/18057",0.00312048160861542,0.0456927664118686,0.0384781190836788,"100330672/101883339/100149890",3
"GO:0051082","MF","GO:0051082","unfolded protein binding","6/41","78/17701",2.3942823796237e-08,2.10696849406885e-06,1.73900509677932e-06,"562935/565155/30671/445177/560210/798846",6
"GO:0031072","MF","GO:0031072","heat shock protein binding","5/41","46/17701",6.62060506420955e-08,2.9130662282522e-06,2.40432499700241e-06,"562935/30671/445177/560210/798846",5
"GO:0044183","MF","GO:0044183","protein folding chaperone","4/41","21/17701",1.44063954673903e-07,4.22587600376783e-06,3.48786416578924e-06,"562935/30671/560210/798846",4
"GO:0051787","MF","GO:0051787","misfolded protein binding","4/41","23/17701",2.12435117818637e-07,4.67357259201001e-06,3.85737450775946e-06,"562935/30671/560210/798846",4
"GO:0016887","MF","GO:0016887","ATP hydrolysis activity","4/41","82/17701",3.80187501109628e-05,0.000669130001952946,0.000552272370032934,"562935/30671/560210/798846",4
"GO:0031625","MF","GO:0031625","ubiquitin protein ligase binding","3/41","64/17701",0.000435647544653767,0.00638949732158858,0.00527362817212455,"30671/560210/798846",3
"GO:0044389","MF","GO:0044389","ubiquitin-like protein ligase binding","3/41","70/17701",0.000566887199838521,0.00712658194082712,0.00588198748704631,"30671/560210/798846",3
"GO:0017111","MF","GO:0017111","ribonucleoside triphosphate phosphatase activity","5/41","437/17701",0.00323093995377427,0.035540339491517,0.0293335337908454,"561067/562935/30671/560210/798846",5
"GO:0140657","MF","GO:0140657","ATP-dependent activity","5/41","470/17701",0.00440414259360135,0.0430627275818799,0.0355422033869583,"562935/30671/100002040/560210/798846",5
"GO:0016462","MF","GO:0016462","pyrophosphatase activity","5/41","496/17701",0.00552290322289085,0.0486015483614394,0.0401137181452072,"561067/562935/30671/560210/798846",5
