"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006952","BP","GO:0006952","defense response","25/280","468/18057",8.3451777433644e-08,0.000120087107727014,0.000102074700397784,"795785/449794/405770/102997062/100005593/368917/562007/561067/406471/402837/368266/100170820/403139/570832/792160/30767/503594/567444/450028/378966/246226/406397/795305/337663/100332237",25
"GO:0045910","BP","GO:0045910","negative regulation of DNA recombination","7/280","28/18057",1.79197940857153e-07,0.000128932918446721,0.000109593688040006,"321618/100332815/550353/322508/571135/562307/103911343",7
"GO:0030261","BP","GO:0030261","chromosome condensation","7/280","31/18057",3.82436910662674e-07,0.000137566815762873,0.000116932548126592,"321618/100332815/550353/322508/571135/562307/103911343",7
"GO:0034097","BP","GO:0034097","response to cytokine","14/280","169/18057",4.01854222636949e-07,0.000137566815762873,0.000116932548126592,"795785/100006778/405770/100170820/406463/560202/565104/30767/100135062/503594/406650/567444/30280/799475",14
"GO:0043207","BP","GO:0043207","response to external biotic stimulus","23/280","453/18057",6.82406707562485e-07,0.000137566815762873,0.000116932548126592,"795785/449794/541514/405770/562007/561067/406471/402837/368266/100170820/406463/393939/403139/570832/792160/387529/567444/450028/378966/406397/140814/795305/337663",23
"GO:0051707","BP","GO:0051707","response to other organism","23/280","453/18057",6.82406707562485e-07,0.000137566815762873,0.000116932548126592,"795785/449794/541514/405770/562007/561067/406471/402837/368266/100170820/406463/393939/403139/570832/792160/387529/567444/450028/378966/406397/140814/795305/337663",23
"GO:0071345","BP","GO:0071345","cellular response to cytokine stimulus","13/280","152/18057",7.28587528610383e-07,0.000137566815762873,0.000116932548126592,"795785/100006778/405770/100170820/406463/560202/565104/30767/100135062/503594/567444/30280/799475",13
"GO:0009607","BP","GO:0009607","response to biotic stimulus","23/280","456/18057",7.64791192566352e-07,0.000137566815762873,0.000116932548126592,"795785/449794/541514/405770/562007/561067/406471/402837/368266/100170820/406463/393939/403139/570832/792160/387529/567444/450028/378966/406397/140814/795305/337663",23
"GO:0009725","BP","GO:0009725","response to hormone","16/280","236/18057",9.05486703577075e-07,0.000144777262938601,0.000123061467784393,"393285/83908/327556/565656/402837/799099/79378/406658/560202/565104/393510/30767/406650/368823/378727/799475",16
"GO:0000018","BP","GO:0000018","regulation of DNA recombination","7/280","38/18057",1.6727444900418e-06,0.000240707932117015,0.000204603062887218,"321618/100332815/550353/322508/571135/562307/103911343",7
"GO:0044419","BP","GO:0044419","biological process involved in interspecies interaction between organisms","23/280","484/18057",2.11051210546512e-06,0.00027609335634221,0.000234680867612485,"795785/449794/541514/405770/562007/561067/406471/402837/368266/100170820/406463/393939/403139/570832/792160/387529/567444/450028/378966/406397/140814/795305/337663",23
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","12/280","144/18057",2.57070951221544e-06,0.000294351858079371,0.00025020069426007,"795785/100006778/405770/100170820/560202/565104/30767/100135062/503594/567444/30280/799475",12
"GO:0007259","BP","GO:0007259","receptor signaling pathway via JAK-STAT","7/280","41/18057",2.86374288610924e-06,0.000294351858079371,0.00025020069426007,"406596/560202/30767/335409/562062/30280/767678",7
"GO:0097696","BP","GO:0097696","receptor signaling pathway via STAT","7/280","41/18057",2.86374288610924e-06,0.000294351858079371,0.00025020069426007,"406596/560202/30767/335409/562062/30280/767678",7
"GO:0006334","BP","GO:0006334","nucleosome assembly","7/280","42/18057",3.39128004096077e-06,0.00032533679859617,0.000276538063690976,"321618/100332815/550353/322508/571135/562307/103911343",7
"GO:0009617","BP","GO:0009617","response to bacterium","14/280","214/18057",6.62752878533144e-06,0.000596063370130746,0.000506657134773364,"795785/449794/541514/405770/562007/406471/402837/100170820/403139/387529/450028/406397/140814/795305",14
"GO:0034728","BP","GO:0034728","nucleosome organization","7/280","48/18057",8.54891010754838e-06,0.000721167875637167,0.000612996650810422,"321618/100332815/550353/322508/571135/562307/103911343",7
"GO:1901701","BP","GO:1901701","cellular response to oxygen-containing compound","16/280","282/18057",9.02086293361293e-06,0.000721167875637167,0.000612996650810422,"393285/795785/83908/541514/405770/402837/100004095/799099/100149745/100536659/560202/393510/30767/387529/567599/378727",16
"GO:0051053","BP","GO:0051053","negative regulation of DNA metabolic process","7/280","49/18057",9.84268201408073e-06,0.000745453653592746,0.000633639695310903,"321618/100332815/550353/322508/571135/562307/103911343",7
"GO:1902475","BP","GO:1902475","L-alpha-amino acid transmembrane transport","6/280","36/18057",1.73584851616566e-05,0.00124894300738119,0.00106160840830763,"368885/791156/100002129/399488/492363/565335",6
"GO:0006954","BP","GO:0006954","inflammatory response","13/280","214/18057",3.09876504598279e-05,0.00212339185769963,0.00180489472853734,"795785/405770/102997062/100005593/368917/562007/406471/100170820/403139/503594/246226/406397/100332237",13
"GO:0032870","BP","GO:0032870","cellular response to hormone stimulus","12/280","186/18057",3.47535236674968e-05,0.00227319638897854,0.00193222940199193,"393285/83908/402837/799099/79378/560202/565104/393510/30767/368823/378727/799475",12
"GO:0033993","BP","GO:0033993","response to lipid","11/280","159/18057",3.89480537039906e-05,0.00243679344695837,0.00207128779881176,"795785/83908/541514/405770/565656/402837/100004095/406658/387529/100004700/378727",11
