"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043473","BP","GO:0043473","pigmentation","7/46","146/18057",8.03918048680221e-08,1.33807549115511e-05,1.0624675180179e-05,"437022/321239/794783/431714/562810/100333145/58074",7
"GO:0032438","BP","GO:0032438","melanosome organization","4/46","18/18057",1.0986272861237e-07,1.33807549115511e-05,1.0624675180179e-05,"437022/321239/562810/100333145",4
"GO:0048753","BP","GO:0048753","pigment granule organization","4/46","19/18057",1.38900570016101e-07,1.33807549115511e-05,1.0624675180179e-05,"437022/321239/562810/100333145",4
"GO:0033059","BP","GO:0033059","cellular pigmentation","5/46","56/18057",2.97332632846561e-07,2.1482282723164e-05,1.7057503673829e-05,"437022/321239/431714/562810/100333145",5
"GO:0046148","BP","GO:0046148","pigment biosynthetic process","4/46","32/18057",1.25785126691875e-06,7.27038032279036e-05,5.77287528817446e-05,"437022/393724/100333145/58074",4
"GO:0042440","BP","GO:0042440","pigment metabolic process","4/46","41/18057",3.48350498901782e-06,0.000167788823637692,0.000133228787299278,"437022/393724/100333145/58074",4
"GO:0019748","BP","GO:0019748","secondary metabolic process","3/46","14/18057",5.52232209322183e-06,0.000227993012134444,0.000181032513732686,"437022/100333145/58074",3
"GO:0046189","BP","GO:0046189","phenol-containing compound biosynthetic process","3/46","17/18057",1.02612894937657e-05,0.000370689082962285,0.000294336988110647,"437022/100333145/58074",3
"GO:1901071","BP","GO:1901071","glucosamine-containing compound metabolic process","3/46","20/18057",1.71108304307271e-05,0.000549447777164459,0.000436276144315615,"406323/406338/322468",3
"GO:0048066","BP","GO:0048066","developmental pigmentation","4/46","80/18057",5.05978092214554e-05,0.00146227668650006,0.00116108656950287,"437022/321239/100333145/58074",4
"GO:0006040","BP","GO:0006040","amino sugar metabolic process","3/46","35/18057",9.5642285825e-05,0.00230338505028542,0.00182894897454825,"406323/406338/322468",3
"GO:0018958","BP","GO:0018958","phenol-containing compound metabolic process","3/46","35/18057",9.5642285825e-05,0.00230338505028542,0.00182894897454825,"437022/100333145/58074",3
"GO:0001523","BP","GO:0001523","retinoid metabolic process","3/46","39/18057",0.000132599227750564,0.00294778283230099,0.00234061794733789,"556575/393724/556528",3
"GO:0016101","BP","GO:0016101","diterpenoid metabolic process","3/46","40/18057",0.00014309515114908,0.00295389276300601,0.0023454693947744,"556575/393724/556528",3
"GO:0030318","BP","GO:0030318","melanocyte differentiation","3/46","42/18057",0.000165676668662685,0.00319203714956772,0.00253456236971686,"437022/321239/100333145",3
"GO:0006721","BP","GO:0006721","terpenoid metabolic process","3/46","44/18057",0.000190454119628953,0.00344007753579796,0.00273151303152051,"556575/393724/556528",3
"GO:1901072","BP","GO:1901072","glucosamine-containing compound catabolic process","2/46","10/18057",0.000282013349713917,0.00479422694513658,0.00380674366796494,"406323/406338",2
"GO:0006720","BP","GO:0006720","isoprenoid metabolic process","3/46","59/18057",0.000455166775869769,0.00725555170367686,0.00576110097032073,"556575/393724/556528",3
"GO:0046348","BP","GO:0046348","amino sugar catabolic process","2/46","13/18057",0.000486447955430071,0.00725555170367686,0.00576110097032073,"406323/406338",2
"GO:0050931","BP","GO:0050931","pigment cell differentiation","3/46","61/18057",0.000502114304752724,0.00725555170367686,0.00576110097032073,"437022/321239/100333145",3
"GO:0006022","BP","GO:0006022","aminoglycan metabolic process","3/46","66/18057",0.000632764854510649,0.00857425839302118,0.00680818914470449,"406323/406338/322468",3
"GO:0003406","BP","GO:0003406","retinal pigment epithelium development","2/46","15/18057",0.000652711711579467,0.00857425839302118,0.00680818914470449,"437022/100333145",2
