"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032993","CC","GO:0032993","protein-DNA complex","8/149","105/18405",2.19560161804024e-06,0.000390817088011163,0.000339740460896753,"571834/386920/449794/321618/503753/550353/394048/322508",8
"GO:0044815","CC","GO:0044815","DNA packaging complex","7/149","97/18405",1.38293060272416e-05,0.00118929859241959,0.00103386690174855,"386920/449794/321618/503753/550353/394048/322508",7
"GO:0000786","CC","GO:0000786","nucleosome","6/149","69/18405",2.00443582992066e-05,0.00118929859241959,0.00103386690174855,"386920/449794/321618/550353/394048/322508",6
"GO:0045263","CC","GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)","3/149","17/18405",0.000325338009713084,0.0141774945160581,0.0123246108448288,"402883/767750/326977",3
"GO:0098800","CC","GO:0098800","inner mitochondrial membrane protein complex","6/149","118/18405",0.00039824422797916,0.0141774945160581,0.0123246108448288,"100000862/436768/100000992/402883/767750/326977",6
"GO:0005753","CC","GO:0005753","mitochondrial proton-transporting ATP synthase complex","3/149","23/18405",0.000817683917490333,0.0236225185472896,0.0205352467560708,"402883/767750/326977",3
"GO:0045259","CC","GO:0045259","proton-transporting ATP synthase complex","3/149","24/18405",0.000928975448488917,0.0236225185472896,0.0205352467560708,"402883/767750/326977",3
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex","7/149","199/18405",0.00119692939130811,0.0266316789566055,0.023151134279249,"100000862/394122/436768/100000992/402883/767750/326977",7
"GO:0033177","CC","GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain","3/149","30/18405",0.00179846051061791,0.0355695523211098,0.030920900007115,"402883/767750/326977",3
"GO:0031492","MF","GO:0031492","nucleosomal DNA binding","4/143","24/17701",3.82702390241774e-05,0.00929966808287511,0.00902371951727973,"100151347/321618/550353/322508",4
"GO:0031490","MF","GO:0031490","chromatin DNA binding","5/143","60/17701",0.00012258214137363,0.014893730176896,0.0144517892987858,"100151347/559853/321618/550353/322508",5
"GO:0031491","MF","GO:0031491","nucleosome binding","4/143","43/17701",0.000394607699140417,0.0319632236303738,0.0310147805640187,"100151347/321618/550353/322508",4
