"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043153","BP","GO:0043153","entrainment of circadian clock by photoperiod","2/5","14/18057",5.57476838689942e-06,0.000154361094919256,5.4161787690967e-05,"140633/100003956",2
"GO:0009649","BP","GO:0009649","entrainment of circadian clock","2/5","15/18057",6.43171228830233e-06,0.000154361094919256,5.4161787690967e-05,"140633/100003956",2
"GO:0042542","BP","GO:0042542","response to hydrogen peroxide","2/5","15/18057",6.43171228830233e-06,0.000154361094919256,5.4161787690967e-05,"140633/100003956",2
"GO:0009648","BP","GO:0009648","photoperiodism","2/5","22/18057",1.41387939716276e-05,0.000254498291489296,8.92976461365952e-05,"140633/100003956",2
"GO:0000302","BP","GO:0000302","response to reactive oxygen species","2/5","31/18057",2.84328278588523e-05,0.000409432721167472,0.000143660603918411,"140633/100003956",2
"GO:0042752","BP","GO:0042752","regulation of circadian rhythm","2/5","35/18057",3.63656591214771e-05,0.000436387909457725,0.000153118564722009,"140633/100003956",2
"GO:0032922","BP","GO:0032922","circadian regulation of gene expression","2/5","42/18057",5.25824162837365e-05,0.000540847710347004,0.000189771126437545,"140633/100003956",2
"GO:0006979","BP","GO:0006979","response to oxidative stress","2/5","86/18057",0.000222128505289868,0.00186072581301461,0.000652886250180563,"140633/100003956",2
"GO:0007623","BP","GO:0007623","circadian rhythm","2/5","88/18057",0.000232590726626826,0.00186072581301461,0.000652886250180563,"140633/100003956",2
"GO:0010035","BP","GO:0010035","response to inorganic substance","2/5","107/18057",0.00034384570560637,0.00247568908036587,0.000868662835216094,"140633/100003956",2
"GO:0048511","BP","GO:0048511","rhythmic process","2/5","122/18057",0.000446781582955794,0.00292438854298338,0.00102610124315206,"140633/100003956",2
"GO:0009416","BP","GO:0009416","response to light stimulus","2/5","143/18057",0.000613141169798655,0.00367884701879193,0.00129082351536559,"140633/100003956",2
"GO:0009314","BP","GO:0009314","response to radiation","2/5","176/18057",0.000926599897842458,0.00513193789574284,0.00180067996341854,"140633/100003956",2
"GO:0072132","BP","GO:0072132","mesenchyme morphogenesis","1/5","11/18057",0.00304253800653242,0.0149239153938069,0.00523646154168663,"570210",1
"GO:0045892","BP","GO:0045892","negative regulation of DNA-templated transcription","2/5","345/18057",0.00350372584161153,0.0149239153938069,0.00523646154168663,"140633/100003956",2
"GO:1902679","BP","GO:1902679","negative regulation of RNA biosynthetic process","2/5","346/18057",0.00352370224575996,0.0149239153938069,0.00523646154168663,"140633/100003956",2
"GO:1903507","BP","GO:1903507","negative regulation of nucleic acid-templated transcription","2/5","346/18057",0.00352370224575996,0.0149239153938069,0.00523646154168663,"140633/100003956",2
"GO:0009628","BP","GO:0009628","response to abiotic stimulus","2/5","370/18057",0.00401944448002,0.0152789335502992,0.00536102931589445,"140633/100003956",2
"GO:0051253","BP","GO:0051253","negative regulation of RNA metabolic process","2/5","378/18057",0.00419162318320989,0.0152789335502992,0.00536102931589445,"140633/100003956",2
"GO:0009409","BP","GO:0009409","response to cold","1/5","16/18057",0.00442305938001819,0.0152789335502992,0.00536102931589445,"140633",1
"GO:1901700","BP","GO:1901700","response to oxygen-containing compound","2/5","390/18057",0.00445635561883726,0.0152789335502992,0.00536102931589445,"140633/100003956",2
"GO:0045934","BP","GO:0045934","negative regulation of nucleobase-containing compound metabolic process","2/5","427/18057",0.00532111827887878,0.0165791249972578,0.00581723684114308,"140633/100003956",2
"GO:0007622","BP","GO:0007622","rhythmic behavior","1/5","20/18057",0.00552637499908593,0.0165791249972578,0.00581723684114308,"140633",1
"GO:0048512","BP","GO:0048512","circadian behavior","1/5","20/18057",0.00552637499908593,0.0165791249972578,0.00581723684114308,"140633",1
"GO:0009411","BP","GO:0009411","response to UV","1/5","21/18057",0.00580205100535114,0.0167099068954113,0.0058631252264601,"140633",1
"GO:0010558","BP","GO:0010558","negative regulation of macromolecule biosynthetic process","2/5","459/18057",0.00612752644122056,0.0168451051543725,0.00591056321206052,"140633/100003956",2
"GO:0031327","BP","GO:0031327","negative regulation of cellular biosynthetic process","2/5","469/18057",0.0063905530042149,0.0168451051543725,0.00591056321206052,"140633/100003956",2
"GO:0009890","BP","GO:0009890","negative regulation of biosynthetic process","2/5","475/18057",0.00655087422670041,0.0168451051543725,0.00591056321206052,"140633/100003956",2
"GO:0016525","BP","GO:0016525","negative regulation of angiogenesis","1/5","32/18057",0.00883045413338779,0.0211480191684001,0.00742035760294739,"140633",1
"GO:2000181","BP","GO:2000181","negative regulation of blood vessel morphogenesis","1/5","32/18057",0.00883045413338779,0.0211480191684001,0.00742035760294739,"140633",1
"GO:1901343","BP","GO:1901343","negative regulation of vasculature development","1/5","33/18057",0.00910539714195002,0.0211480191684001,0.00742035760294739,"140633",1
"GO:0033866","BP","GO:0033866","nucleoside bisphosphate biosynthetic process","1/5","37/18057",0.0102045591068562,0.021609654579225,0.00758233494007895,"777719",1
"GO:0034030","BP","GO:0034030","ribonucleoside bisphosphate biosynthetic process","1/5","37/18057",0.0102045591068562,0.021609654579225,0.00758233494007895,"777719",1
