"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre03010","dre03010","Ribosome - Danio rerio (zebrafish)","6/55","138/7371",0.000526909425564242,0.0353029315128042,0.0338331315362303,"394122/393738/767758/406307/556556/677743",6
"dre00190","dre00190","Oxidative phosphorylation - Danio rerio (zebrafish)","5/55","148/7371",0.00473400972654463,0.158589325839245,0.151986628062749,"436768/100000992/402883/767750/326977",5
"dre03430","dre03430","Mismatch repair - Danio rerio (zebrafish)","2/55","22/7371",0.0114769846454105,0.225277155447282,0.215897980868566,"571834/393632",2
"dre00860","dre00860","Porphyrin metabolism - Danio rerio (zebrafish)","3/55","67/7371",0.0134493824147631,0.225277155447282,0.215897980868566,"100002875/557077/767705",3
"dre03040","dre03040","Spliceosome - Danio rerio (zebrafish)","4/55","143/7371",0.0215764231320655,0.289124069969678,0.27708669706442,"415167/335396/100145909/436976",4
"dre04068","dre04068","FoxO signaling pathway - Danio rerio (zebrafish)","4/55","182/7371",0.0462465967894599,0.516420330815636,0.494919720027554,"100006858/100000242/559050/30716",4
"dre04210","dre04210","Apoptosis - Danio rerio (zebrafish)","4/55","201/7371",0.0622988351340212,0.596288850568488,0.571462998973728,"751765/564921/30716/795591",4
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","2/55","68/7371",0.091175038723202,0.642134146962909,0.615399575251177,"114426/431716",2
"dre00480","dre00480","Glutathione metabolism - Danio rerio (zebrafish)","2/55","69/7371",0.093462143887937,0.642134146962909,0.615399575251177,"494154/114426",2
"dre00980","dre00980","Metabolism of xenobiotics by cytochrome P450 - Danio rerio (zebrafish)","2/55","76/7371",0.109921757077618,0.642134146962909,0.615399575251177,"393293/767705",2
"dre04120","dre04120","Ubiquitin mediated proteolysis - Danio rerio (zebrafish)","3/55","162/7371",0.119819767859667,0.642134146962909,0.615399575251177,"503534/447935/566441",3
"dre04370","dre04370","VEGF signaling pathway - Danio rerio (zebrafish)","2/55","81/7371",0.122115201217105,0.642134146962909,0.615399575251177,"564921/30716",2
"dre00140","dre00140","Steroid hormone biosynthesis - Danio rerio (zebrafish)","2/55","82/7371",0.124593192694296,0.642134146962909,0.615399575251177,"393293/767705",2
"dre03018","dre03018","RNA degradation - Danio rerio (zebrafish)","2/55","86/7371",0.134625566088291,0.644279494851109,0.617455603863592,"415167/492503",2
"dre00100","dre00100","Steroid biosynthesis - Danio rerio (zebrafish)","1/55","22/7371",0.152113415989214,0.679439924751825,0.651152166690672,"564868",1
