"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04512","dre04512","ECM-receptor interaction - Danio rerio (zebrafish)","6/40","105/7371",1.87547353160143e-05,0.000881472559852671,0.000789673065937443,"555681/100331874/321243/101884488/337158/100216326",6
"dre00350","dre00350","Tyrosine metabolism - Danio rerio (zebrafish)","3/40","39/7371",0.00118184683219938,0.0196955846468528,0.0176444207362623,"30207/100333145/58074",3
"dre00470","dre00470","D-Amino acid metabolism - Danio rerio (zebrafish)","2/40","10/7371",0.00125716497745869,0.0196955846468528,0.0176444207362623,"564147/619259",2
"dre00220","dre00220","Arginine biosynthesis - Danio rerio (zebrafish)","2/40","31/7371",0.0120896675648123,0.142053593886545,0.127259658576972,"564147/60658",2
"dre01040","dre01040","Biosynthesis of unsaturated fatty acids - Danio rerio (zebrafish)","2/40","35/7371",0.0152601048273016,0.143444985376635,0.128506145914119,"100150288/334217",2
"dre00062","dre00062","Fatty acid elongation - Danio rerio (zebrafish)","2/40","42/7371",0.0215626501308633,0.168907426025096,0.151316843023602,"100150288/334217",2
"dre04916","dre04916","Melanogenesis - Danio rerio (zebrafish)","3/40","147/7371",0.0448852605667041,0.301372463805013,0.269986529724536,"30207/100333145/58074",3
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","2/40","68/7371",0.052247683025051,0.306955137772175,0.274987805395005,"60658/619259",2
"dre01212","dre01212","Fatty acid metabolism - Danio rerio (zebrafish)","2/40","78/7371",0.0666006486387392,0.347803387335638,0.311581981935622,"100150288/334217",2
"dre04141","dre04141","Protein processing in endoplasmic reticulum - Danio rerio (zebrafish)","3/40","202/7371",0.0957579463959136,0.450062348060794,0.403191353245952,"553353/553288/565155",3
"dre04144","dre04144","Endocytosis - Danio rerio (zebrafish)","4/40","341/7371",0.111825564585072,0.477800139590763,0.428040438603147,"560806/567182/100009637/559690",4
"dre00790","dre00790","Folate biosynthesis - Danio rerio (zebrafish)","1/40","34/7371",0.169249556067369,0.567227237927344,0.508154300494821,"795445",1
"dre04510","dre04510","Focal adhesion - Danio rerio (zebrafish)","3/40","278/7371",0.190510832217226,0.567227237927344,0.508154300494821,"100331874/321243/337158",3
"dre04520","dre04520","Adherens junction - Danio rerio (zebrafish)","2/40","148/7371",0.191387167284797,0.567227237927344,0.508154300494821,"100009637/100149130",2
"dre03022","dre03022","Basal transcription factors - Danio rerio (zebrafish)","1/40","40/7371",0.196065483014697,0.567227237927344,0.508154300494821,"334055",1
"dre00260","dre00260","Glycine, serine and threonine metabolism - Danio rerio (zebrafish)","1/40","47/7371",0.226285034174563,0.567227237927344,0.508154300494821,"619259",1
"dre00760","dre00760","Nicotinate and nicotinamide metabolism - Danio rerio (zebrafish)","1/40","47/7371",0.226285034174563,0.567227237927344,0.508154300494821,"791647",1
"dre00250","dre00250","Alanine, aspartate and glutamate metabolism - Danio rerio (zebrafish)","1/40","48/7371",0.230510675713752,0.567227237927344,0.508154300494821,"564147",1
"dre02010","dre02010","ABC transporters - Danio rerio (zebrafish)","1/40","49/7371",0.234713812812133,0.567227237927344,0.508154300494821,"735310",1
"dre04621","dre04621","NOD-like receptor signaling pathway - Danio rerio (zebrafish)","2/40","173/7371",0.24137329273504,0.567227237927344,0.508154300494821,"448858/565155",2
"dre05132","dre05132","Salmonella infection - Danio rerio (zebrafish)","3/40","332/7371",0.268349020374146,0.585535644916456,0.524556008883723,"100330514/565155/100009637",3
"dre00514","dre00514","Other types of O-glycan biosynthesis - Danio rerio (zebrafish)","1/40","60/7371",0.279496012672245,0.585535644916456,0.524556008883723,"100003546",1
"dre04217","dre04217","Necroptosis - Danio rerio (zebrafish)","2/40","197/7371",0.289992034011397,0.585535644916456,0.524556008883723,"553353/565155",2
"dre00520","dre00520","Amino sugar and nucleotide sugar metabolism - Danio rerio (zebrafish)","1/40","65/7371",0.298996925063722,0.585535644916456,0.524556008883723,"101886093",1
"dre00600","dre00600","Sphingolipid metabolism - Danio rerio (zebrafish)","1/40","74/7371",0.332809791693265,0.625682408383337,0.560521754430761,"568381",1
"dre00140","dre00140","Steroid hormone biosynthesis - Danio rerio (zebrafish)","1/40","82/7371",0.361526778817698,0.641490040804537,0.574683127260504,"399692",1
"dre00310","dre00310","Lysine degradation - Danio rerio (zebrafish)","1/40","84/7371",0.368515555355798,0.641490040804537,0.574683127260504,"100003546",1
"dre00830","dre00830","Retinol metabolism - Danio rerio (zebrafish)","1/40","93/7371",0.399052916866959,0.645714729829711,0.57846784307253,"393724",1
"dre03320","dre03320","PPAR signaling pathway - Danio rerio (zebrafish)","1/40","94/7371",0.402355731283739,0.645714729829711,0.57846784307253,"553579",1
"dre00562","dre00562","Inositol phosphate metabolism - Danio rerio (zebrafish)","1/40","97/7371",0.412158338189177,0.645714729829711,0.57846784307253,"100330514",1
"dre04146","dre04146","Peroxisome - Danio rerio (zebrafish)","1/40","102/7371",0.428148719169877,0.649128703257555,0.581526273914943,"619259",1
"dre01232","dre01232","Nucleotide metabolism - Danio rerio (zebrafish)","1/40","110/7371",0.452855192119521,0.653538295569561,0.585476636568476,"791647",1
"dre04914","dre04914","Progesterone-mediated oocyte maturation - Danio rerio (zebrafish)","1/40","112/7371",0.458867313910543,0.653538295569561,0.585476636568476,"565155",1
"dre04070","dre04070","Phosphatidylinositol signaling system - Danio rerio (zebrafish)","1/40","119/7371",0.479406765837849,0.66270935277585,0.593692589272878,"100330514",1
"dre04810","dre04810","Regulation of actin cytoskeleton - Danio rerio (zebrafish)","2/40","321/7371",0.525309585194327,0.701777293261316,0.628691864063889,"100331874/100009637",2
"dre04350","dre04350","TGF-beta signaling pathway - Danio rerio (zebrafish)","1/40","153/7371",0.568837504624384,0.701777293261316,0.628691864063889,"797559",1
"dre00230","dre00230","Purine metabolism - Danio rerio (zebrafish)","1/40","166/7371",0.598911430641452,0.701777293261316,0.628691864063889,"791647",1
"dre04020","dre04020","Calcium signaling pathway - Danio rerio (zebrafish)","2/40","391/7371",0.634491313811736,0.701777293261316,0.628691864063889,"60658/445297",2
"dre04145","dre04145","Phagosome - Danio rerio (zebrafish)","1/40","183/7371",0.635168765321186,0.701777293261316,0.628691864063889,"60658",1
"dre04110","dre04110","Cell cycle - Danio rerio (zebrafish)","1/40","191/7371",0.651105323799975,0.701777293261316,0.628691864063889,"794108",1
"dre04371","dre04371","Apelin signaling pathway - Danio rerio (zebrafish)","1/40","193/7371",0.654982170474416,0.701777293261316,0.628691864063889,"60658",1
"dre04140","dre04140","Autophagy - animal - Danio rerio (zebrafish)","1/40","200/7371",0.668223178855123,0.701777293261316,0.628691864063889,"556756",1
"dre04210","dre04210","Apoptosis - Danio rerio (zebrafish)","1/40","201/7371",0.670073837458636,0.701777293261316,0.628691864063889,"553353",1
"dre04218","dre04218","Cellular senescence - Danio rerio (zebrafish)","1/40","201/7371",0.670073837458636,0.701777293261316,0.628691864063889,"553353",1
"dre01240","dre01240","Biosynthesis of cofactors - Danio rerio (zebrafish)","1/40","202/7371",0.671914429718281,0.701777293261316,0.628691864063889,"795445",1
"dre04530","dre04530","Tight junction - Danio rerio (zebrafish)","1/40","248/7371",0.746571526474578,0.754994392125623,0.676366756663492,"563056",1
"dre04814","dre04814","Motor proteins - Danio rerio (zebrafish)","1/40","254/7371",0.754994392125623,0.754994392125623,0.676366756663492,"565267",1
