"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098703","BP","GO:0098703","calcium ion import across plasma membrane","11/330","22/18057",3.79444953521191e-14,5.6081964130432e-11,4.92879023836999e-11,"569528/403310/560561/567212/567702/562796/568512/562059/170581/555941/559964",11
"GO:0098662","BP","GO:0098662","inorganic cation transmembrane transport","35/330","496/18057",8.32820371835925e-12,6.15454254786748e-09,5.40894915181858e-09,"569528/403310/563904/768182/560561/101887082/567212/103909035/557843/567702/494490/563228/562796/568512/562853/407670/562059/794222/170581/571208/555941/559447/560289/793996/567611/555284/572215/559036/567544/559964/798635/797331/562422/393101/799412",35
"GO:0099536","BP","GO:0099536","synaptic signaling","30/330","390/18057",3.41302315472909e-11,1.68148274089653e-08,1.47777914839849e-08,"497638/569528/572002/558055/559786/565256/567702/494490/493613/555195/562796/566514/553402/100538116/567877/100331980/562059/794222/352938/555941/570240/559447/572215/110351181/563377/797331/563166/65090/562422/100147967",30
"GO:0097553","BP","GO:0097553","calcium ion transmembrane import into cytosol","11/330","47/18057",6.23124340962632e-10,2.26886126848051e-07,1.99399957645819e-07,"569528/403310/560561/567212/567702/562796/568512/562059/170581/555941/559964",11
"GO:0070588","BP","GO:0070588","calcium ion transmembrane transport","18/330","159/18057",7.67544407469725e-10,2.26886126848051e-07,1.99399957645819e-07,"569528/403310/563904/768182/560561/101887082/567212/567702/562796/568512/562059/794222/170581/555941/567611/559964/562422/799412",18
"GO:0034765","BP","GO:0034765","regulation of monoatomic ion transmembrane transport","21/330","227/18057",1.25416172640338e-09,3.08941838604033e-07,2.7151501234768e-07,"569528/403310/563904/563935/103909035/567702/562796/562853/562059/794222/170581/571208/555941/559447/560289/793996/555284/559036/559964/562422/393101",21
"GO:0043269","BP","GO:0043269","regulation of monoatomic ion transport","21/330","243/18057",4.29305045008033e-09,8.53601521304381e-07,7.50191779281822e-07,"569528/403310/563904/563935/103909035/567702/562796/562853/562059/794222/170581/571208/555941/559447/560289/793996/555284/559036/559964/562422/393101",21
"GO:0034762","BP","GO:0034762","regulation of transmembrane transport","21/330","244/18057",4.62030593398853e-09,8.53601521304381e-07,7.50191779281822e-07,"569528/403310/563904/563935/103909035/567702/562796/562853/562059/794222/170581/571208/555941/559447/560289/793996/555284/559036/559964/562422/393101",21
"GO:0006816","BP","GO:0006816","calcium ion transport","18/330","182/18057",6.80721640256625e-09,9.3463179197059e-07,8.21405620177842e-07,"569528/403310/563904/768182/560561/101887082/567212/567702/562796/568512/562059/794222/170581/555941/567611/559964/562422/799412",18
"GO:0007268","BP","GO:0007268","chemical synaptic transmission","26/330","376/18057",6.95598762630344e-09,9.3463179197059e-07,8.21405620177842e-07,"497638/569528/572002/565256/567702/494490/555195/562796/566514/553402/100538116/567877/100331980/562059/794222/352938/555941/570240/572215/110351181/563377/797331/563166/65090/562422/100147967",26
