"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04010","dre04010","MAPK signaling pathway - Danio rerio (zebrafish)","44/232","420/7371",6.4932770601164e-13,6.75300814252106e-11,5.94647478136976e-11,"560913/564518/569528/403310/30093/100151551/386966/563904/553266/562935/100005183/565173/561262/245701/560932/100331895/567702/554230/30256/562796/245700/114436/565158/792928/100009657/100126123/30671/562059/170581/555941/553520/570240/558321/245702/797658/30223/563560/560210/564274/559964/798846/562422/569836/568412",44
"dre04020","dre04020","Calcium signaling pathway - Danio rerio (zebrafish)","37/232","391/7371",1.09629049274066e-09,5.70071056225141e-08,5.01985646675985e-08,"570493/798222/569528/403310/386966/563904/100126126/768182/560561/567212/100332913/100149482/562585/569499/567702/493613/557026/554230/563019/562796/568512/568668/795916/562059/352938/100144566/170581/60658/555941/570240/492576/567611/557499/564274/559964/569836/568126",37
"dre04144","dre04144","Endocytosis - Danio rerio (zebrafish)","26/232","341/7371",2.2932936543426e-05,0.000795008466838769,0.000700058062904584,"334108/553266/562935/555340/492695/245701/556132/494477/571897/562949/557061/100334106/100330031/792928/324332/573631/100126123/30671/100307098/799274/571626/245702/559690/560210/798846/563561",26
"dre04912","dre04912","GnRH signaling pathway - Danio rerio (zebrafish)","13/232","132/7371",0.000247064153933895,0.00642366800228128,0.00565646878743392,"560913/798222/403310/562585/569499/566945/493613/557026/170581/558321/567611/559964/562619",13
"dre04914","dre04914","Progesterone-mediated oocyte maturation - Danio rerio (zebrafish)","11/232","112/7371",0.000755867958959908,0.0142987955491417,0.0125910446637179,"561737/100005268/245701/569499/404211/557026/565155/100330483/100009657/245702/562619",11
"dre04261","dre04261","Adrenergic signaling in cardiomyocytes - Danio rerio (zebrafish)","18/232","249/7371",0.000824930512450482,0.0142987955491417,0.0125910446637179,"798222/403310/100126126/560561/566069/567212/565173/569499/557026/568512/565158/100329748/170581/557499/559964/559170/562619/562422",18
"dre04371","dre04371","Apelin signaling pathway - Danio rerio (zebrafish)","15/232","193/7371",0.00108003374214279,0.01604621559755,0.0141297647468304,"100126126/560561/567212/562585/569499/557026/572074/568512/792928/60658/492576/567611/557499/553418/562619",15
"dre04270","dre04270","Vascular smooth muscle contraction - Danio rerio (zebrafish)","13/232","177/7371",0.00376479123533866,0.0480460890430545,0.042307790958965,"403310/798583/562585/569499/493613/557026/563892/170581/554168/492576/567611/559964/562619",13
"dre04070","dre04070","Phosphatidylinositol signaling system - Danio rerio (zebrafish)","10/232","119/7371",0.00415783462872587,0.0480460890430545,0.042307790958965,"556956/337236/561737/562585/555920/404211/563019/567611/100137124/567728",10
"dre00310","dre00310","Lysine degradation - Danio rerio (zebrafish)","8/232","84/7371",0.00474600072628359,0.0493584075533494,0.0434633750722813,"100006350/557048/558601/564592/447920/559945/557979/796720",8
