"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre04920","dre04920","Adipocytokine signaling pathway - Danio rerio (zebrafish)","10/115","96/7371",2.10955701231184e-06,0.000200407916169625,0.000162102801998699,"393285/445118/406596/406471/406463/30767/335409/564348/334561/378727",10
"dre05168","dre05168","Herpes simplex virus 1 infection - Danio rerio (zebrafish)","11/115","204/7371",0.000319569416772606,0.0149699404362113,0.0121086498819216,"571368/405770/403013/406596/406471/406463/492763/335409/796425/30280/557302",11
"dre04910","dre04910","Insulin signaling pathway - Danio rerio (zebrafish)","10/115","180/7371",0.000476826534122564,0.0149699404362113,0.0121086498819216,"393285/562242/393998/445118/406596/768121/100001260/335409/562062/378727",10
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","6/115","68/7371",0.000630313281524686,0.0149699404362113,0.0121086498819216,"387290/322614/114426/100333321/431716/100537991",6
"dre04512","dre04512","ECM-receptor interaction - Danio rerio (zebrafish)","7/115","105/7371",0.00121031751202218,0.0229960327284214,0.0186006691321304,"541320/567640/567928/797491/568593/335269/100332237",7
"dre04060","dre04060","Cytokine-cytokine receptor interaction - Danio rerio (zebrafish)","10/115","224/7371",0.0025198603768601,0.0368797545595665,0.0298307155994277,"571368/100006778/405770/406471/564874/565104/100135062/563674/564348/799475",10
"dre04115","dre04115","p53 signaling pathway - Danio rerio (zebrafish)","6/115","90/7371",0.00271745559912595,0.0368797545595665,0.0298307155994277,"751765/100149745/492763/100136840/557302/100332237",6
"dre04625","dre04625","C-type lectin receptor signaling pathway - Danio rerio (zebrafish)","7/115","129/7371",0.00391430185433217,0.0427190920122721,0.0345539470016162,"405770/403013/565656/406463/792160/796425/557302",7
"dre04210","dre04210","Apoptosis - Danio rerio (zebrafish)","9/115","201/7371",0.00404707187484683,0.0427190920122721,0.0345539470016162,"751765/406471/195815/406463/394198/492763/100135062/557302/558045",9
"dre00061","dre00061","Fatty acid biosynthesis - Danio rerio (zebrafish)","3/115","22/7371",0.0045894716529418,0.0435999807029471,0.0352664663857633,"564649/101884755/334561",3
"dre04068","dre04068","FoxO signaling pathway - Danio rerio (zebrafish)","8/115","182/7371",0.00740643044835392,0.062738673632741,0.050747071193242,"393285/445118/100006858/768121/559050/403037/30767/378727",8
"dre00564","dre00564","Glycerophospholipid metabolism - Danio rerio (zebrafish)","6/115","112/7371",0.00792488509045149,0.062738673632741,0.050747071193242,"405867/799099/492483/335008/793137/751628",6
"dre04217","dre04217","Necroptosis - Danio rerio (zebrafish)","8/115","197/7371",0.0116583543540247,0.0851956664332572,0.0689117301897814,"571368/449794/405770/403013/406471/30767/30280/557302",8
"dre00640","dre00640","Propanoate metabolism - Danio rerio (zebrafish)","3/115","32/7371",0.0132049311665861,0.0896048900589773,0.0724781936211119,"541435/436747/378968",3
"dre04216","dre04216","Ferroptosis - Danio rerio (zebrafish)","4/115","62/7371",0.0156648326684994,0.0992106069004961,0.080247914722839,"399488/791518/431716/334561",4
"dre00630","dre00630","Glyoxylate and dicarboxylate metabolism - Danio rerio (zebrafish)","3/115","37/7371",0.0195576887149888,0.116123776745246,0.0939283734338278,"541435/79378/321621",3
"dre04620","dre04620","Toll-like receptor signaling pathway - Danio rerio (zebrafish)","5/115","106/7371",0.0246878675283146,0.137961612658229,0.111592218549038,"405770/406463/394198/403139/557302",5
"dre01212","dre01212","Fatty acid metabolism - Danio rerio (zebrafish)","4/115","78/7371",0.0331810624577307,0.175122274082467,0.141650149673353,"564649/101884755/327417/334561",4
"dre00010","dre00010","Glycolysis / Gluconeogenesis - Danio rerio (zebrafish)","4/115","81/7371",0.0373656158865479,0.182926278995389,0.147962530378542,"445118/541435/436747/378727",4
"dre00250","dre00250","Alanine, aspartate and glutamate metabolism - Danio rerio (zebrafish)","3/115","48/7371",0.0385107955779767,0.182926278995389,0.147962530378542,"79378/556445/378968",3
"dre02010","dre02010","ABC transporters - Danio rerio (zebrafish)","3/115","49/7371",0.0405696915612901,0.183529557062979,0.148450500449834,"558924/100002917/566555",3
