"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dre00830","dre00830","Retinol metabolism - Danio rerio (zebrafish)","4/21","93/7371",0.000120597253036146,0.00144961536665077,0.0011668730505548,"556575/553969/393724/556528",4
"dre00350","dre00350","Tyrosine metabolism - Danio rerio (zebrafish)","3/21","39/7371",0.000170542984311855,0.00144961536665077,0.0011668730505548,"437022/100333145/58074",3
"dre00520","dre00520","Amino sugar and nucleotide sugar metabolism - Danio rerio (zebrafish)","3/21","65/7371",0.000777187702944338,0.00440406365001791,0.0035450667151847,"406323/406338/322468",3
"dre04916","dre04916","Melanogenesis - Danio rerio (zebrafish)","3/21","147/7371",0.00794230923459728,0.0337548142470385,0.0271710579078328,"437022/100333145/58074",3
"dre00910","dre00910","Nitrogen metabolism - Danio rerio (zebrafish)","1/21","21/7371",0.0582316995089747,0.193202208405421,0.155518805527583,"553246",1
"dre00340","dre00340","Histidine metabolism - Danio rerio (zebrafish)","1/21","26/7371",0.0716124933889014,0.193202208405421,0.155518805527583,"555401",1
"dre00591","dre00591","Linoleic acid metabolism - Danio rerio (zebrafish)","1/21","29/7371",0.0795538505198791,0.193202208405421,0.155518805527583,"553969",1
"dre00500","dre00500","Starch and sucrose metabolism - Danio rerio (zebrafish)","1/21","38/7371",0.102991595034637,0.218857139448604,0.176169833611879,"445049",1
"dre00380","dre00380","Tryptophan metabolism - Danio rerio (zebrafish)","1/21","53/7371",0.140796386183713,0.229315053354961,0.18458796864486,"555401",1
"dre00565","dre00565","Ether lipid metabolism - Danio rerio (zebrafish)","1/21","56/7371",0.148172991733287,0.229315053354961,0.18458796864486,"751651",1
"dre04814","dre04814","Motor proteins - Danio rerio (zebrafish)","2/21","254/7371",0.162141868983413,0.229315053354961,0.18458796864486,"100008376/100002040",2
"dre00330","dre00330","Arginine and proline metabolism - Danio rerio (zebrafish)","1/21","68/7371",0.177080687390468,0.229315053354961,0.18458796864486,"555401",1
"dre00480","dre00480","Glutathione metabolism - Danio rerio (zebrafish)","1/21","69/7371",0.179447017058385,0.229315053354961,0.18458796864486,"322533",1
"dre03250","dre03250","Viral life cycle - HIV-1 - Danio rerio (zebrafish)","1/21","73/7371",0.188847690998203,0.229315053354961,0.18458796864486,"561067",1
"dre00140","dre00140","Steroid hormone biosynthesis - Danio rerio (zebrafish)","1/21","82/7371",0.209625600792365,0.237575680898013,0.191237390196543,"553969",1
"dre00562","dre00562","Inositol phosphate metabolism - Danio rerio (zebrafish)","1/21","97/7371",0.243133487310403,0.258329330267303,0.207943114147055,"566188",1
"dre04621","dre04621","NOD-like receptor signaling pathway - Danio rerio (zebrafish)","1/21","173/7371",0.39312937765457,0.39312937765457,0.316450892229685,"557239",1
